alert_id,duplicate_ordinal,case_id,group,repo_name,pr_number,pr_id,language,task_type,base_sha,head_sha,issue_domain,is_quality_alert,rule_id,rule_name,problem_severity,precision,quality_category,rule_tags,file_path,start_line,fingerprint,fingerprint_method,fingerprint_ambiguity_n,source_group,source_row_number,batch_id,attempt,execution_sha256,condition_present,valid_issue,introduced_by_pr,actionability,confidence,model_supported_introduced_issue,model_supported_actionable_issue
qalert-000c23f8e0f82436a5899119,1,adjcase-3d41606864d969d6a1c2feaa,human,OneKeyHQ/app-monorepo,6480,2268115815,TypeScript,feat,9583e085b073c033207fd38233118d492a42cd73,f43173a44eda431fa4ada2f0b179ee194493d13e,quality,true,js/useless-expression,Expression has no effect,warning,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-480|external/cwe/cwe-561,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,"{""primaryLocationLineHash"": ""4a83a2821530ecd4:1"", ""primaryLocationStartColumnFingerprint"": ""54965""}",fingerprint,1,human,793,adjbatch-cd3d3a2f2d75b368b767df64,1,caa76734ff1c2086d407559869495ad058e2629bd17ec296961ac0330d3c3c0c,yes,contextual_exception,yes,no_fix,high,0,0
qalert-000fe613729c6ec896e0f8cb,1,adjcase-b1006ad61c17cbbc8a963dfc,human,microsoft/ApplicationInsights-JS,2493,2418025347,TypeScript,feat,864441d1b55e207bbd52200f3108ab9b46efcbf4,3097337f5df484870bf332339dad5859e11a030b,quality,true,js/unused-local-variable,"Unused variable, import, function or class",recommendation,very-high,maintainability,quality|maintainability|useless-code,common/scripts/install-run-silent.js,322,"{""primaryLocationLineHash"": ""7ca5da5b61085e43:1"", ""primaryLocationStartColumnFingerprint"": ""25""}",fingerprint,4,human,1271,adjbatch-0ed675ca304cb3a28caf52c0,1,e1381ff1bdbe10cb0cf88f85c4b04ec34be867297f7e9a6b777ab1269f5a98b0,yes,contextual_exception,yes,no_fix,high,0,0
qalert-0010db00384b72f0459d0069,1,adjcase-cd7bd9de968a669eb379965c,human,allenai/open-instruct,670,2512266582,Python,feat,d5331729e5bf7fde14daba6cd3efeec28d79a634,2ea43350feacbd2b6dfb177fc9bfbcd5176f01d3,quality,true,py/overwritten-inherited-attribute,Overwriting attribute in super-class or sub-class,warning,medium,correctness_reliability,quality|reliability|correctness,open_instruct/tool_utils/tool_vllm.py,48,"{""primaryLocationLineHash"": ""10ccf9c33af239ad:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,4133,adjbatch-e68a51a54260f7715fd5e4fa,1,8fc62cafc94eb734e9452e387e70c41965f7aa9e2a86f478d66ab6f906b98f9b,yes,yes,yes,should_fix,high,1,1
qalert-00119edb47b4e7d3e35b0328,1,adjcase-b4982c6cccbdfc66aa2f39d8,human,microsoft/git,764,2584190791,C,fix,1011f1c531850faf30296a1d53c5805dc4c9f799,3a829f11c07ddbb0a57a1ac832db686f29a9b632,quality,true,cpp/implicit-function-declaration,Implicit function declaration,warning,medium,correctness_reliability,correctness|maintainability,compat/mingw.c,1998,"{""primaryLocationLineHash"": ""c2d7923e6e4c7572:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,3184,adjbatch-3d51488ef933283567f05691,2,c0df55a58d724a0f3ebcd0a8c58821ca40860039b977142b253d6aa5fca4987a,no,no,no,no_fix,medium,0,0
qalert-00161be4bfcb01569bdb1cc3,1,adjcase-c464e5115933540f41ce45d9,human,SoftFever/OrcaSlicer,9643,2523130576,C++,fix,57a6f613497879fd3bbe3f5eeeb32e9892f76e9e,cb89b717a8b10d07e9a674b18e73a6851f265cba,quality,true,cpp/unused-static-variable,Unused static variable,recommendation,high,maintainability,efficiency|useless-code|external/cwe/cwe-563,src/libigl/igl/cat.cpp,120,"{""primaryLocationLineHash"": ""7f9b3bc2a56e477f:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,2916,adjbatch-d86672acfe6f87099191a467,1,a6980bc6cb590ad01df41458663fff549345a2b75744f8dabe75fdb2e9de2aae,no,no,no,no_fix,high,0,0
qalert-001719870377200366153cbf,1,adjcase-80f8a5fa098deb68d20fabc7,ai,openai/openai-agents-python,737,3081557416,Python,fix,1364f4408e8e0d8bec1d6ac8337f68b3b888a4a7,b3cd7263509ca9068d9fd7fb93269e9ccb642b4d,quality,true,py/unsafe-cyclic-import,Module-level cyclic import,error,high,correctness_reliability,reliability|correctness|types,src/agents/_run_impl.py,40,"{""primaryLocationLineHash"": ""b1c976216c5a07e5:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,567,adjbatch-348e048c9187d1f7a8d0052a,3,ea455691272bad28d4ecd9b02cecd5b9a0e71f63a99387a50f7ad0c724c2009e,no,no,no,no_fix,medium,0,0
qalert-00220a250fe3b2b48558f6cb,1,adjcase-b1006ad61c17cbbc8a963dfc,human,microsoft/ApplicationInsights-JS,2493,2418025347,TypeScript,feat,864441d1b55e207bbd52200f3108ab9b46efcbf4,3097337f5df484870bf332339dad5859e11a030b,quality,true,js/automatic-semicolon-insertion,Semicolon insertion,recommendation,very-high,maintainability,quality|maintainability|readability|language-features|statistical|non-attributable,extensions/applicationinsights-dependencies-js/Tests/Unit/src/ajax.tests.ts,1713,"{""primaryLocationLineHash"": ""d7c500127ababb10:8"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,1727,adjbatch-4b607e7d34f2d470604529cd,1,a321ba23372e4e4432d428538c4c180bf207f2a4b47a831ff8495cb37cf72955,yes,yes,uncertain,optional,high,0,0
qalert-002370da53ce17e473033c5c,1,adjcase-5abd30b112a01560f66abfd1,human,prebid/Prebid.js,12878,2389128937,JavaScript,feat,9ab17e099f7f7a3531f44f7de9facbcde32fcd33,fc7cefe3125aaa0b45404dcf015d8d560aab1239,quality,true,js/unused-local-variable,"Unused variable, import, function or class",recommendation,very-high,maintainability,quality|maintainability|useless-code,test/spec/unit/pbjs_api_spec.js,2721,"{""primaryLocationLineHash"": ""fa86015af3eed0:1"", ""primaryLocationStartColumnFingerprint"": ""4""}",fingerprint,1,human,1930,adjbatch-9f1a4785221b9a748ba4b7cc,1,b3bcfa5aaf9d9d67bbc92e9a11dd66e9e54157d9f82ebca5b4922a269cf265e5,yes,yes,yes,should_fix,high,1,1
qalert-0026b2db8f0898add2877e64,1,adjcase-00d34f971a3db682ae34a07b,ai,crewAIInc/crewAI,1892,2786715226,Python,feat,4185ea688f17843ad5cb790836c3129f678eadde,a4bc6240bd8a544f00b5fa2f6cd83f12b4a9b1cf,quality,true,py/unused-import,Unused import,recommendation,very-high,maintainability,quality|maintainability|useless-code,src/crewai/flow/persistence/decorators.py,28,"{""primaryLocationLineHash"": ""d43b0c25b54a1ab4:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,1384,adjbatch-b354f7e9f3a5a69c14488951,1,f1c1c97fd75b76c015e263a8900034de3b23603c1843aa8addef8cfcccf269db,yes,yes,yes,optional,high,1,0
qalert-0040d7fd1442a27cb0a7ed7e,1,adjcase-3d41606864d969d6a1c2feaa,human,OneKeyHQ/app-monorepo,6480,2268115815,TypeScript,feat,9583e085b073c033207fd38233118d492a42cd73,f43173a44eda431fa4ada2f0b179ee194493d13e,quality,true,js/useless-expression,Expression has no effect,warning,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-480|external/cwe/cwe-561,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,"{""primaryLocationLineHash"": ""4a83a2821530ecd4:1"", ""primaryLocationStartColumnFingerprint"": ""50942""}",fingerprint,1,human,469,adjbatch-cd3d3a2f2d75b368b767df64,1,caa76734ff1c2086d407559869495ad058e2629bd17ec296961ac0330d3c3c0c,yes,contextual_exception,yes,no_fix,high,0,0
