repo_name,pr_number,pr_id,agent,language,base_sha,head_sha,codeql_version,query_suite,rule_id,rule_name,result_level,security_severity,problem_severity,rule_tags,rule_kind,is_security_alert,is_quality_alert,alert_category,quality_category,quality_taxonomy_version,severity,precision,cwe,file_path,start_line,fingerprint,match_method,fingerprint_method,fingerprint_ambiguity_n,lifecycle
Significant-Gravitas/AutoGPT,10483,3275609390,Claude_Code,Python,b9c7642cfc25d8c475d23b6332fb3286dfcfa584,558aca8f6119bf3707253f5eb9a4c1086347b9e5,2.23.2,security-and-quality,py/cyclic-import,Cyclic import,,,recommendation,reliability|maintainability|modularity,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,recommendation,high,,autogpt_platform/backend/backend/blocks/smart_decision_maker.py,18,"{""primaryLocationLineHash"": ""70812e67143eec3e:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
elizaOS/eliza,5490,3214876564,Claude_Code,TypeScript,c0287ad36e3f4833532907055be2186e2b40801a,9fab87c771ca9e1e9853ad3ffb87b258dffc43e2,2.23.2,security-and-quality,js/unused-local-variable,"Unused variable, import, function or class",,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,packages/core/src/__tests__/action-chaining-simple.test.ts,1,"{""primaryLocationLineHash"": ""d8c85d92a25b9957:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
elizaOS/eliza,4935,3118662815,Claude_Code,TypeScript,f181f381873366085e95b1cc02e5408efae65209,0bef1b9b0ebe9c9452b9fa700e72ebe789c8fe87,2.23.2,security-and-quality,js/request-forgery,Server-side request forgery,,9.1,error,security|external/cwe/cwe-918,path-problem,true,false,security,,,9.1,high,CWE-918,packages/cli/src/server/services/message.ts,72,"{""primaryLocationLineHash"": ""a264643c74cb86e6:1"", ""primaryLocationStartColumnFingerprint"": ""23""}",fingerprint,fingerprint,1,introduced
elizaOS/eliza,4935,3118662815,Claude_Code,TypeScript,f181f381873366085e95b1cc02e5408efae65209,0bef1b9b0ebe9c9452b9fa700e72ebe789c8fe87,2.23.2,security-and-quality,js/unused-local-variable,"Unused variable, import, function or class",,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,packages/cli/src/server/services/message.ts,1,"{""primaryLocationLineHash"": ""5d232c1c7942ebfa:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
elizaOS/eliza,4935,3118662815,Claude_Code,TypeScript,f181f381873366085e95b1cc02e5408efae65209,0bef1b9b0ebe9c9452b9fa700e72ebe789c8fe87,2.23.2,security-and-quality,js/unused-local-variable,"Unused variable, import, function or class",,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,packages/plugin-bootstrap/__tests__/evaluators.test.ts,2,"{""primaryLocationLineHash"": ""f833496a47fb54b3:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
marimo-team/marimo,3729,2840161375,Devin,Python,7b1b782a6d1e1f0f9195ba8b30a3e9223119f85e,b0fb21f87f85ebe1e5916a2c41ac86edae99ae0f,2.23.2,security-and-quality,py/ineffectual-statement,Statement has no effect,,,recommendation,quality|maintainability|useless-code|external/cwe/cwe-561,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,high,CWE-561,marimo/_smoke_tests/chat/chatbot.py,252,"{""primaryLocationLineHash"": ""f934122e0784fc58:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13602,3232013024,OpenAI_Codex,JavaScript,23c07de17402a4c02cc480300fff200dec623f36,596f433092a98449cb555b7ffad05679a3484a2e,2.23.2,security-and-quality,js/missing-origin-check,Missing origin verification in `postMessage` handler,,5,warning,correctness|security|external/cwe/cwe-020|external/cwe/cwe-940,problem,true,false,security,,,5,medium,CWE-020|CWE-940,modules/mantisBidAdapter.js,98,"{""primaryLocationLineHash"": ""cc4ae2c0ae4e6153:1"", ""primaryLocationStartColumnFingerprint"": ""45""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13602,3232013024,OpenAI_Codex,JavaScript,23c07de17402a4c02cc480300fff200dec623f36,596f433092a98449cb555b7ffad05679a3484a2e,2.23.2,security-and-quality,js/automatic-semicolon-insertion,Semicolon insertion,,,recommendation,quality|maintainability|readability|language-features|statistical|non-attributable,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,modules/kargoBidAdapter.js,287,"{""primaryLocationLineHash"": ""5be0f33d98c77af0:1"", ""primaryLocationStartColumnFingerprint"": ""-4""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13602,3232013024,OpenAI_Codex,JavaScript,23c07de17402a4c02cc480300fff200dec623f36,596f433092a98449cb555b7ffad05679a3484a2e,2.23.2,security-and-quality,js/automatic-semicolon-insertion,Semicolon insertion,,,recommendation,quality|maintainability|readability|language-features|statistical|non-attributable,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,modules/stvBidAdapter.js,108,"{""primaryLocationLineHash"": ""428af519e33c4eed:1"", ""primaryLocationStartColumnFingerprint"": ""48""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13602,3232013024,OpenAI_Codex,JavaScript,23c07de17402a4c02cc480300fff200dec623f36,596f433092a98449cb555b7ffad05679a3484a2e,2.23.2,security-and-quality,js/automatic-semicolon-insertion,Semicolon insertion,,,recommendation,quality|maintainability|readability|language-features|statistical|non-attributable,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,test/spec/modules/pubmaticRtdProvider_spec.js,1418,"{""primaryLocationLineHash"": ""a3e786ed981bb41:1"", ""primaryLocationStartColumnFingerprint"": ""-16""}",fingerprint,fingerprint,1,introduced
