repo_name,pr_number,pr_id,agent,language,base_sha,head_sha,codeql_version,query_suite,rule_id,rule_name,result_level,security_severity,problem_severity,rule_tags,rule_kind,is_security_alert,is_quality_alert,alert_category,quality_category,quality_taxonomy_version,severity,precision,cwe,file_path,location_class,start_line,fingerprint,match_method,fingerprint_method,fingerprint_ambiguity_n,lifecycle
prebid/Prebid.js,12765,2334880148,Human,JavaScript,af5703d06cab605ea46823c116b67e9e0fe3a43a,def6da63e4ba43d72013d602ba224aa7d29c5b15,2.23.2,security-and-quality,js/automatic-semicolon-insertion,Semicolon insertion,,,recommendation,quality|maintainability|readability|language-features|statistical|non-attributable,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,test/spec/modules/gumgumBidAdapter_spec.js,test,840,"{""primaryLocationLineHash"": ""a1201282d75a89a0:1"", ""primaryLocationStartColumnFingerprint"": ""-4""}",fingerprint,fingerprint,1,introduced
OneKeyHQ/app-monorepo,7351,2527096227,Human,TypeScript,e10638a7dbf5dc9cd6b4b36e3eb07436733504fa,5d7d2cf7c7a7525e1b1a7048c6a704efe8abd8f0,2.23.2,security-and-quality,js/regex/missing-regexp-anchor,Missing regular expression anchor,,7.8,warning,correctness|security|external/cwe/cwe-020,problem,true,false,security,,,7.8,medium,CWE-020,development/webpack/webpack.ext.config.js,production,30,"{""primaryLocationLineHash"": ""b8837151d4fccc2a:1"", ""primaryLocationStartColumnFingerprint"": ""13""}",fingerprint,fingerprint,1,introduced
julep-ai/julep,1183,2352743534,Human,Python,6cdd06164fd92f3164cda6b9641b3cf3c4d72798,293fb8aa713d0fe8a9fe8c471a4e9c25a2275e72,2.23.2,security-and-quality,py/uninitialized-local-variable,Potentially uninitialized local variable,,,error,quality|reliability|correctness,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,error,medium,,agents-api/agents_api/common/utils/get_doc_search.py,production,53,"{""primaryLocationLineHash"": ""e6d184cc9750c858:1"", ""primaryLocationStartColumnFingerprint"": ""21""}",fingerprint,fingerprint,1,introduced
julep-ai/julep,1183,2352743534,Human,Python,6cdd06164fd92f3164cda6b9641b3cf3c4d72798,293fb8aa713d0fe8a9fe8c471a4e9c25a2275e72,2.23.2,security-and-quality,py/uninitialized-local-variable,Potentially uninitialized local variable,,,error,quality|reliability|correctness,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,error,medium,,agents-api/agents_api/common/utils/get_doc_search.py,production,53,"{""primaryLocationLineHash"": ""e6d184cc9750c858:1"", ""primaryLocationStartColumnFingerprint"": ""32""}",fingerprint,fingerprint,1,introduced
julep-ai/julep,1183,2352743534,Human,Python,6cdd06164fd92f3164cda6b9641b3cf3c4d72798,293fb8aa713d0fe8a9fe8c471a4e9c25a2275e72,2.23.2,security-and-quality,py/unused-local-variable,Unused local variable,,,recommendation,quality|maintainability|useless-code|external/cwe/cwe-563,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,CWE-563,agents-api/tests/test_get_doc_search.py,test,176,"{""primaryLocationLineHash"": ""a5d2cfa7737eb936:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
julep-ai/julep,1183,2352743534,Human,Python,6cdd06164fd92f3164cda6b9641b3cf3c4d72798,293fb8aa713d0fe8a9fe8c471a4e9c25a2275e72,2.23.2,security-and-quality,py/unused-local-variable,Unused local variable,,,recommendation,quality|maintainability|useless-code|external/cwe/cwe-563,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,CWE-563,agents-api/tests/test_get_doc_search.py,test,176,"{""primaryLocationLineHash"": ""a5d2cfa7737eb936:1"", ""primaryLocationStartColumnFingerprint"": ""12""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13303,2573768662,Human,JavaScript,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,75c070e42b9fe9143ebeb27de0f5c730379bbb03,2.23.2,security-and-quality,js/unused-local-variable,"Unused variable, import, function or class",,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,test/spec/modules/adlaneRtdProvider_spec.js,test,163,"{""primaryLocationLineHash"": ""b9f33f3ba4c2109e:1"", ""primaryLocationStartColumnFingerprint"": ""6""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13303,2573768662,Human,JavaScript,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,75c070e42b9fe9143ebeb27de0f5c730379bbb03,2.23.2,security-and-quality,js/unused-local-variable,"Unused variable, import, function or class",,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,test/spec/modules/adlaneRtdProvider_spec.js,test,199,"{""primaryLocationLineHash"": ""635916190b42c649:1"", ""primaryLocationStartColumnFingerprint"": ""6""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13303,2573768662,Human,JavaScript,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,75c070e42b9fe9143ebeb27de0f5c730379bbb03,2.23.2,security-and-quality,js/unused-local-variable,"Unused variable, import, function or class",,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,test/spec/modules/adlaneRtdProvider_spec.js,test,207,"{""primaryLocationLineHash"": ""a9c2cf322f8df2b1:1"", ""primaryLocationStartColumnFingerprint"": ""6""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13303,2573768662,Human,JavaScript,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,75c070e42b9fe9143ebeb27de0f5c730379bbb03,2.23.2,security-and-quality,js/unused-local-variable,"Unused variable, import, function or class",,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,test/spec/modules/adlaneRtdProvider_spec.js,test,218,"{""primaryLocationLineHash"": ""a9c2cf322f82c473:1"", ""primaryLocationStartColumnFingerprint"": ""6""}",fingerprint,fingerprint,1,introduced
prebid/Prebid.js,13303,2573768662,Human,JavaScript,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,75c070e42b9fe9143ebeb27de0f5c730379bbb03,2.23.2,security-and-quality,js/unused-local-variable,"Unused variable, import, function or class",,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,test/spec/modules/adlaneRtdProvider_spec.js,test,232,"{""primaryLocationLineHash"": ""e4e23925a2407fd9:1"", ""primaryLocationStartColumnFingerprint"": ""6""}",fingerprint,fingerprint,1,introduced
crewAIInc/crewAI,2556,2449273362,Human,Python,10328f3db4ee79d8390024043ea7a4f1a5a88843,d1edb9deacb51e0f259ca3a40cd4ae6a27c2bde3,2.23.2,security-and-quality,py/unsafe-cyclic-import,Module-level cyclic import,,,error,reliability|correctness|types,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,error,high,,src/crewai/agent.py,production,13,"{""primaryLocationLineHash"": ""e20d8cb5679d19d7:1"", ""primaryLocationStartColumnFingerprint"": ""30""}",fingerprint,fingerprint,1,introduced
crewAIInc/crewAI,2556,2449273362,Human,Python,10328f3db4ee79d8390024043ea7a4f1a5a88843,d1edb9deacb51e0f259ca3a40cd4ae6a27c2bde3,2.23.2,security-and-quality,py/unsafe-cyclic-import,Module-level cyclic import,,,error,reliability|correctness|types,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,error,high,,src/crewai/agent.py,production,13,"{""primaryLocationLineHash"": ""e20d8cb5679d19d7:1"", ""primaryLocationStartColumnFingerprint"": ""41""}",fingerprint,fingerprint,1,introduced
rsyslog/rsyslog,5654,2567881840,Human,C,bec517d8f10f6cf10e96dc743ce846e4147082fd,afd91282e795bd6e80419def45e5d7c780eec978,2.23.2,security-and-quality,cpp/implicit-function-declaration,Implicit function declaration,,,warning,correctness|maintainability,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,warning,medium,,runtime/statsobj.c,production,573,"{""primaryLocationLineHash"": ""605ef6b88a90c82f:1"", ""primaryLocationStartColumnFingerprint"": ""6""}",fingerprint,fingerprint,1,introduced
rsyslog/rsyslog,5654,2567881840,Human,C,bec517d8f10f6cf10e96dc743ce846e4147082fd,afd91282e795bd6e80419def45e5d7c780eec978,2.23.2,security-and-quality,cpp/implicit-function-declaration,Implicit function declaration,,,warning,correctness|maintainability,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,warning,medium,,runtime/statsobj.c,production,515,"{""primaryLocationLineHash"": ""758df18670677c40:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
rsyslog/rsyslog,5654,2567881840,Human,C,bec517d8f10f6cf10e96dc743ce846e4147082fd,afd91282e795bd6e80419def45e5d7c780eec978,2.23.2,security-and-quality,cpp/nested-loops-with-same-variable,Nested loops with same variable,,,warning,maintainability|correctness,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,warning,medium,,runtime/statsobj.c,production,639,"{""primaryLocationLineHash"": ""77faea28e5fce50:2"", ""primaryLocationStartColumnFingerprint"": ""17""}",fingerprint,fingerprint,1,introduced
mlflow/mlflow,15807,2530551941,Human,Python,10c1fdbe3a2858d7f336abb36b16e76abc290cf4,1cfd0456c383271affa887df124495f5a5f4e993,2.23.2,security-and-quality,py/mixed-returns,Explicit returns mixed with implicit (fall through) returns,,,recommendation,quality|reliability|correctness,problem,false,true,quality,correctness_reliability,codeql-rule-tags-v1.0.0,recommendation,high,,mlflow/entities/span.py,production,319,"{""primaryLocationLineHash"": ""b44b4a119cf31253:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
crewAIInc/crewAI,2723,2489551645,Human,Python,f89c2bfb7e5479a07df32e0b8eb593c2f40cdd3e,fb5e164bf3c558e5157e923ee6c44b12826b77b7,2.23.2,security-and-quality,py/import-and-import-from,Module is imported with 'import' and 'import from',,,recommendation,quality|maintainability|readability,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,tests/cli/tools/test_main.py,test,3,"{""primaryLocationLineHash"": ""9340987ed83cdb6a:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
crewAIInc/crewAI,2723,2489551645,Human,Python,f89c2bfb7e5479a07df32e0b8eb593c2f40cdd3e,fb5e164bf3c558e5157e923ee6c44b12826b77b7,2.23.2,security-and-quality,py/unused-import,Unused import,,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,tests/crew_test.py,test,20,"{""primaryLocationLineHash"": ""c49125d553dec380:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
crewAIInc/crewAI,2723,2489551645,Human,Python,f89c2bfb7e5479a07df32e0b8eb593c2f40cdd3e,fb5e164bf3c558e5157e923ee6c44b12826b77b7,2.23.2,security-and-quality,py/unused-import,Unused import,,,recommendation,quality|maintainability|useless-code,problem,false,true,quality,maintainability,codeql-rule-tags-v1.0.0,recommendation,very-high,,tests/test_lite_agent.py,test,1,"{""primaryLocationLineHash"": ""51b4caa70853bac8:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,fingerprint,1,introduced
