batch_id,job_id,repo_id,repo_name,pr_id,pr_number,agent,revision,checkout_ref,base_sha,head_sha,language,codeql_language,codeql_version,query_suite,build_mode,build_command,comparison_status,status,attempts,retry_excluded,retry_excluded_reason
sample100,567-labs_instructor__pr-1729__before,653589102,567-labs/instructor,3244853040,1729,Claude_Code,before,e4262e7956528ace495b3b4f293403d2f90e93c6,e4262e7956528ace495b3b4f293403d2f90e93c6,4561d0c43280cb44b672d5e08b65d25758d98516,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
sample100,567-labs_instructor__pr-1729__after,653589102,567-labs/instructor,3244853040,1729,Claude_Code,after,4561d0c43280cb44b672d5e08b65d25758d98516,e4262e7956528ace495b3b4f293403d2f90e93c6,4561d0c43280cb44b672d5e08b65d25758d98516,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
sample100,celestiaorg_celestia-core__pr-2147__before,221931137,celestiaorg/celestia-core,3203392047,2147,Copilot,before,bdd45f989188ab6fbb54b5c35605f7837af424af,bdd45f989188ab6fbb54b5c35605f7837af424af,144875ac436f1ede9277a52642bdf3c93f5d36ab,Go,go,2.23.2,security-and-quality,manual,go build ./...,compared,completed,1,,
sample100,celestiaorg_celestia-core__pr-2147__after,221931137,celestiaorg/celestia-core,3203392047,2147,Copilot,after,144875ac436f1ede9277a52642bdf3c93f5d36ab,bdd45f989188ab6fbb54b5c35605f7837af424af,144875ac436f1ede9277a52642bdf3c93f5d36ab,Go,go,2.23.2,security-and-quality,manual,go build ./...,compared,completed,1,,
sample100,ryokun6_ryos__pr-158__before,923332984,ryokun6/ryos,3186351773,158,Cursor,before,564ddb1061aa4c62725fd412ce170710cbc09b4e,564ddb1061aa4c62725fd412ce170710cbc09b4e,43819deb4475f32565931316350b1495ef35a615,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
sample100,ryokun6_ryos__pr-158__after,923332984,ryokun6/ryos,3186351773,158,Cursor,after,43819deb4475f32565931316350b1495ef35a615,564ddb1061aa4c62725fd412ce170710cbc09b4e,43819deb4475f32565931316350b1495ef35a615,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
sample100,antiwork_gumroad__pr-166__before,959682770,antiwork/gumroad,3018773782,166,Devin,before,da725b0128f81797a5fce9d34fb7daf5dd948a87,da725b0128f81797a5fce9d34fb7daf5dd948a87,6052b9fe1ee412d939c7223af565225869f66180,Ruby,ruby,2.23.2,security-and-quality,none,,compared,completed,1,,
sample100,antiwork_gumroad__pr-166__after,959682770,antiwork/gumroad,3018773782,166,Devin,after,6052b9fe1ee412d939c7223af565225869f66180,da725b0128f81797a5fce9d34fb7daf5dd948a87,6052b9fe1ee412d939c7223af565225869f66180,Ruby,ruby,2.23.2,security-and-quality,none,,compared,completed,1,,
sample100,SimonHalvdansson_Harmonic-HN__pr-213__before,644499668,SimonHalvdansson/Harmonic-HN,3118754541,213,OpenAI_Codex,before,22689eedbc8930c6ed04857b63f1580a25728b9f,22689eedbc8930c6ed04857b63f1580a25728b9f,1ccc2d3eedb9b725d4eb9b632c06a05d53b4849f,Java,java-kotlin,2.23.2,security-and-quality,none,,compared,completed,1,,
sample100,SimonHalvdansson_Harmonic-HN__pr-213__after,644499668,SimonHalvdansson/Harmonic-HN,3118754541,213,OpenAI_Codex,after,1ccc2d3eedb9b725d4eb9b632c06a05d53b4849f,22689eedbc8930c6ed04857b63f1580a25728b9f,1ccc2d3eedb9b725d4eb9b632c06a05d53b4849f,Java,java-kotlin,2.23.2,security-and-quality,none,,compared,completed,1,,
