batch_id,sample_order,scale_order,scale_extra_order,size_stratum,repo_id,repo_name,language,stars,pr_id,pr_number,agent,created_at,merged_at,keyword_hit,task_type,task_confidence
sample100,1,,,,653589102,567-labs/instructor,Python,11095,3244853040,1729,Claude_Code,2025-07-19T04:04:26Z,2025-07-19T04:07:45Z,fix,fix,10
sample100,2,,,,221931137,celestiaorg/celestia-core,Go,531,3203392047,2147,Copilot,2025-07-04T17:50:22Z,2025-07-14T09:48:56Z,fix,fix,10
sample100,3,,,,923332984,ryokun6/ryos,TypeScript,558,3186351773,158,Cursor,2025-06-29T16:51:02Z,2025-06-29T16:51:07Z,fix,fix,9
sample100,4,,,,959682770,antiwork/gumroad,Ruby,6643,3018773782,166,Devin,2025-04-25T01:33:13Z,2025-04-25T01:59:36Z,fix,fix,10
sample100,5,,,,644499668,SimonHalvdansson/Harmonic-HN,Java,746,3118754541,213,OpenAI_Codex,2025-06-04T18:39:09Z,2025-06-09T06:58:34Z,fix,fix,10
sample100,6,,,,39321023,prebid/Prebid.js,JavaScript,1467,3121392248,13275,OpenAI_Codex,2025-06-05T14:04:30Z,2025-06-06T11:30:13Z,fix,fix,9
sample100,7,,,,796633002,erpc/erpc,Go,518,3023246654,245,Devin,2025-04-27T18:26:57Z,2025-04-27T19:24:04Z,fix,fix,10
sample100,8,,,,899766976,gensx-inc/gensx,TypeScript,504,3249366603,893,Cursor,2025-07-21T16:52:44Z,2025-07-21T22:24:51Z,fix,fix,10
sample100,9,,,,511141524,valkey-io/valkey-glide,Java,538,3196952174,4287,Copilot,2025-07-02T19:21:21Z,2025-07-03T14:52:47Z,fix,fix,10
sample100,10,,,,283046497,airbytehq/airbyte,Python,19011,3223924413,62941,Claude_Code,2025-07-11T19:04:07Z,2025-07-24T17:33:53Z,fix,fix,10
sample100,11,,,,959682770,antiwork/gumroad,Ruby,6643,3206789297,576,Devin,2025-07-06T17:10:14Z,2025-07-07T03:45:42Z,fix,fix,10
sample100,12,,,,552234230,gtg922r/obsidian-numerals,TypeScript,520,3222558441,109,Cursor,2025-07-11T11:26:43Z,2025-07-11T11:27:11Z,fix,fix,8
sample100,13,,,,284805743,primer/view_components,Ruby,537,3134908383,3539,Copilot,2025-06-10T21:41:08Z,2025-06-10T22:11:40Z,fix,fix,10
sample100,14,,,,614765452,Significant-Gravitas/AutoGPT,Python,177379,3275609390,10483,Claude_Code,2025-07-30T04:14:20Z,2025-07-30T05:27:20Z,fix,fix,10
sample100,15,,,,50623416,parse-community/parse-dashboard,JavaScript,3773,3239334576,2918,OpenAI_Codex,2025-07-17T12:06:54Z,2025-07-17T12:14:03Z,fix,fix,10
sample100,16,,,,689765175,different-ai/note-companion,TypeScript,696,2959030715,382,Devin,2025-03-30T18:37:25Z,2025-03-30T19:02:26Z,fix,fix,10
sample100,17,,,,457435290,aldinokemal/go-whatsapp-web-multidevice,Go,2131,3219378763,334,Cursor,2025-07-10T13:28:39Z,2025-07-10T13:30:16Z,fix,fix,9
sample100,18,,,,826170402,elizaOS/eliza,TypeScript,16507,3214876564,5490,Claude_Code,2025-07-09T07:39:31Z,2025-07-09T08:35:49Z,fix,fix,10
sample100,19,,,,511141524,valkey-io/valkey-glide,Java,538,3252984390,4456,Copilot,2025-07-22T14:44:48Z,2025-07-23T08:29:32Z,fix,fix,10
sample100,20,,,,946178371,OpenPipe/ART,Python,4108,3177251348,164,Cursor,2025-06-25T23:42:40Z,2025-06-25T23:42:48Z,fix,fix,9
sample100,21,,,,959682770,antiwork/gumroad,Ruby,6643,3254680021,674,Devin,2025-07-23T03:12:19Z,2025-07-24T14:38:25Z,fix,fix,10
sample100,22,,,,787076358,mendableai/firecrawl,TypeScript,43970,3274969873,1883,Claude_Code,2025-07-29T20:56:33Z,2025-07-29T21:07:14Z,fix,fix,10
sample100,23,,,,641042935,robinkarlberg/transfer.zip-web,JavaScript,1295,3219863351,38,OpenAI_Codex,2025-07-10T15:47:23Z,2025-07-10T15:48:03Z,fix,fix,10
sample100,24,,,,511141524,valkey-io/valkey-glide,Java,538,3255610089,4462,Copilot,2025-07-23T09:20:49Z,2025-07-24T12:00:34Z,fix,fix,10
sample100,25,,,,575321313,langbot-app/LangBot,Python,12782,3058736038,1397,Devin,2025-05-13T04:36:39Z,2025-05-13T04:44:00Z,fix,fix,10
sample100,26,,,,457435290,aldinokemal/go-whatsapp-web-multidevice,Go,2131,3219850150,338,Cursor,2025-07-10T15:43:04Z,2025-07-10T15:45:30Z,fix,fix,10
sample100,27,,,,826170402,elizaOS/eliza,TypeScript,16507,3118662815,4935,Claude_Code,2025-06-04T18:07:51Z,2025-06-05T08:55:15Z,fix,fix,10
sample100,28,,,,284805743,primer/view_components,Ruby,537,3134961752,3542,Copilot,2025-06-10T22:14:18Z,2025-06-10T22:52:36Z,fix,fix,10
sample100,29,,,,678526156,marimo-team/marimo,Python,14933,2840161375,3729,Devin,2025-02-08T17:24:30Z,2025-02-10T20:17:17Z,fix,fix,10
sample100,30,,,,457435290,aldinokemal/go-whatsapp-web-multidevice,Go,2131,3219380097,335,Cursor,2025-07-10T13:29:05Z,2025-07-10T13:30:35Z,fix,fix,9
sample100,31,,,,641042935,robinkarlberg/transfer.zip-web,JavaScript,1295,3203701912,33,OpenAI_Codex,2025-07-04T21:07:39Z,2025-07-04T21:08:13Z,fix,fix,10
sample100,32,,,,959682770,antiwork/gumroad,Ruby,6643,3231979057,636,Devin,2025-07-15T11:57:25Z,2025-07-15T14:17:01Z,fix,fix,10
sample100,33,,,,577492459,a16z/halmos,Python,917,3161413967,551,Copilot,2025-06-19T22:02:16Z,2025-06-20T01:42:23Z,fix,fix,10
sample100,34,,,,457435290,aldinokemal/go-whatsapp-web-multidevice,Go,2131,3219513244,336,Cursor,2025-07-10T14:06:58Z,2025-07-10T14:09:54Z,fix,fix,10
sample100,35,,,,12974177,OpenHFT/Java-Thread-Affinity,Java,1854,3085574693,173,OpenAI_Codex,2025-05-23T08:08:30Z,2025-05-23T08:26:24Z,fix,fix,9
sample100,36,,,,284805743,primer/view_components,Ruby,537,3122792815,3518,Copilot,2025-06-05T21:52:38Z,2025-06-06T02:50:07Z,fix,fix,9
sample100,37,,,,705022737,tegnike/aituber-kit,TypeScript,698,3046447638,384,Devin,2025-05-07T15:49:18Z,2025-05-07T20:03:29Z,fix,fix,9
sample100,38,,,,873328,getsentry/sentry,Python,41579,3136925045,93319,Cursor,2025-06-11T13:52:37Z,2025-06-11T14:51:40Z,fix,fix,10
sample100,39,,,,39321023,prebid/Prebid.js,JavaScript,1467,3232013024,13602,OpenAI_Codex,2025-07-15T12:09:00Z,2025-07-15T12:09:08Z,fix,fix,9
sample100,40,,,,816422401,sysadminsmedia/homebox,Go,3368,3204148213,861,Copilot,2025-07-05T03:13:52Z,2025-07-09T03:48:46Z,fix,fix,10
sample100,41,,,,959682770,antiwork/gumroad,Ruby,6643,3125655207,304,Devin,2025-06-06T19:14:11Z,2025-06-10T16:00:52Z,fix,fix,10
sample100,42,,,,137811219,nrwl/nx-console,TypeScript,1370,3172802243,2586,Cursor,2025-06-24T17:45:35Z,2025-06-24T23:34:19Z,fix,fix,10
sample100,43,,,,644499668,SimonHalvdansson/Harmonic-HN,Java,746,3129355047,215,OpenAI_Codex,2025-06-09T06:53:35Z,2025-06-09T06:59:10Z,fix,fix,10
sample100,45,,,,796633002,erpc/erpc,Go,518,3023193903,244,Devin,2025-04-27T16:46:18Z,2025-04-28T10:43:05Z,fix,fix,10
sample100,46,,,,265001214,tokens-studio/figma-plugin,TypeScript,1469,3100155456,3395,Cursor,2025-05-29T12:11:41Z,2025-05-31T17:51:42Z,fix,fix,10
sample100,47,,,,50623416,parse-community/parse-dashboard,JavaScript,3773,3216300635,2883,OpenAI_Codex,2025-07-09T15:18:15Z,2025-07-09T15:24:01Z,fix,fix,10
sample100,48,,,,284805743,primer/view_components,Ruby,537,3134925346,3540,Copilot,2025-06-10T21:51:17Z,2025-06-10T23:56:32Z,fix,fix,10
sample100,49,,,,644715009,PromtEngineer/localGPT,Python,21751,3233722470,853,Devin,2025-07-15T21:15:46Z,2025-07-16T05:51:35Z,fix,fix,10
sample100,50,,,,457435290,aldinokemal/go-whatsapp-web-multidevice,Go,2131,3236429624,358,Cursor,2025-07-16T15:32:44Z,2025-07-16T15:34:59Z,fix,fix,10
sample100,51,,,,12974177,OpenHFT/Java-Thread-Affinity,Java,1854,3083499712,157,OpenAI_Codex,2025-05-22T14:01:13Z,2025-05-22T15:24:29Z,fix,fix,9
sample100,52,,,,959682770,antiwork/gumroad,Ruby,6643,3103751553,283,Devin,2025-05-30T17:01:25Z,2025-05-30T17:01:49Z,fix,fix,10
sample100,53,,,,33373292,microsoft/ApplicationInsights-JS,TypeScript,671,3077731351,2535,Copilot,2025-05-20T17:22:22Z,2025-05-22T01:09:46Z,fix,fix,10
sample100,54,,,,881458615,browser-use/browser-use,Python,66661,3185453311,2161,Cursor,2025-06-28T20:30:46Z,2025-06-28T21:03:49Z,fix,fix,10
sample100,55,,,,641042935,robinkarlberg/transfer.zip-web,JavaScript,1295,3205035732,37,OpenAI_Codex,2025-07-05T14:36:04Z,2025-07-05T14:45:17Z,fix,fix,10
sample100,56,,,,959682770,antiwork/gumroad,Ruby,6643,3143875325,337,Devin,2025-06-13T15:05:01Z,2025-06-13T15:11:30Z,fix,fix,10
sample100,57,,,,156734327,imbhargav5/rooks,TypeScript,3318,3251944582,1832,Cursor,2025-07-22T09:45:33Z,2025-07-22T09:47:43Z,fix,fix,9
sample100,58,,,,39321023,prebid/Prebid.js,JavaScript,1467,3121845520,13283,OpenAI_Codex,2025-06-05T16:27:23Z,2025-06-05T18:55:21Z,fix,fix,9
sample100,59,,,,978331188,microsoft/magentic-ui,Python,6674,3077768704,62,Copilot,2025-05-20T17:39:49Z,2025-05-20T21:10:00Z,fix,fix,10
sample100,60,,,,959682770,antiwork/gumroad,Ruby,6643,3144234261,342,Devin,2025-06-13T17:24:41Z,2025-06-13T21:37:27Z,fix,fix,10
sample100,61,,,,457435290,aldinokemal/go-whatsapp-web-multidevice,Go,2131,3204701804,314,Cursor,2025-07-05T10:13:18Z,2025-07-05T10:58:35Z,fix,fix,10
sample100,62,,,,644499668,SimonHalvdansson/Harmonic-HN,Java,746,3139616557,219,OpenAI_Codex,2025-06-12T09:56:40Z,2025-06-12T10:08:51Z,fix,fix,10
sample100,63,,,,472313202,cornerstonejs/cornerstone3D,TypeScript,773,2994031267,1998,Devin,2025-04-14T19:37:34Z,2025-04-15T13:27:07Z,fix,fix,10
sample100,64,,,,136202695,mlflow/mlflow,Python,21402,3086339591,15863,Copilot,2025-05-23T13:13:26Z,2025-05-23T13:29:27Z,fix,fix,9
sample100,65,,,,642497346,langfuse/langfuse,TypeScript,14483,3206386280,7703,Cursor,2025-07-06T10:43:14Z,2025-07-06T10:45:09Z,fix,fix,10
sample100,66,,,,12974177,OpenHFT/Java-Thread-Affinity,Java,1854,3083506151,159,OpenAI_Codex,2025-05-22T14:03:19Z,2025-05-22T15:24:01Z,fix,fix,9
sample100,67,,,,959682770,antiwork/gumroad,Ruby,6643,3160036128,366,Devin,2025-06-19T11:50:30Z,2025-06-19T15:16:51Z,fix,fix,10
sample100,68,,,,873328,getsentry/sentry,Python,41579,3174571388,94261,Cursor,2025-06-25T07:41:04Z,2025-06-25T13:54:58Z,fix,fix,10
sample100,69,,,,50623416,parse-community/parse-dashboard,JavaScript,3773,3216264643,2882,OpenAI_Codex,2025-07-09T15:05:56Z,2025-07-09T15:10:46Z,fix,fix,10
