job_id,repo_id,repo_name,pr_id,pr_number,agent,revision,checkout_ref,base_sha,head_sha,language,codeql_language,codeql_version,query_suite,build_mode,build_command,comparison_status,status,attempts,retry_excluded,retry_excluded_reason
prebid_Prebid.js__pr-12765__before,39321023,prebid/Prebid.js,2334880148,12765,Human,before,af5703d06cab605ea46823c116b67e9e0fe3a43a,af5703d06cab605ea46823c116b67e9e0fe3a43a,def6da63e4ba43d72013d602ba224aa7d29c5b15,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
prebid_Prebid.js__pr-12765__after,39321023,prebid/Prebid.js,2334880148,12765,Human,after,def6da63e4ba43d72013d602ba224aa7d29c5b15,af5703d06cab605ea46823c116b67e9e0fe3a43a,def6da63e4ba43d72013d602ba224aa7d29c5b15,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
pixijs_pixijs__pr-11211__before,7741856,pixijs/pixijs,2286332545,11211,Human,before,ee65355a7e93f51199e19ecd27157679d7b04bd8,ee65355a7e93f51199e19ecd27157679d7b04bd8,2b7b759d9eade1c6b38b11b07143fcfaf6b3f3c9,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
pixijs_pixijs__pr-11211__after,7741856,pixijs/pixijs,2286332545,11211,Human,after,2b7b759d9eade1c6b38b11b07143fcfaf6b3f3c9,ee65355a7e93f51199e19ecd27157679d7b04bd8,2b7b759d9eade1c6b38b11b07143fcfaf6b3f3c9,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
OneKeyHQ_app-monorepo__pr-7351__before,430749584,OneKeyHQ/app-monorepo,2527096227,7351,Human,before,e10638a7dbf5dc9cd6b4b36e3eb07436733504fa,e10638a7dbf5dc9cd6b4b36e3eb07436733504fa,5d7d2cf7c7a7525e1b1a7048c6a704efe8abd8f0,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
OneKeyHQ_app-monorepo__pr-7351__after,430749584,OneKeyHQ/app-monorepo,2527096227,7351,Human,after,5d7d2cf7c7a7525e1b1a7048c6a704efe8abd8f0,e10638a7dbf5dc9cd6b4b36e3eb07436733504fa,5d7d2cf7c7a7525e1b1a7048c6a704efe8abd8f0,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
PrefectHQ_prefect__pr-17607__before,139199684,PrefectHQ/prefect,2420201980,17607,Human,before,bed9f0234118655f0d4d8ca5620694f3c737ca2a,bed9f0234118655f0d4d8ca5620694f3c737ca2a,b40c339db584c82f541f05fdf2ddd0bf94524f3b,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
PrefectHQ_prefect__pr-17607__after,139199684,PrefectHQ/prefect,2420201980,17607,Human,after,b40c339db584c82f541f05fdf2ddd0bf94524f3b,bed9f0234118655f0d4d8ca5620694f3c737ca2a,b40c339db584c82f541f05fdf2ddd0bf94524f3b,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
remotion-dev_remotion__pr-5141__before,274495425,remotion-dev/remotion,2458085948,5141,Human,before,8ba37f8feed32d09aef4ccd28859ca08358ce2f1,8ba37f8feed32d09aef4ccd28859ca08358ce2f1,b7e1394585e27d1b08ae13ac4df8921c600b3e6b,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
remotion-dev_remotion__pr-5141__after,274495425,remotion-dev/remotion,2458085948,5141,Human,after,b7e1394585e27d1b08ae13ac4df8921c600b3e6b,8ba37f8feed32d09aef4ccd28859ca08358ce2f1,b7e1394585e27d1b08ae13ac4df8921c600b3e6b,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
567-labs_instructor__pr-1544__before,653589102,567-labs/instructor,2537575913,1544,Human,before,7c749cd5bb30f11ceedcafea23673fb1fbdbd8fc,7c749cd5bb30f11ceedcafea23673fb1fbdbd8fc,be2ef36aaf6d06e70462f97e2e136ee307cec5e6,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
567-labs_instructor__pr-1544__after,653589102,567-labs/instructor,2537575913,1544,Human,after,be2ef36aaf6d06e70462f97e2e136ee307cec5e6,7c749cd5bb30f11ceedcafea23673fb1fbdbd8fc,be2ef36aaf6d06e70462f97e2e136ee307cec5e6,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
julep-ai_julep__pr-1183__before,781914762,julep-ai/julep,2352743534,1183,Human,before,6cdd06164fd92f3164cda6b9641b3cf3c4d72798,6cdd06164fd92f3164cda6b9641b3cf3c4d72798,293fb8aa713d0fe8a9fe8c471a4e9c25a2275e72,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
julep-ai_julep__pr-1183__after,781914762,julep-ai/julep,2352743534,1183,Human,after,293fb8aa713d0fe8a9fe8c471a4e9c25a2275e72,6cdd06164fd92f3164cda6b9641b3cf3c4d72798,293fb8aa713d0fe8a9fe8c471a4e9c25a2275e72,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
mendableai_firecrawl__pr-1398__before,787076358,mendableai/firecrawl,2428830090,1398,Human,before,e0a3c54967bb1a7d470f8059927131c73d1cc64f,e0a3c54967bb1a7d470f8059927131c73d1cc64f,74684645521fec0ea0a26655715d02b87bc85661,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
mendableai_firecrawl__pr-1398__after,787076358,mendableai/firecrawl,2428830090,1398,Human,after,74684645521fec0ea0a26655715d02b87bc85661,e0a3c54967bb1a7d470f8059927131c73d1cc64f,74684645521fec0ea0a26655715d02b87bc85661,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
antiwork_flexile__pr-195__before,955904085,antiwork/flexile,2482076457,195,Human,before,,,,Ruby,ruby,2.23.2,security-and-quality,none,,pending,needs_ref,,true,repository-wide exclusion requested after repeated preparation/API failures on 2026-07-25
antiwork_flexile__pr-195__after,955904085,antiwork/flexile,2482076457,195,Human,after,refs/pull/195/head,,,Ruby,ruby,2.23.2,security-and-quality,none,,pending,needs_ref,,true,repository-wide exclusion requested after repeated preparation/API failures on 2026-07-25
onlook-dev_onlook__pr-988__before,820087727,onlook-dev/onlook,2260962808,988,Human,before,e8e6849c2a007557456e5844fbcacb36baf9abfd,e8e6849c2a007557456e5844fbcacb36baf9abfd,991b4dea00f768b3f27fc2deabf13729a9c09f92,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
onlook-dev_onlook__pr-988__after,820087727,onlook-dev/onlook,2260962808,988,Human,after,991b4dea00f768b3f27fc2deabf13729a9c09f92,e8e6849c2a007557456e5844fbcacb36baf9abfd,991b4dea00f768b3f27fc2deabf13729a9c09f92,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
prebid_Prebid.js__pr-13303__before,39321023,prebid/Prebid.js,2573768662,13303,Human,before,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,75c070e42b9fe9143ebeb27de0f5c730379bbb03,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
