alert_id,root_cause_cluster_id,repo_name,pr_number,rule_id,file_path,start_line
qalert-0026b2db8f0898add2877e64,rccluster-fbf942d6bbcc48cea487,crewAIInc/crewAI,1892,py/unused-import,src/crewai/flow/persistence/decorators.py,28
qalert-004c30fc363045783756e0e5,rccluster-bc681f9e4d97b6336757,langflow-ai/langflow,8870,py/call/wrong-named-argument,src/backend/tests/unit/test_mcp_server.py,166
qalert-0058da3aa8961648627d7636,rccluster-21fb698b8728966835e9,mendableai/firecrawl,1851,js/automatic-semicolon-insertion,apps/api/src/controllers/v2/crawl-status.ts,270
qalert-010ad398ec81a12da56e8894,rccluster-36092e30cadb12be2c59,microsoft/typespec,7426,java/useless-tostring-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/LibraryCustomization.java,49
qalert-0115ace927056dab6d3f06fb,rccluster-8da92c9a6f0cfaa659fb,crewAIInc/crewAI,2476,py/unused-local-variable,tests/test_multimodal_validation.py,46
qalert-012de1c5e8a399281aa8efca,rccluster-a0a66d838906c627a519,ryokun6/ryos,95,js/unused-local-variable,api/chat.ts,8
qalert-014fe6e2c7f9d7ae307d092c,rccluster-f48a2f00a63273497c35,elie222/inbox-zero,494,js/unused-local-variable,apps/web/utils/referral/referral-tracking.ts,85
qalert-017781b4a6ed691006646f74,rccluster-af52b9b70a23e091bd4c,unclecode/crawl4ai,1152,py/unused-local-variable,crawl4ai/utils.py,147
qalert-018383a432936a81733678de,rccluster-fec928d151199ae6fad2,lingodotdev/lingo.dev,708,js/unused-local-variable,packages/cli/src/cli/loaders/android.spec.ts,7
qalert-01bad8e47cf7c02866a1bc82,rccluster-3b2cc931c08c3a5fead8,BeehiveInnovations/zen-mcp-server,95,py/repeated-import,tools/shared/base_tool.py,382
qalert-01c0a021d1ebe44502a51d5e,rccluster-4b224d821017ce974aa9,ruvnet/claude-flow,519,js/unused-local-variable,src/mcp/claude-flow-tools.ts,7
qalert-01d68cd1ce02c83d09e14802,rccluster-21e83f471fc50e560947,pdfme/pdfme,1059,js/automatic-semicolon-insertion,packages/pdf-lib/src/api/form/PDFForm.ts,599
qalert-0232daffd95073a361b91d7b,rccluster-ebf8eb1a619de5e26963,dailydotdev/apps,4632,js/trivial-conditional,packages/shared/src/features/onboarding/steps/FunnelOrganicSignup.tsx,143
qalert-02e5bc62aaa7f4690028b13a,rccluster-f810213003bd83b10a2f,calcom/cal.com,21590,js/unused-local-variable,packages/features/ee/teams/pages/team-settings-view.tsx,154
qalert-02edb4df3e9f80c17427c45c,rccluster-3df82d18ed76687b826c,vlm-run/vlmrun-hub,60,py/unused-import,vlmrun/hub/schemas/contrib/document/w2_form.py,1
qalert-031052b61c134921e88f704f,rccluster-c3265a45a310cdc3f8a2,novuhq/novu,8562,js/unused-local-variable,apps/dashboard/src/components/workflow-editor/test-workflow/test-workflow-drawer.tsx,29
qalert-032df438d75924f608a78203,rccluster-2611577cf49fad7c8c35,CapSoftware/Cap,574,js/unused-local-variable,apps/web/app/dashboard/caps/components/UploadCapButton.tsx,106
qalert-03cdea898b64db261612ffdf,rccluster-490c4e0dca174493f43e,elizaOS/eliza,5490,js/unused-local-variable,packages/core/src/__tests__/action-chaining-simple.test.ts,1
