root_cause_cluster_id,repo_name,pr_number,cluster_key_within_pr,alert_n,rule_n,rules_json,files_json,root_cause_category,mechanism_subcategory,disposition,change_operation,violated_relation,cause_statement,evidence_summary,confidence
rccluster-06bf514b4d93be7340e7,3rdIteration/btcrecover,599,base64-conversion-residue,1,1,"[""py/unused-import""]","[""btcrecover/addressset.py""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,modification_or_replacement,definition_use,The address conversion changed from base64.b16encode to int.from_bytes but retained the base64 import after its final consumer was removed.,btcrecover/addressset.py:24 and the replacement of the long(base64.b16encode(...)) expression.,high
rccluster-c94fc7a6f91664f23686,3rdIteration/btcrecover,611,duplicate-shamir-import-form,1,1,"[""py/unused-import""]","[""btcrecover/btcrseed.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,modification_or_replacement,module_dependency,The seed module added a shamir_mnemonic module import even though its direct from-import already performed the availability check and supplied the used names.,btcrecover/btcrseed.py:121 and the adjacent direct import from shamir_mnemonic.,high
rccluster-8850d2f10c8b3234819d,567-labs/instructor,1555,test-call-result-bindings,2,1,"[""py/unused-local-variable""]","[""tests/llm/test_vertexai/test_deprecated_async.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,definition_use,The new warning and exception tests assigned the return values of calls whose only tested effect was entering the surrounding pytest context; neither binding was subsequently read.,"tests/llm/test_vertexai/test_deprecated_async.py:19,32; both assignments are introduced in the new test file and the assertions are carried by pytest.warns/pytest.raises.",high
rccluster-977a361246a00fea0744,567-labs/instructor,1677,exception-test-result-bindings,2,1,"[""py/unused-local-variable""]","[""tests/llm/test_cohere/test_retries.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,definition_use,The two new invalid-model tests bound synchronous and asynchronous call results even though the tested behavior was the surrounding exception path and neither result was read.,"tests/llm/test_cohere/test_retries.py:45,61; both new assignments are followed only by exception assertions.",high
rccluster-8a1ed0761c02df0bee14,AgentOps-AI/agentops,1179,duplicate-validation-re-import,1,1,"[""py/repeated-import""]","[""docs/compile_llms_txt.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,module_dependency,The new documentation compiler imported re again inside its validation block even though the module already imported re at top level.,docs/compile_llms_txt.py:179 versus the import at line 2.,high
rccluster-31bc5209442a09d37c4a,AgentOps-AI/agentops,650,gemini-provider-unused-typing-imports,1,1,"[""py/unused-import""]","[""agentops/llms/providers/gemini.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The new Gemini provider imported Any, Dict, and Union but its implemented annotations only consumed Optional from that import group.","agentops/llms/providers/gemini.py:1 in a newly added file; the head implementation contains no references to Any, Dict, or Union.",high
rccluster-239281e9b0aa3ea46ada,AgentOps-AI/agentops,650,sync-example-async-client-import,1,1,"[""py/unused-import""]","[""examples/anthropic_examples/anthropic-example-sync.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new synchronous Anthropic example imported the asynchronous client alongside Anthropic but instantiated and used only the synchronous client.,examples/anthropic_examples/anthropic-example-sync.py:26; AsyncAnthropic has no head-revision reference in the new example.,high
rccluster-63b15743299bdeea4ba8,AgentOps-AI/agentops,729,enum-auto-import-residue,1,1,"[""py/unused-import""]","[""agentops/session/state.py""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,modification_or_replacement,definition_use,"SessionState members were changed from auto() values to explicit strings, but auto remained in the enum import after its uses disappeared.",agentops/session/state.py:2 and the modified SessionState member definitions.,high
rccluster-88e03d4d518abf486ff5,AgentOps-AI/agentops,729,init-test-unused-os-import,1,1,"[""py/unused-import""]","[""tests/unit/test_agentops_init.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new initialization test imported os without implementing an environment or path operation.,tests/unit/test_agentops_init.py:1 and the complete new test file.,high
rccluster-b47917f7c5112f480ea2,AgentOps-AI/agentops,729,manual-exporter-unused-test-scaffold,2,1,"[""py/unused-import""]","[""tests/manual_test_custom_exporter.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new manual exporter test carried unittest and Session scaffolding while its implemented class did not inherit TestCase and obtained sessions through Client instead.,"tests/manual_test_custom_exporter.py:1,5 and the complete new manual test.",high
