repo_name,pr_number,language,task_type,alert_n,rule_n,rules_json,source_status
3rdIteration/btcrecover,599,Python,fix,1,1,"[""py/unused-import""]",available
3rdIteration/btcrecover,611,Python,feat,1,1,"[""py/unused-import""]",available
567-labs/instructor,1555,Python,feat,2,1,"[""py/unused-local-variable""]",available
567-labs/instructor,1677,Python,fix,2,1,"[""py/unused-local-variable""]",available
AgentOps-AI/agentops,1179,Python,feat,1,1,"[""py/repeated-import""]",available
AgentOps-AI/agentops,650,Python,feat,2,1,"[""py/unused-import""]",available
AgentOps-AI/agentops,729,Python,fix,5,2,"[""py/undefined-export"", ""py/unused-import""]",available
Azure/azure-sdk-for-python,41852,Python,fix,1,1,"[""py/unused-import""]",available
BeehiveInnovations/zen-mcp-server,95,Python,feat,10,4,"[""py/inheritance/signature-mismatch"", ""py/multiple-definition"", ""py/repeated-import"", ""py/unused-local-variable""]",available
BerriAI/litellm,12551,Python,feat,4,2,"[""py/import-and-import-from"", ""py/unused-import""]",available
CapSoftware/Cap,561,TypeScript,fix,4,1,"[""js/unused-local-variable""]",available
CapSoftware/Cap,567,TypeScript,feat,36,1,"[""js/unused-local-variable""]",available
CapSoftware/Cap,571,TypeScript,feat,3,1,"[""js/unused-local-variable""]",available
CapSoftware/Cap,574,TypeScript,feat,4,1,"[""js/unused-local-variable""]",available
CapSoftware/Cap,575,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
CapSoftware/Cap,605,TypeScript,refactor,1,1,"[""js/unused-local-variable""]",available
Codehagen/Badget,294,TypeScript,feat,2,1,"[""js/unused-local-variable""]",available
Codehagen/Badget,295,TypeScript,feat,3,1,"[""js/unused-local-variable""]",available
DeepLabCut/DeepLabCut,3045,Python,fix,1,1,"[""py/unreachable-statement""]",available
Deepractice/PromptX,130,JavaScript,fix,4,1,"[""js/unused-local-variable""]",available
Helicone/helicone,3882,TypeScript,refactor,1,1,"[""js/unused-local-variable""]",available
HumanSignal/label-studio-ml-backend,782,Python,feat,5,3,"[""py/file-not-closed"", ""py/unnecessary-pass"", ""py/unused-import""]",available
Kanaries/pygwalker,700,Python,feat,2,1,"[""py/unused-import""]",available
Kiln-AI/Kiln,358,Python,fix,1,1,"[""py/unused-import""]",available
Kiln-AI/Kiln,361,Python,feat,11,4,"[""py/call/wrong-named-argument"", ""py/test-equals-none"", ""py/unused-import"", ""py/unused-local-variable""]",available
Kiln-AI/Kiln,365,Python,refactor,2,1,"[""py/unused-import""]",available
LeagueAkari/LeagueAkari,254,TypeScript,fix,1,1,"[""js/unused-local-variable""]",available
MervinPraison/PraisonAI,1021,Python,feat,3,2,"[""py/unused-import"", ""py/unused-local-variable""]",available
Netflix/metaflow,2467,Python,refactor,5,3,"[""py/commented-out-code"", ""py/mixed-returns"", ""py/uninitialized-local-variable""]",available
NewFuture/DDNS,495,Python,fix,1,1,"[""py/imprecise-assert""]",available
NewFuture/DDNS,498,Python,feat,2,1,"[""py/imprecise-assert""]",available
OHIF/Viewers,4998,TypeScript,fix,1,1,"[""js/unused-local-variable""]",available
OneKeyHQ/app-monorepo,6756,TypeScript,feat,12,1,"[""js/unused-local-variable""]",available
OpenHFT/Chronicle-Wire,1058,Java,refactor,2,1,"[""java/unknown-javadoc-parameter""]",available
OpenHFT/Chronicle-Wire,1061,Java,refactor,6,1,"[""java/unknown-javadoc-parameter""]",available
OpenPipe/ART,153,Python,fix,1,1,"[""py/empty-except""]",available
OpenPipe/ART,161,Python,feat,5,1,"[""py/unused-import""]",available
OpenPipe/ART,162,Python,feat,1,1,"[""py/unused-import""]",available
PrefectHQ/marvin,1162,Python,feat,1,1,"[""py/unused-global-variable""]",available
PythonNest/PyNest,107,Python,feat,6,2,"[""py/inheritance/signature-mismatch"", ""py/unused-import""]",available
RAGEN-AI/RAGEN,112,Python,feat,1,1,"[""py/unused-import""]",available
Shelf-nu/shelf.nu,1905,TypeScript,feat,1,1,"[""js/trivial-conditional""]",available
Shopify/roast,76,Ruby,feat,1,1,"[""rb/uninitialized-local-variable""]",available
Significant-Gravitas/AutoGPT,10340,Python,feat,2,2,"[""py/import-and-import-from"", ""py/unnecessary-pass""]",available
SimonHalvdansson/Harmonic-HN,216,Java,feat,1,1,"[""java/dereferenced-value-may-be-null""]",available
SimonHalvdansson/Harmonic-HN,220,Java,feat,2,1,"[""java/uncaught-number-format-exception""]",available
Skyvern-AI/skyvern,2435,Python,feat,9,2,"[""py/cyclic-import"", ""py/unsafe-cyclic-import""]",available
TobikoData/sqlmesh,4667,Python,feat,1,1,"[""py/empty-except""]",available
Voxelum/x-minecraft-launcher,1025,TypeScript,fix,1,1,"[""js/unused-local-variable""]",available
abi/screenshot-to-code,512,Python,refactor,1,1,"[""py/unused-import""]",available
abi/screenshot-to-code,513,Python,feat,1,1,"[""py/unused-import""]",available
actions/toolkit,2100,TypeScript,fix,3,1,"[""js/unused-local-variable""]",available
airbytehq/airbyte,52591,Python,feat,3,1,"[""py/unused-import""]",available
airbytehq/airbyte,52663,Python,feat,1,1,"[""py/file-not-closed""]",available
airbytehq/airbyte,54164,Python,refactor,1,1,"[""py/side-effect-in-assert""]",available
airbytehq/airbyte,55005,Python,feat,1,1,"[""py/commented-out-code""]",available
airbytehq/airbyte,56389,Python,feat,3,2,"[""py/file-not-closed"", ""py/unused-import""]",available
airbytehq/airbyte,56432,Python,feat,10,2,"[""py/call/wrong-arguments"", ""py/unused-import""]",available
airbytehq/airbyte,62455,Python,fix,9,2,"[""py/unused-import"", ""py/unused-local-variable""]",available
analogdotnow/Analog,129,TypeScript,feat,3,2,"[""js/trivial-conditional"", ""js/unused-local-variable""]",available
analogdotnow/Analog,225,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
antiwork/gumroad,615,Ruby,feat,1,1,"[""rb/uninitialized-local-variable""]",available
apache/pinot,16030,Java,fix,2,1,"[""java/uncaught-number-format-exception""]",available
apache/pulsar,24542,Java,fix,3,3,"[""java/dereferenced-value-may-be-null"", ""java/local-variable-is-never-read"", ""java/unused-parameter""]",available
axinc-ai/ailia-models,1704,Python,feat,10,4,"[""py/redundant-assignment"", ""py/unreachable-statement"", ""py/unused-import"", ""py/unused-local-variable""]",available
blefnk/relivator-nextjs-template,59,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
browser-use/browser-use,2348,Python,feat,1,1,"[""py/unused-local-variable""]",available
bytebot-ai/bytebot,35,TypeScript,feat,1,1,"[""js/useless-assignment-to-local""]",available
bytebot-ai/bytebot,40,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
bytebot-ai/bytebot,51,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
calcom/cal.com,20580,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
calcom/cal.com,20672,TypeScript,fix,1,1,"[""js/unused-local-variable""]",available
calcom/cal.com,21590,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
calcom/cal.com,21652,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
calcom/cal.com,22034,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
calcom/cal.com,22311,TypeScript,feat,1,1,"[""js/unused-local-variable""]",available
camunda/camunda,34932,Java,feat,1,1,"[""java/unused-parameter""]",available
cartography-cncf/cartography,1614,Python,feat,1,1,"[""py/import-and-import-from""]",available
cartography-cncf/cartography,1619,Python,refactor,1,1,"[""py/import-and-import-from""]",available
colinhacks/zod,4865,TypeScript,feat,1,1,"[""js/useless-expression""]",available
colinhacks/zod,4915,TypeScript,feat,2,1,"[""js/unused-local-variable""]",available
crewAIInc/crewAI,1818,Python,fix,4,1,"[""py/unused-import""]",available
crewAIInc/crewAI,1820,Python,fix,3,1,"[""py/unused-import""]",available
crewAIInc/crewAI,1892,Python,feat,10,3,"[""py/unreachable-statement"", ""py/unused-global-variable"", ""py/unused-import""]",available
crewAIInc/crewAI,1937,Python,fix,2,1,"[""py/unused-local-variable""]",available
