family,repo_language,group,denominator_pr_n,positive_pr_n,positive_pr_percent,positive_pr_wilson_low_percent,positive_pr_wilson_high_percent,introduced_alert_n,alerts_per_100_pr,sufficient_support,sparse_flag,sparse_reason,min_prs_per_group,min_positive_prs_per_group
quality,C,ai,48,24,50.0,36.389330502679385,63.610669497320615,245,510.4166666666667,false,true,ai_pr_n<50|human_pr_n<50,50,5
quality,C,human,49,18,36.734693877551024,24.665172968683137,50.73293243920758,268,546.9387755102041,false,true,ai_pr_n<50|human_pr_n<50,50,5
quality,C++,ai,97,23,23.711340206185568,16.35147536639664,33.07408769424596,317,326.8041237113402,true,false,,50,5
quality,C++,human,65,20,30.76923076923077,20.88703136692103,42.79764291472733,240,369.2307692307692,true,false,,50,5
quality,Go,ai,274,0,0.0,8.673617379884035e-17,1.382608210091937,0,0.0,false,true,ai_positive_pr_n<5|human_positive_pr_n<5,50,5
quality,Go,human,118,3,2.542372881355932,0.8683514404083097,7.208914636303016,16,13.559322033898304,false,true,ai_positive_pr_n<5|human_positive_pr_n<5,50,5
quality,Java,ai,89,18,20.224719101123597,13.193782732624642,29.719651983691513,595,668.5393258426966,true,false,,50,5
quality,Java,human,71,17,23.943661971830984,15.520940033040109,35.0412208560936,177,249.29577464788733,true,false,,50,5
quality,JavaScript,ai,149,22,14.765100671140939,9.95726761358796,21.344094719533512,65,43.624161073825505,true,false,,50,5
quality,JavaScript,human,143,28,19.58041958041958,13.908831329051532,26.843596017618744,312,218.1818181818182,true,false,,50,5
quality,Python,ai,750,173,23.066666666666666,20.19361576175724,26.21421372641981,798,106.4,true,false,,50,5
quality,Python,human,599,157,26.21035058430718,22.84807820915427,29.875810330706624,743,124.04006677796328,true,false,,50,5
quality,Ruby,ai,70,5,7.142857142857143,3.089421703784702,15.655412217095321,33,47.142857142857146,false,true,human_pr_n<50|human_positive_pr_n<5,50,5
quality,Ruby,human,42,2,4.761904761904762,1.3157524908905607,15.789852396958842,2,4.761904761904762,false,true,human_pr_n<50|human_positive_pr_n<5,50,5
quality,TypeScript,ai,1610,164,10.186335403726709,8.802365521366463,11.75984379646736,453,28.13664596273292,true,false,,50,5
quality,TypeScript,human,1230,188,15.284552845528456,13.381903318611124,17.403369465442236,2344,190.5691056910569,true,false,,50,5
security,C,ai,48,1,2.0833333333333335,0.3687110977510649,10.899217995251862,1,2.0833333333333335,false,true,ai_pr_n<50|ai_positive_pr_n<5|human_pr_n<50|human_positive_pr_n<5,50,5
security,C,human,49,2,4.081632653061225,1.1265633366185788,13.713032306080065,2,4.081632653061225,false,true,ai_pr_n<50|ai_positive_pr_n<5|human_pr_n<50|human_positive_pr_n<5,50,5
security,C++,ai,97,2,2.0618556701030926,0.5672685102266338,7.208758247415773,3,3.0927835051546393,false,true,ai_positive_pr_n<5|human_positive_pr_n<5,50,5
security,C++,human,65,1,1.5384615384615385,0.27209446020234684,8.213284729551473,2,3.076923076923077,false,true,ai_positive_pr_n<5|human_positive_pr_n<5,50,5
security,Go,ai,274,3,1.094890510948905,0.3730470399453791,3.169066099852574,4,1.4598540145985401,false,true,ai_positive_pr_n<5|human_positive_pr_n<5,50,5
security,Go,human,118,3,2.542372881355932,0.8683514404083097,7.208914636303016,18,15.254237288135593,false,true,ai_positive_pr_n<5|human_positive_pr_n<5,50,5
security,Java,ai,89,6,6.741573033707865,3.1261385052923307,13.936776082563224,39,43.82022471910113,false,true,human_positive_pr_n<5,50,5
security,Java,human,71,3,4.225352112676056,1.447326062047532,11.702416040484682,18,25.35211267605634,false,true,human_positive_pr_n<5,50,5
security,JavaScript,ai,149,4,2.684563758389262,1.0488186096238763,6.698725094853536,20,13.422818791946309,false,true,ai_positive_pr_n<5|human_positive_pr_n<5,50,5
security,JavaScript,human,143,4,2.797202797202797,1.093039010512339,6.971072389493262,6,4.195804195804196,false,true,ai_positive_pr_n<5|human_positive_pr_n<5,50,5
security,Python,ai,750,10,1.3333333333333333,0.7258256676852262,2.4368365262980545,36,4.8,true,false,,50,5
security,Python,human,599,11,1.8363939899833055,1.028449729034643,3.2581597007889727,25,4.173622704507513,true,false,,50,5
security,Ruby,ai,70,4,5.714285714285714,2.2443779100711247,13.79195047483823,7,10.0,false,true,ai_positive_pr_n<5|human_pr_n<50|human_positive_pr_n<5,50,5
security,Ruby,human,42,2,4.761904761904762,1.3157524908905607,15.789852396958842,4,9.523809523809524,false,true,ai_positive_pr_n<5|human_pr_n<50|human_positive_pr_n<5,50,5
security,TypeScript,ai,1610,48,2.981366459627329,2.256011137649855,3.9305605528340863,135,8.385093167701863,true,false,,50,5
security,TypeScript,human,1230,69,5.609756097560975,4.456577285851055,7.039345290479475,196,15.934959349593496,true,false,,50,5
