rank,rule_id,introduced_alert_n,affected_pr_n,alert_percent
1,js/unused-local-variable,1290,315,19.52179176755448
2,js/useless-expression,593,17,8.973970944309928
3,js/automatic-semicolon-insertion,388,65,5.871670702179177
4,py/unused-import,325,115,4.918280871670702
5,java/missing-override-annotation,306,12,4.6307506053268765
6,js/useless-assignment-to-local,266,31,4.02542372881356
7,java/deprecated-call,231,8,3.4957627118644066
8,cpp/unused-static-variable,226,33,3.420096852300242
9,py/cyclic-import,199,50,3.011501210653753
10,py/unsafe-cyclic-import,197,46,2.9812348668280872
11,cpp/mistyped-function-arguments,175,24,2.6483050847457625
12,cpp/implicit-function-declaration,166,24,2.5121065375302662
13,py/unused-local-variable,149,57,2.2548426150121066
14,cpp/short-global-name,140,15,2.1186440677966103
15,js/trivial-conditional,117,45,1.7705811138014529
16,py/ineffectual-statement,101,34,1.528450363196126
17,cpp/local-variable-hides-global-variable,95,18,1.4376513317191284
18,js/implicit-operand-conversion,94,3,1.4225181598062955
19,py/import-and-import-from,76,30,1.1501210653753027
20,cpp/commented-out-code,67,9,1.0139225181598064
21,java/unused-parameter,59,10,0.8928571428571429
22,js/unneeded-defensive-code,59,8,0.8928571428571429
23,py/empty-except,56,32,0.847457627118644
24,js/malformed-html-id,55,2,0.8323244552058111
25,js/use-before-declaration,54,5,0.8171912832929782
26,py/mixed-returns,52,26,0.7869249394673123
27,py/unused-global-variable,52,26,0.7869249394673123
28,py/multiple-definition,39,22,0.5901937046004843
29,cpp/large-parameter,38,3,0.5750605326876513
30,java/local-variable-is-never-read,37,11,0.5599273607748184
31,js/use-of-returnless-function,36,3,0.5447941888619855
32,js/superfluous-trailing-arguments,32,11,0.48426150121065376
33,py/call/wrong-named-argument,32,8,0.48426150121065376
34,js/syntax-error,29,3,0.43886198547215494
35,py/uninitialized-local-variable,29,17,0.43886198547215494
36,rb/useless-assignment-to-local,27,4,0.4085956416464891
37,cpp/poorly-documented-function,25,5,0.37832929782082325
38,java/uncaught-number-format-exception,25,8,0.37832929782082325
39,js/redundant-operation,25,6,0.37832929782082325
40,cpp/declaration-hides-variable,24,4,0.36319612590799033
41,js/comparison-between-incompatible-types,24,9,0.36319612590799033
42,cpp/dead-code-goto,22,5,0.33292978208232443
43,py/catch-base-exception,22,13,0.33292978208232443
44,java/non-overriding-package-private,21,1,0.3177966101694915
45,js/unreachable-statement,21,9,0.3177966101694915
46,js/regex/duplicate-in-character-class,19,2,0.28753026634382567
47,java/confusing-method-signature,17,2,0.2572639225181598
48,java/unknown-javadoc-parameter,17,4,0.2572639225181598
49,cpp/duplicate-include-guard,16,3,0.24213075060532688
50,py/commented-out-code,16,10,0.24213075060532688
51,py/file-not-closed,16,10,0.24213075060532688
52,cpp/trivial-switch,14,9,0.211864406779661
53,py/unreachable-statement,14,14,0.211864406779661
54,java/inconsistent-javadoc-throws,12,5,0.18159806295399517
55,py/inheritance/signature-mismatch,12,9,0.18159806295399517
56,py/repeated-import,12,7,0.18159806295399517
