model,probability_decile,pr_n,mean_predicted_probability,observed_prevalence
context_only,1,541,0.0023759544061670956,0.0036968576709796672
context_only,2,540,0.03811375480507241,0.06851851851851852
context_only,3,540,0.05039882586051605,0.04259259259259259
context_only,4,541,0.059859965307638104,0.066543438077634
context_only,5,540,0.07253618074595394,0.06296296296296296
context_only,6,540,0.08086979842035265,0.04814814814814815
context_only,7,541,0.09081556403744552,0.08872458410351201
context_only,8,540,0.10809918222648877,0.08148148148148149
context_only,9,540,0.13347160296280638,0.13148148148148148
context_only,10,541,0.3169371226741447,0.3585951940850277
context_plus_provenance,1,541,0.0023687212954429985,0.0036968576709796672
context_plus_provenance,2,540,0.03746521595555698,0.07037037037037037
context_plus_provenance,3,540,0.04995355574471264,0.04814814814814815
context_plus_provenance,4,541,0.060420502391740294,0.06284658040665435
context_plus_provenance,5,540,0.07146678519607458,0.05
context_plus_provenance,6,540,0.08032879641152829,0.06296296296296296
context_plus_provenance,7,541,0.09111623043665724,0.08872458410351201
context_plus_provenance,8,540,0.10822923150960419,0.08888888888888889
context_plus_provenance,9,540,0.1344411865476547,0.11851851851851852
context_plus_provenance,10,541,0.3186621422932943,0.3585951940850277
