case_id,finding_id,relation,matched_reference_ids,reference_scope
case-00977e0ec8aff7fcb678,mf-13801105e50bcb09f499,no_reference,,original_raw
case-00977e0ec8aff7fcb678,mf-c1816aad0ac7a28c8203,no_reference,,original_raw
case-0e7910d93b1d2321cee6,mf-84869a37090263a9e055,no_reference,,original_raw
case-0e7910d93b1d2321cee6,mf-4e79a0440b5544fc746a,no_reference,,original_raw
case-210bb7200d289a3d2aa0,mf-0a12b0c6986a67b80f8b,no_reference,,original_raw
case-210bb7200d289a3d2aa0,mf-2bf6ad949922ecc0b946,no_reference,,original_raw
case-210bb7200d289a3d2aa0,mf-600d81be1f58ca8612ed,no_reference,,original_raw
case-210bb7200d289a3d2aa0,mf-93ac482e6b836def360e,no_reference,,original_raw
case-22b5befc227597e10e1c,mf-8f3eec0bcc61facde566,no_reference,,original_raw
case-22b5befc227597e10e1c,mf-6f413a38154d138657bc,no_reference,,original_raw
case-22b5befc227597e10e1c,mf-3c151d43a6f06111cede,no_reference,,original_raw
case-22b5befc227597e10e1c,mf-7129e16ce9786ad7ca8f,no_reference,,original_raw
case-22b5befc227597e10e1c,mf-5e3c7221156f54a2b44e,no_reference,,original_raw
case-22b5befc227597e10e1c,mf-50cf57f4fd4f7d9fbb04,no_reference,,original_raw
case-2a05c6f1f5871c732fc9,mf-1d853c4a8a5e49c3895e,no_reference,,original_raw
case-2a05c6f1f5871c732fc9,mf-d1e89d01a8fab57897be,no_reference,,original_raw
case-2a05c6f1f5871c732fc9,mf-548197042f1d7c4448cb,no_reference,,original_raw
case-2ae54e3d2402891653c9,mf-5dd36c15fb01f0a88cf4,no_reference,,original_raw
case-2ae54e3d2402891653c9,mf-1bc78d1f9da105634f70,no_reference,,original_raw
case-2ae54e3d2402891653c9,mf-ff53c84e0079e4c0e2af,no_reference,,original_raw
case-337b59edf712fccfe514,mf-619a5f9794a756618cc5,no_reference,,original_raw
case-337b59edf712fccfe514,mf-acfc5a04c490cbfa2f02,no_reference,,original_raw
case-337b59edf712fccfe514,mf-2a781417389326b186aa,no_reference,,original_raw
case-337b59edf712fccfe514,mf-e9637b78a3d68abe2207,no_reference,,original_raw
case-3579bc98fa0e953b64f7,mf-30f32a0977aea9d3d747,no_reference,,original_raw
case-3579bc98fa0e953b64f7,mf-4fc648e96741f6fcc33a,no_reference,,original_raw
case-3579bc98fa0e953b64f7,mf-304226469be09976571c,no_reference,,original_raw
case-4bdf822f70334d0f1dc2,mf-dc7c937399e82231dd08,no_reference,,original_raw
case-4bdf822f70334d0f1dc2,mf-ec6c7546059e682c960b,no_reference,,original_raw
case-525cca57fa45a53cdf40,mf-85547bb09960bb772937,no_reference,,original_raw
case-554adcd81abcd45211d3,mf-2f57e692c564d02712c5,no_reference,,original_raw
case-554adcd81abcd45211d3,mf-6a6d572f62b3b2b1e88c,no_reference,,original_raw
case-656157e34a42feec3ad8,mf-45dde033b9599c33a3b2,no_reference,,original_raw
case-656157e34a42feec3ad8,mf-3dbf6370d448e5fe088a,no_reference,,original_raw
case-656157e34a42feec3ad8,mf-1870ab7f8c113eb4b3fe,no_reference,,original_raw
case-656157e34a42feec3ad8,mf-850c1724e31d0f691a89,no_reference,,original_raw
case-656157e34a42feec3ad8,mf-eb8a055e89c3a242863b,no_reference,,original_raw
case-656157e34a42feec3ad8,mf-15a66c1edbf2d781b2aa,no_reference,,original_raw
case-656157e34a42feec3ad8,mf-63d6cd044015bc793ff6,no_reference,,original_raw
case-656157e34a42feec3ad8,mf-b4e7a2d6f9109b8d5047,no_reference,,original_raw
case-7769db528e070342d826,mf-7b13d633a68230180fe4,no_match,,original_raw
case-7769db528e070342d826,mf-5f591305b752997b2784,no_match,,original_raw
case-7769db528e070342d826,mf-e46d3cd4669b40cf3dca,no_match,,original_raw
case-7769db528e070342d826,mf-3a42851508ebcf6e4e43,no_match,,original_raw
case-7769db528e070342d826,mf-1fdcb096be9a926af5b9,no_match,,original_raw
case-7769db528e070342d826,mf-4a64a88a3fb3c1611239,no_match,,original_raw
case-7769db528e070342d826,mf-b77a250627043adcb48c,no_match,,original_raw
case-7769db528e070342d826,mf-e74e30addb9f4dfcd1d9,no_match,,original_raw
case-7769db528e070342d826,mf-01a355e579cd8bfe5fdb,no_match,,original_raw
case-7769db528e070342d826,mf-de5ac4e12266821e0fde,no_match,,original_raw
case-7c75f021c35395eadfeb,mf-8834ee74b07773fb6d6c,no_reference,,original_raw
case-7c75f021c35395eadfeb,mf-17ce49705ee5d32e8b59,no_reference,,original_raw
case-7c75f021c35395eadfeb,mf-95fbc4ad5338f9588f62,no_reference,,original_raw
case-7c75f021c35395eadfeb,mf-868d9c1b7c5e2dabe8f7,no_reference,,original_raw
case-876b04abf7d9fca64331,mf-ad60503aa74ae62ecd65,no_reference,,original_raw
case-876b04abf7d9fca64331,mf-9b97c39c375cc9549d2f,no_reference,,original_raw
case-876b04abf7d9fca64331,mf-ce4af98e1019d0cc1ca3,no_reference,,original_raw
case-876b04abf7d9fca64331,mf-b2836533cb96aed384f3,no_reference,,original_raw
case-876b04abf7d9fca64331,mf-73b1d3844fae37d1e8b6,no_reference,,original_raw
case-890543742b2667251625,mf-806043ae73fe69b3c4dd,no_reference,,original_raw
case-890543742b2667251625,mf-7ef873c9c5b5d07ffcbb,no_reference,,original_raw
case-890543742b2667251625,mf-c3ed11ffbdc64c08bb75,no_reference,,original_raw
case-890543742b2667251625,mf-d6828dd31a57367b768b,no_reference,,original_raw
case-890543742b2667251625,mf-c9b0ef5723a8bc9faf9f,no_reference,,original_raw
case-8e3569ec12253aacd7c7,mf-9ddb3fa49e20f9767fc3,no_reference,,original_raw
case-8e3569ec12253aacd7c7,mf-2ab69a24921bd576a388,no_reference,,original_raw
case-8e3569ec12253aacd7c7,mf-e8fe413e5d4fa61827d7,no_reference,,original_raw
case-8e3569ec12253aacd7c7,mf-424e9c1559a64bbee3b5,no_reference,,original_raw
case-8e3569ec12253aacd7c7,mf-818a05abbb98ba139ae2,no_reference,,original_raw
