group,top_pr_percent,cumulative_alert_share_percent,top_pr_n
ai,0.0,0.0,0
ai,0.1,16.258064516129032,3
ai,0.25,24.774193548387096,8
ai,0.5,33.935483870967744,15
ai,1.0,48.25806451612903,31
ai,2.0,65.29032258064517,62
ai,3.0,75.87096774193547,93
ai,4.0,83.48387096774194,123
ai,5.0,87.48387096774194,154
ai,6.000000000000001,91.48387096774194,185
ai,6.999999999999999,95.48387096774194,216
ai,8.0,99.48387096774194,247
ai,9.0,100.0,278
ai,10.0,100.0,309
ai,11.0,100.0,340
ai,12.0,100.0,370
ai,13.0,100.0,401
ai,14.000000000000002,100.0,432
ai,15.000000000000002,100.0,463
ai,16.0,100.0,494
ai,17.0,100.0,525
ai,18.000000000000004,100.0,556
ai,19.0,100.0,587
ai,20.0,100.0,617
human,0.0,0.0,0
human,0.1,17.477096546863987,2
human,0.25,28.259337561663145,6
human,0.5,38.759689922480625,12
human,1.0,51.656095842142356,23
human,2.0,67.51233262861169,46
human,3.0,76.39182522903452,70
human,4.0,82.24101479915433,93
human,5.0,86.5398167723749,116
human,6.000000000000001,89.7815362931642,139
human,6.999999999999999,92.81183932346723,162
human,8.0,94.43269908386188,185
human,9.0,96.12403100775194,209
human,10.0,97.74489076814659,232
human,11.0,99.36575052854123,255
human,12.0,100.0,278
human,13.0,100.0,301
human,14.000000000000002,100.0,324
human,15.000000000000002,100.0,348
human,16.0,100.0,371
human,17.0,100.0,394
human,18.000000000000004,100.0,417
human,19.0,100.0,440
human,20.0,100.0,463
