layer,group,domain,alert_n,raw_alert_n,retention_rate,affected_pr_n
raw_differential,ai,quality,2506,2506,1.000000000000,429
raw_differential,ai,security,245,245,1.000000000000,78
raw_differential,ai,all,2751,2751,1.000000000000,476
raw_differential,human,quality,4102,4102,1.000000000000,433
raw_differential,human,security,271,271,1.000000000000,95
raw_differential,human,all,4373,4373,1.000000000000,481
raw_differential,all,quality,6608,6608,1.000000000000,862
raw_differential,all,security,516,516,1.000000000000,173
raw_differential,all,all,7124,7124,1.000000000000,957
condition_present,ai,quality,1969,2506,0.785714285714,391
condition_present,ai,security,236,245,0.963265306122,74
condition_present,ai,all,2205,2751,0.801526717557,434
condition_present,human,quality,3597,4102,0.876889322282,399
condition_present,human,security,238,271,0.878228782288,87
condition_present,human,all,3835,4373,0.876972330208,443
condition_present,all,quality,5566,6608,0.842312348668,790
condition_present,all,security,474,516,0.918604651163,161
condition_present,all,all,6040,7124,0.847838293094,877
pr_attributed,ai,quality,1033,2506,0.412210694334,295
pr_attributed,ai,security,131,245,0.534693877551,39
pr_attributed,ai,all,1164,2751,0.423118865867,315
pr_attributed,human,quality,2831,4102,0.690151145783,311
pr_attributed,human,security,130,271,0.479704797048,58
pr_attributed,human,all,2961,4373,0.677109535788,341
pr_attributed,all,quality,3864,6608,0.584745762712,606
pr_attributed,all,security,261,516,0.505813953488,97
pr_attributed,all,all,4125,7124,0.579028635598,656
validated_issue,ai,quality,857,2506,0.341979249800,271
validated_issue,ai,security,96,245,0.391836734694,30
validated_issue,ai,all,953,2751,0.346419483824,287
validated_issue,human,quality,1471,4102,0.358605558264,276
validated_issue,human,security,71,271,0.261992619926,36
validated_issue,human,all,1542,4373,0.352618339812,291
validated_issue,all,quality,2328,6608,0.352300242131,547
validated_issue,all,security,167,516,0.323643410853,66
validated_issue,all,all,2495,7124,0.350224592925,578
human_confirmed_issue,ai,quality,775,2506,0.309257781325,251
human_confirmed_issue,ai,security,79,245,0.322448979592,27
human_confirmed_issue,ai,all,854,2751,0.310432569975,266
human_confirmed_issue,human,quality,1419,4102,0.345928815212,264
human_confirmed_issue,human,security,49,271,0.180811808118,26
human_confirmed_issue,human,all,1468,4373,0.335696318317,274
human_confirmed_issue,all,quality,2194,6608,0.332021791768,515
human_confirmed_issue,all,security,128,516,0.248062015504,53
human_confirmed_issue,all,all,2322,7124,0.325940482875,540
