dimension,stratum,family,pr_n,introduced_alert_n,affected_pr_n,affected_pr_percent,affected_pr_wilson_low_percent,affected_pr_wilson_high_percent,alerts_per_100_pr,mean_per_pr,median_per_pr,p95_per_pr,max_per_pr
repo_language,all,quality,3087,775,251,8.130871396177518,7.217979183171217,9.14783787862325,25.105280207321023,0.25105280207321024,0.0,1.0,74
repo_language,all,security,3087,79,27,0.8746355685131195,0.6018030039774361,1.26957925846845,2.559118885649498,0.02559118885649498,0.0,0.0,20
repo_language,C,quality,48,6,2,4.166666666666667,1.1501893489386585,13.975655870455444,12.5,0.125,0.0,0.0,4
repo_language,C,security,48,0,0,0.0,6.938893903907228e-16,7.410012966611748,0.0,0.0,0.0,0.0,0
repo_language,C++,quality,97,1,1,1.0309278350515463,0.1822164808286852,5.610499024289902,1.0309278350515463,0.010309278350515464,0.0,0.0,1
repo_language,C++,security,97,1,1,1.0309278350515463,0.1822164808286852,5.610499024289902,1.0309278350515463,0.010309278350515464,0.0,0.0,1
repo_language,Go,quality,274,0,0,0.0,8.673617379884035e-17,1.382608210091937,0.0,0.0,0.0,0.0,0
repo_language,Go,security,274,0,0,0.0,8.673617379884035e-17,1.382608210091937,0.0,0.0,0.0,0.0,0
repo_language,Java,quality,89,91,8,8.98876404494382,4.6252429145950655,16.746091694670593,102.24719101123596,1.0224719101123596,0.0,2.0,74
repo_language,Java,security,89,0,0,0.0,3.469446951953614e-16,4.137654523625252,0.0,0.0,0.0,0.0,0
repo_language,JavaScript,quality,149,21,9,6.040268456375839,3.2100224500152574,11.080248651307729,14.093959731543624,0.14093959731543623,0.0,1.0,6
repo_language,JavaScript,security,149,0,0,0.0,1.734723475976807e-16,2.513361787000954,0.0,0.0,0.0,0.0,0
repo_language,Python,quality,750,296,94,12.533333333333333,10.35302042688995,15.095494851217724,39.46666666666667,0.39466666666666667,0.0,2.0,12
repo_language,Python,security,750,13,2,0.26666666666666666,0.07316010502436661,0.9670398904708752,1.7333333333333334,0.017333333333333333,0.0,0.0,12
repo_language,Ruby,quality,70,17,5,7.142857142857143,3.089421703784702,15.655412217095321,24.285714285714285,0.24285714285714285,0.0,1.0,8
repo_language,Ruby,security,70,1,1,1.4285714285714286,0.2526246457890312,7.658187131208328,1.4285714285714286,0.014285714285714285,0.0,0.0,1
repo_language,TypeScript,quality,1610,343,132,8.198757763975156,6.956072310745339,9.640443868509209,21.304347826086957,0.21304347826086956,0.0,1.0,36
repo_language,TypeScript,security,1610,64,23,1.4285714285714286,0.9538016263744693,2.1345722995944114,3.9751552795031055,0.03975155279503106,0.0,0.0,20
