family,issue_count_bin,pr_n,pr_percent,introduced_alert_n,alert_percent_within_family
quality,0,2836,91.86912860382247,0,0.0
quality,1,129,4.178814382896015,129,16.64516129032258
quality,2_3,63,2.0408163265306123,149,19.225806451612904
quality,4_10,50,1.6196954972465176,294,37.935483870967744
quality,gt_10,9,0.2915451895043732,203,26.193548387096776
security,0,3060,99.12536443148689,0,0.0
security,1,16,0.5183025591188857,16,20.253164556962027
security,2_3,6,0.19436345966958213,16,20.253164556962027
security,4_10,3,0.09718172983479106,15,18.9873417721519
security,gt_10,2,0.06478781988986071,32,40.50632911392405
