family,task_type,metric,estimate,ci_low,ci_high,repository_n,pr_n,bootstrap_replicates,seed
quality,all,affected_pr_percent,8.130871396177518,6.524586229358087,9.890168970814132,536,3087,2000,20260623
quality,all,alerts_per_100_pr,25.105280207321023,18.043370341251546,34.19066111391827,536,3087,2000,20260623
security,all,affected_pr_percent,0.8746355685131195,0.5520920243502981,1.223468358719686,536,3087,2000,20260623
security,all,alerts_per_100_pr,2.559118885649498,1.1870451756600822,4.476237634506541,536,3087,2000,20260623
quality,feat,affected_pr_percent,11.23429416112343,8.981233668981448,14.078718375860012,321,1353,2000,20260623
quality,feat,alerts_per_100_pr,40.20694752402069,26.53864977350054,59.3861433576523,321,1353,2000,20260623
security,feat,affected_pr_percent,1.3303769401330376,0.7479361661971634,2.03302824240961,321,1353,2000,20260623
security,feat,alerts_per_100_pr,4.360679970436068,1.539888164971889,8.482250265591802,321,1353,2000,20260623
quality,fix,affected_pr_percent,4.83531885073581,3.2760717967810296,6.690549573434954,392,1427,2000,20260623
quality,fix,alerts_per_100_pr,10.2312543798178,6.629237902057375,14.266046087601513,392,1427,2000,20260623
security,fix,affected_pr_percent,0.5606166783461808,0.19955474680171628,0.9978943657667076,392,1427,2000,20260623
security,fix,alerts_per_100_pr,1.1212333566923616,0.25333718512407943,2.441041133659554,392,1427,2000,20260623
quality,refactor,affected_pr_percent,9.77198697068404,5.849231212548857,14.80213037569834,125,307,2000,20260623
quality,refactor,alerts_per_100_pr,27.68729641693811,14.16120660956935,48.138476974355456,125,307,2000,20260623
security,refactor,affected_pr_percent,0.3257328990228013,0.0,1.171875,125,307,2000,20260623
security,refactor,alerts_per_100_pr,1.3029315960912051,0.0,4.6875,125,307,2000,20260623
