family,task_type,metric,estimate,ci_low,ci_high,repository_n,pr_n,bootstrap_replicates,seed
quality,all,affected_pr_percent,11.394044022442815,8.826697020485923,14.067392737460857,381,2317,2000,20260623
quality,all,alerts_per_100_pr,61.24298662063013,39.15499497951219,89.1387669750534,381,2317,2000,20260623
security,all,affected_pr_percent,1.122140699179974,0.6421232876712328,1.671794413346353,381,2317,2000,20260623
security,all,alerts_per_100_pr,2.1148036253776437,1.0168057175813663,3.312432621254379,381,2317,2000,20260623
quality,feat,affected_pr_percent,15.412844036697248,11.942851620385285,19.117069841867465,263,1090,2000,20260623
quality,feat,alerts_per_100_pr,101.28440366972477,57.60841045278871,157.5469499213625,263,1090,2000,20260623
security,feat,affected_pr_percent,1.834862385321101,1.0662254511995246,2.781005331344795,263,1090,2000,20260623
security,feat,alerts_per_100_pr,3.853211009174312,1.8064180264566574,6.361600924149674,263,1090,2000,20260623
quality,fix,affected_pr_percent,7.232401157184185,4.877808087291399,9.883293739625687,253,1037,2000,20260623
quality,fix,alerts_per_100_pr,21.022179363548698,12.941318277964415,30.474262050860467,253,1037,2000,20260623
security,fix,affected_pr_percent,0.4821600771456123,0.10555545798418026,0.9357671318170159,253,1037,2000,20260623
security,fix,alerts_per_100_pr,0.5785920925747348,0.10881097128258505,1.1871029652344487,253,1037,2000,20260623
quality,refactor,affected_pr_percent,11.052631578947368,6.602613671512527,16.31306035059547,89,190,2000,20260623
quality,refactor,alerts_per_100_pr,51.05263157894737,24.18220495745468,86.31017080745342,89,190,2000,20260623
security,refactor,affected_pr_percent,0.5263157894736842,0.0,1.8993427458617298,89,190,2000,20260623
security,refactor,alerts_per_100_pr,0.5263157894736842,0.0,1.8993427458617298,89,190,2000,20260623
