family,task_type,rank,rule_id,rule_name,quality_category,introduced_alert_n,affected_pr_n,alert_percent,cumulative_alert_percent
quality,all,1,js/unused-local-variable,"Unused variable, import, function or class",maintainability,704,145,49.6124031007752,49.6124031007752
quality,all,2,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,180,28,12.684989429175475,62.29739252995067
quality,all,3,py/unused-import,Unused import,maintainability,153,46,10.782241014799155,73.07963354474983
quality,all,4,js/useless-assignment-to-local,Useless assignment to local variable,maintainability,40,12,2.818886539816772,75.8985200845666
quality,all,5,py/unused-local-variable,Unused local variable,maintainability,32,14,2.255109231853418,78.15362931642001
quality,all,6,java/missing-override-annotation,Missing Override annotation,maintainability,30,2,2.1141649048625792,80.2677942212826
quality,all,7,js/syntax-error,Syntax error,correctness_reliability,28,2,1.9732205778717407,82.24101479915433
quality,all,8,java/unused-parameter,Useless parameter,maintainability,27,3,1.9027484143763214,84.14376321353066
quality,all,9,js/trivial-conditional,Useless conditional,correctness_reliability,21,19,1.4799154334038056,85.62367864693447
quality,all,10,py/unsafe-cyclic-import,Module-level cyclic import,correctness_reliability,19,9,1.3389711064129668,86.96264975334742
quality,all,11,js/malformed-html-id,Malformed id attribute,correctness_reliability,18,1,1.2684989429175475,88.23114869626498
quality,all,12,py/multiple-definition,Variable defined multiple times,maintainability,17,13,1.1980267794221282,89.4291754756871
quality,all,13,py/cyclic-import,Cyclic import,correctness_reliability,11,4,0.7751937984496124,90.20436927413671
quality,all,14,py/empty-except,Empty except,correctness_reliability,8,3,0.5637773079633545,90.76814658210007
quality,all,15,py/not-named-cls,First parameter of a class method is not named 'cls',maintainability,7,1,0.49330514446793516,91.26145172656801
quality,all,16,js/superfluous-trailing-arguments,Superfluous trailing arguments,correctness_reliability,7,5,0.49330514446793516,91.75475687103594
quality,all,17,js/unreachable-statement,Unreachable statement,correctness_reliability,7,3,0.49330514446793516,92.24806201550388
quality,all,18,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,7,5,0.49330514446793516,92.74136715997182
quality,all,19,py/import-and-import-from,Module is imported with 'import' and 'import from',maintainability,7,4,0.49330514446793516,93.23467230443974
quality,all,20,js/useless-expression,Expression has no effect,maintainability,5,5,0.3523608174770965,93.58703312191685
