family,role,model,term,estimate,standard_error,p_value
quality,primary,binary,Intercept,-2.870033158021699,0.4390260500938055,6.265061572612478e-11
quality,primary,binary,"C(task_type, Treatment(reference='fix'))[T.feat]",0.4590233508820157,0.1177699812588265,9.714024952184602e-05
quality,primary,binary,"C(task_type, Treatment(reference='fix'))[T.refactor]",0.3715838134097847,0.2164864870277985,0.08608344360467562
quality,primary,binary,C(repo_language)[T.C++],-2.8732469021568416,1.2789359444608663,0.024666131882680693
quality,primary,binary,C(repo_language)[T.Go],-3.5106462387725177,1.1039693612785746,0.001472641558610113
quality,primary,binary,C(repo_language)[T.Java],0.12058241876842647,0.5607644098843837,0.829742194252332
quality,primary,binary,C(repo_language)[T.JavaScript],-0.17972754294824755,0.7316203330854126,0.8059478810904763
quality,primary,binary,C(repo_language)[T.Python],0.5252987510200048,0.4532094085425726,0.24643006166677273
quality,primary,binary,C(repo_language)[T.Ruby],-0.025726654878869108,0.7247819742832055,0.9716844626276216
quality,primary,binary,C(repo_language)[T.TypeScript],0.18302821868981006,0.4522772569138348,0.6857116750840033
quality,primary,binary,ai,-0.23115471649532404,0.22908151456758433,0.31295062571614785
quality,primary,binary,"ai:C(task_type, Treatment(reference='fix'))[T.feat]",0.15205581996889597,0.21849098111550866,0.4864686800461536
quality,primary,binary,"ai:C(task_type, Treatment(reference='fix'))[T.refactor]",0.27373412208472475,0.3340738169512175,0.412568416341102
quality,primary,binary,log1p_changed_kloc,1.1208979365264469,0.1344410794226818,7.589942564437392e-17
quality,primary,count,Intercept,-3.105388157312506,0.4359174704033578,1.0499261961338067e-12
quality,primary,count,"C(task_type, Treatment(reference='fix'))[T.feat]",0.4816066267753585,0.2554444423056276,0.05938025074037403
quality,primary,count,"C(task_type, Treatment(reference='fix'))[T.refactor]",0.3983582689908181,0.2788444863496452,0.15311816591413022
quality,primary,count,C(repo_language)[T.C++],-3.3178821433431853,1.0639249943849223,0.001817555618727295
quality,primary,count,C(repo_language)[T.Go],-3.9318661471591834,1.047422109353074,0.00017413865582863668
quality,primary,count,C(repo_language)[T.Java],1.9494917121147313,0.7301793880641742,0.007587824573976152
quality,primary,count,C(repo_language)[T.JavaScript],1.3059629031625781,0.8321300548714701,0.11654972839825634
quality,primary,count,C(repo_language)[T.Python],1.3874356402955734,0.4563573984467407,0.0023639034283217913
quality,primary,count,C(repo_language)[T.Ruby],-0.9101384593951678,0.6628587445127374,0.16973668130699526
quality,primary,count,C(repo_language)[T.TypeScript],0.8789994901989755,0.47083017576390424,0.06191358559003695
quality,primary,count,ai,-0.500776878221923,0.30438699495103505,0.09992898388049352
quality,primary,count,"ai:C(task_type, Treatment(reference='fix'))[T.feat]",0.3151832545114832,0.3746655626011979,0.40021409902690164
quality,primary,count,"ai:C(task_type, Treatment(reference='fix'))[T.refactor]",0.3774811532281949,0.41900514298824215,0.36764222739694674
quality,primary,count,log1p_changed_kloc,2.025384899069356,0.08296454275765201,1.2550558331971047e-131
