family,role,model,task_type,metric,estimate,ci_low,ci_high
quality,primary,binary,all,marginal_probability_ai,0.09854072782840526,0.08759450249735061,0.11553825592779834
quality,primary,binary,all,marginal_probability_human,0.10799016162296218,0.09156245442071635,0.13307581218445322
quality,primary,binary,all,risk_difference,-0.009449433794556927,-0.033585476450651616,0.010975030103544043
quality,primary,binary,all,risk_ratio,0.9124972714871122,0.7453625168934607,1.1138059995957659
quality,primary,binary,all,marginal_odds_ratio,0.9029321332486874,0.7180456491251279,1.1282412966010757
quality,primary,binary,feat,marginal_probability_ai,0.13525307533174816,0.11721583140282758,0.159185196584662
quality,primary,binary,feat,marginal_probability_human,0.14366713201796436,0.1216659894934784,0.17559147861463703
quality,primary,binary,feat,risk_difference,-0.008414056686216198,-0.03792539341159726,0.018609743364108082
quality,primary,binary,feat,risk_ratio,0.9414336698447903,0.7722450186291407,1.1368934752099613
quality,primary,binary,feat,marginal_odds_ratio,0.9322734449993241,0.7388302277933877,1.162518106572097
quality,primary,binary,fix,marginal_probability_ai,0.05776412684806101,0.04413037422344103,0.07871211255450261
quality,primary,binary,fix,marginal_probability_human,0.07097911610572337,0.05468363975280702,0.0964345934212108
quality,primary,binary,fix,risk_difference,-0.01321498925766236,-0.04212146086490691,0.012660624342619508
quality,primary,binary,fix,risk_ratio,0.8138186274681325,0.5449256431254568,1.2164578839098539
quality,primary,binary,fix,marginal_odds_ratio,0.8024047079537959,0.5221817742847079,1.2331421994886875
quality,primary,binary,refactor,marginal_probability_ai,0.12024149214410254,0.09007760978661915,0.16587247650604225
quality,primary,binary,refactor,marginal_probability_human,0.11611164548510733,0.08529675438167414,0.16331618252334457
quality,primary,binary,refactor,risk_difference,0.004129846658995212,-0.04980196048528387,0.055888195725976086
quality,primary,binary,refactor,risk_ratio,1.0355678936573585,0.6782734425050654,1.5840390063388448
quality,primary,binary,refactor,marginal_odds_ratio,1.040429155660049,0.6405698425689265,1.6869584508929063
