rule_id,root_cause_category,cluster_n,alert_n,pr_n
cpp/commented-out-code,redundant_or_locally_inconsistent_construction,1,1,1
cpp/implicit-function-declaration,interface_or_contract_mismatch,3,6,2
java/deprecated-call,interface_or_contract_mismatch,1,66,1
java/dereferenced-value-may-be-null,control_state_or_dataflow_miscomposition,2,2,2
java/ignored-error-status-of-call,dependency_error_or_resource_mismanagement,2,2,1
java/local-variable-is-never-read,incomplete_change_coordination,1,1,1
java/missing-override-annotation,interface_or_contract_mismatch,1,1,1
java/uncaught-number-format-exception,dependency_error_or_resource_mismanagement,2,4,2
java/unknown-javadoc-parameter,interface_or_contract_mismatch,2,8,2
java/unused-parameter,incomplete_change_coordination,3,4,3
java/useless-tostring-call,redundant_or_locally_inconsistent_construction,2,3,1
js/automatic-semicolon-insertion,redundant_or_locally_inconsistent_construction,9,16,9
js/call-to-non-callable,interface_or_contract_mismatch,1,1,1
js/missing-space-in-concatenation,redundant_or_locally_inconsistent_construction,1,2,1
js/react/unused-or-undefined-state-property,control_state_or_dataflow_miscomposition,1,2,1
js/redundant-assignment,redundant_or_locally_inconsistent_construction,1,1,1
js/redundant-operation,control_state_or_dataflow_miscomposition,1,3,1
js/trivial-conditional,control_state_or_dataflow_miscomposition,11,22,10
js/unreachable-statement,control_state_or_dataflow_miscomposition,1,1,1
js/unused-local-variable,incomplete_change_coordination,178,286,112
js/unused-local-variable,interface_or_contract_mismatch,1,1,1
js/unused-local-variable,redundant_or_locally_inconsistent_construction,11,16,11
js/unused-loop-variable,incomplete_change_coordination,1,1,1
js/useless-assignment-to-local,control_state_or_dataflow_miscomposition,9,10,9
js/useless-expression,redundant_or_locally_inconsistent_construction,2,2,2
py/call/wrong-arguments,interface_or_contract_mismatch,1,1,1
py/call/wrong-named-argument,interface_or_contract_mismatch,2,9,2
py/catch-base-exception,dependency_error_or_resource_mismanagement,2,7,2
py/commented-out-code,incomplete_change_coordination,3,6,3
py/commented-out-code,redundant_or_locally_inconsistent_construction,1,1,1
py/cyclic-import,dependency_error_or_resource_mismanagement,6,18,6
py/empty-except,dependency_error_or_resource_mismanagement,8,14,7
py/exit-from-finally,control_state_or_dataflow_miscomposition,1,1,1
py/file-not-closed,dependency_error_or_resource_mismanagement,3,4,3
py/import-and-import-from,redundant_or_locally_inconsistent_construction,7,7,7
py/imprecise-assert,redundant_or_locally_inconsistent_construction,2,3,2
py/inheritance/signature-mismatch,interface_or_contract_mismatch,4,7,4
py/missing-call-to-init,interface_or_contract_mismatch,1,2,1
py/mixed-returns,control_state_or_dataflow_miscomposition,3,4,3
py/multiple-definition,control_state_or_dataflow_miscomposition,2,4,2
py/multiple-definition,redundant_or_locally_inconsistent_construction,3,6,3
py/redundant-assignment,redundant_or_locally_inconsistent_construction,2,3,1
py/redundant-else,control_state_or_dataflow_miscomposition,1,1,1
py/repeated-import,redundant_or_locally_inconsistent_construction,3,7,2
py/return-or-yield-outside-function,control_state_or_dataflow_miscomposition,1,1,1
py/side-effect-in-assert,control_state_or_dataflow_miscomposition,1,1,1
py/test-equals-none,redundant_or_locally_inconsistent_construction,1,4,1
py/undefined-export,incomplete_change_coordination,1,1,1
py/uninitialized-local-variable,control_state_or_dataflow_miscomposition,2,4,2
py/unnecessary-pass,redundant_or_locally_inconsistent_construction,3,3,3
py/unreachable-statement,control_state_or_dataflow_miscomposition,5,5,5
py/unsafe-cyclic-import,dependency_error_or_resource_mismanagement,5,13,4
py/unused-global-variable,incomplete_change_coordination,1,2,1
py/unused-global-variable,redundant_or_locally_inconsistent_construction,1,1,1
py/unused-import,incomplete_change_coordination,62,107,43
py/unused-import,redundant_or_locally_inconsistent_construction,4,5,4
py/unused-local-variable,control_state_or_dataflow_miscomposition,1,1,1
py/unused-local-variable,incomplete_change_coordination,8,12,8
py/unused-local-variable,interface_or_contract_mismatch,1,3,1
py/unused-local-variable,redundant_or_locally_inconsistent_construction,13,28,12
rb/uninitialized-local-variable,control_state_or_dataflow_miscomposition,2,3,2
rb/uninitialized-local-variable,dependency_error_or_resource_mismanagement,1,1,1
rb/useless-assignment-to-local,control_state_or_dataflow_miscomposition,2,2,2
rb/useless-assignment-to-local,incomplete_change_coordination,1,1,1
rb/useless-assignment-to-local,redundant_or_locally_inconsistent_construction,5,10,3
