rule_id,alert_n,cluster_n,category_n,mechanism_n
cpp/commented-out-code,1,1,1,1
cpp/implicit-function-declaration,6,3,1,1
java/deprecated-call,66,1,1,1
java/dereferenced-value-may-be-null,2,2,1,2
java/ignored-error-status-of-call,2,2,1,1
java/local-variable-is-never-read,1,1,1,1
java/missing-override-annotation,1,1,1,1
java/uncaught-number-format-exception,4,2,1,1
java/unknown-javadoc-parameter,8,2,1,1
java/unused-parameter,4,3,1,1
java/useless-tostring-call,3,2,1,1
js/automatic-semicolon-insertion,16,9,1,1
js/call-to-non-callable,1,1,1,1
js/missing-space-in-concatenation,2,1,1,1
js/react/unused-or-undefined-state-property,2,1,1,1
js/redundant-assignment,1,1,1,1
js/redundant-operation,3,1,1,1
js/trivial-conditional,22,11,1,2
js/unreachable-statement,1,1,1,1
js/unused-local-variable,303,190,3,5
js/unused-loop-variable,1,1,1,1
js/useless-assignment-to-local,10,9,1,1
js/useless-expression,2,2,1,1
py/call/wrong-arguments,1,1,1,1
py/call/wrong-named-argument,9,2,1,1
py/catch-base-exception,7,2,1,1
py/commented-out-code,7,4,2,2
py/cyclic-import,18,6,1,1
py/empty-except,14,8,1,1
py/exit-from-finally,1,1,1,1
py/file-not-closed,4,3,1,1
py/import-and-import-from,7,7,1,1
py/imprecise-assert,3,2,1,1
py/inheritance/signature-mismatch,7,4,1,1
py/missing-call-to-init,2,1,1,1
py/mixed-returns,4,3,1,1
py/multiple-definition,10,5,2,2
py/redundant-assignment,3,2,1,1
py/redundant-else,1,1,1,1
py/repeated-import,7,3,1,1
py/return-or-yield-outside-function,1,1,1,1
py/side-effect-in-assert,1,1,1,1
py/test-equals-none,4,1,1,1
py/undefined-export,1,1,1,1
py/uninitialized-local-variable,4,2,1,1
py/unnecessary-pass,3,3,1,1
py/unreachable-statement,5,5,1,1
py/unsafe-cyclic-import,13,5,1,1
py/unused-global-variable,3,2,2,2
py/unused-import,112,66,2,3
py/unused-local-variable,44,23,4,5
rb/uninitialized-local-variable,4,3,2,2
rb/useless-assignment-to-local,13,8,3,3
