scenario,dimension,stratum,group,pr_n,positive_pr_n,alert_n,repository_n,positive_repository_n
baseline,all,all,ai,3087,251,775,536,126
baseline,all,all,human,2317,264,1419,381,95
baseline,task_type,feat,ai,1353,152,544,321,93
baseline,task_type,feat,human,1090,168,1104,263,78
baseline,task_type,fix,ai,1427,69,146,392,44
baseline,task_type,fix,human,1037,75,218,253,38
baseline,task_type,refactor,ai,307,30,85,125,25
baseline,task_type,refactor,human,190,21,97,89,18
baseline,repo_language,C,ai,48,2,6,13,1
baseline,repo_language,C,human,49,4,4,10,4
baseline,repo_language,C++,ai,97,1,1,34,1
baseline,repo_language,C++,human,65,0,0,28,0
baseline,repo_language,Go,ai,274,0,0,65,0
baseline,repo_language,Go,human,118,1,2,44,1
baseline,repo_language,Java,ai,89,8,91,23,6
baseline,repo_language,Java,human,71,7,73,21,6
baseline,repo_language,JavaScript,ai,149,9,21,37,3
baseline,repo_language,JavaScript,human,143,21,177,16,1
baseline,repo_language,Python,ai,750,94,296,136,51
baseline,repo_language,Python,human,599,80,312,105,32
baseline,repo_language,Ruby,ai,70,5,17,11,4
baseline,repo_language,Ruby,human,42,1,1,4,1
baseline,repo_language,TypeScript,ai,1610,132,343,217,60
baseline,repo_language,TypeScript,human,1230,150,850,153,50
exclude_top1,all,all,ai,3087,140,472,536,87
exclude_top1,all,all,human,2317,154,715,381,69
exclude_top1,task_type,feat,ai,1353,79,317,321,62
exclude_top1,task_type,feat,human,1090,96,527,263,56
exclude_top1,task_type,fix,ai,1427,38,86,392,27
exclude_top1,task_type,fix,human,1037,42,123,253,26
exclude_top1,task_type,refactor,ai,307,23,69,125,19
exclude_top1,task_type,refactor,human,190,16,65,89,14
exclude_top1,repo_language,C,ai,48,2,6,13,1
exclude_top1,repo_language,C,human,49,4,4,10,4
exclude_top1,repo_language,C++,ai,97,1,1,34,1
exclude_top1,repo_language,C++,human,65,0,0,28,0
exclude_top1,repo_language,Go,ai,274,0,0,65,0
exclude_top1,repo_language,Go,human,118,1,2,44,1
exclude_top1,repo_language,Java,ai,89,8,91,23,6
exclude_top1,repo_language,Java,human,71,7,73,21,6
exclude_top1,repo_language,JavaScript,ai,149,5,9,37,2
exclude_top1,repo_language,JavaScript,human,143,15,76,16,1
exclude_top1,repo_language,Python,ai,750,94,296,136,51
exclude_top1,repo_language,Python,human,599,80,312,105,32
exclude_top1,repo_language,Ruby,ai,70,5,17,11,4
exclude_top1,repo_language,Ruby,human,42,1,1,4,1
exclude_top1,repo_language,TypeScript,ai,1610,25,52,217,22
exclude_top1,repo_language,TypeScript,human,1230,46,247,153,24
exclude_top5,all,all,ai,3087,91,234,536,69
exclude_top5,all,all,human,2317,101,348,381,55
exclude_top5,task_type,feat,ai,1353,60,162,321,50
exclude_top5,task_type,feat,human,1090,65,245,263,45
exclude_top5,task_type,fix,ai,1427,17,29,392,17
exclude_top5,task_type,fix,human,1037,24,61,253,18
exclude_top5,task_type,refactor,ai,307,14,43,125,12
exclude_top5,task_type,refactor,human,190,12,42,89,11
exclude_top5,repo_language,C,ai,48,2,6,13,1
exclude_top5,repo_language,C,human,49,4,4,10,4
exclude_top5,repo_language,C++,ai,97,1,1,34,1
exclude_top5,repo_language,C++,human,65,0,0,28,0
exclude_top5,repo_language,Go,ai,274,0,0,65,0
exclude_top5,repo_language,Go,human,118,1,2,44,1
exclude_top5,repo_language,Java,ai,89,8,25,23,6
exclude_top5,repo_language,Java,human,71,6,71,21,5
exclude_top5,repo_language,JavaScript,ai,149,1,3,37,1
exclude_top5,repo_language,JavaScript,human,143,8,13,16,1
exclude_top5,repo_language,Python,ai,750,52,140,136,36
exclude_top5,repo_language,Python,human,599,45,127,105,23
exclude_top5,repo_language,Ruby,ai,70,5,17,11,4
exclude_top5,repo_language,Ruby,human,42,1,1,4,1
exclude_top5,repo_language,TypeScript,ai,1610,22,42,217,20
exclude_top5,repo_language,TypeScript,human,1230,36,130,153,20
shared_repositories,all,all,ai,2318,188,622,277,82
shared_repositories,all,all,human,2159,246,1376,277,78
shared_repositories,task_type,feat,ai,1032,113,442,187,63
shared_repositories,task_type,feat,human,1011,155,1067,209,65
shared_repositories,task_type,fix,ai,1042,51,110,219,27
shared_repositories,task_type,fix,human,969,70,212,200,33
shared_repositories,task_type,refactor,ai,244,24,70,89,21
shared_repositories,task_type,refactor,human,179,21,97,80,18
shared_repositories,repo_language,C,ai,34,2,6,5,1
shared_repositories,repo_language,C,human,40,2,2,5,2
shared_repositories,repo_language,C++,ai,46,1,1,19,1
shared_repositories,repo_language,C++,human,55,0,0,19,0
shared_repositories,repo_language,Go,ai,194,0,0,30,0
shared_repositories,repo_language,Go,human,93,0,0,30,0
shared_repositories,repo_language,Java,ai,53,7,90,13,5
shared_repositories,repo_language,Java,human,59,5,71,13,4
shared_repositories,repo_language,JavaScript,ai,73,5,9,10,1
shared_repositories,repo_language,JavaScript,human,134,21,177,10,1
shared_repositories,repo_language,Python,ai,608,69,212,80,33
shared_repositories,repo_language,Python,human,570,75,289,80,28
shared_repositories,repo_language,Ruby,ai,62,3,10,4,3
shared_repositories,repo_language,Ruby,human,42,1,1,4,1
shared_repositories,repo_language,TypeScript,ai,1248,101,294,116,38
shared_repositories,repo_language,TypeScript,human,1166,142,836,116,42
