scenario,repo_name,pr_number,group,ai,task_type,repo_language,log1p_changed_kloc,overlap_weight,introduced_quality_any,introduced_quality_alerts,introduced_security_any,introduced_security_alerts
baseline,567-labs/instructor,1729,ai,1,fix,Python,0.6512829764612464,1.0,0,0,0,0
baseline,celestiaorg/celestia-core,2147,ai,1,fix,Go,0.003992021269537453,1.0,0,0,0,0
baseline,ryokun6/ryos,158,ai,1,fix,TypeScript,0.012916225266546328,1.0,0,0,0,0
baseline,antiwork/gumroad,166,ai,1,fix,Ruby,0.001998002662673056,1.0,0,0,0,0
baseline,SimonHalvdansson/Harmonic-HN,213,ai,1,fix,Java,0.010939940038334364,1.0,0,0,0,0
baseline,prebid/Prebid.js,13275,ai,1,fix,JavaScript,0.010939940038334364,1.0,0,0,0,0
baseline,erpc/erpc,245,ai,1,fix,Go,0.008959741371471904,1.0,0,0,0,0
baseline,gensx-inc/gensx,893,ai,1,fix,TypeScript,0.1406311297397456,1.0,0,0,0,0
baseline,valkey-io/valkey-glide,4287,ai,1,fix,Java,0.3133498192003587,1.0,0,0,0,0
baseline,airbytehq/airbyte,62941,ai,1,fix,Python,0.002995508979798479,1.0,0,0,0,0
baseline,antiwork/gumroad,576,ai,1,fix,Ruby,0.04401688541677432,1.0,0,0,0,0
baseline,gtg922r/obsidian-numerals,109,ai,1,fix,TypeScript,0.009950330853168083,1.0,0,0,0,0
baseline,primer/view_components,3539,ai,1,fix,Ruby,0.006975613736425242,1.0,0,0,0,0
baseline,Significant-Gravitas/AutoGPT,10483,ai,1,fix,Python,0.4700036292457356,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2918,ai,1,fix,JavaScript,0.037295784743696894,1.0,0,0,0,0
baseline,different-ai/note-companion,382,ai,1,fix,TypeScript,0.005982071677547464,1.0,0,0,0,0
baseline,aldinokemal/go-whatsapp-web-multidevice,334,ai,1,fix,Go,0.002995508979798479,1.0,0,0,0,0
baseline,elizaOS/eliza,5490,ai,1,fix,TypeScript,0.3038014543316642,1.0,1,1,0,0
baseline,valkey-io/valkey-glide,4456,ai,1,fix,Java,0.0246926125903715,1.0,0,0,0,0
baseline,OpenPipe/ART,164,ai,1,fix,Python,0.019802627296179712,1.0,0,0,0,0
baseline,antiwork/gumroad,674,ai,1,fix,Ruby,0.02176149178151269,1.0,0,0,0,0
baseline,mendableai/firecrawl,1883,ai,1,fix,TypeScript,0.005982071677547464,1.0,0,0,0,0
baseline,robinkarlberg/transfer.zip-web,38,ai,1,fix,JavaScript,0.008959741371471904,1.0,0,0,0,0
baseline,valkey-io/valkey-glide,4462,ai,1,fix,Java,0.001998002662673056,1.0,0,0,0,0
baseline,langbot-app/LangBot,1397,ai,1,fix,Python,0.017839918128331,1.0,0,0,0,0
baseline,aldinokemal/go-whatsapp-web-multidevice,338,ai,1,fix,Go,0.006975613736425242,1.0,0,0,0,0
baseline,elizaOS/eliza,4935,ai,1,fix,TypeScript,0.3674170404706345,1.0,1,1,0,0
baseline,primer/view_components,3542,ai,1,fix,Ruby,0.0168571170664229,1.0,0,0,0,0
baseline,marimo-team/marimo,3729,ai,1,fix,Python,0.044973365642731154,1.0,0,0,0,0
baseline,aldinokemal/go-whatsapp-web-multidevice,335,ai,1,fix,Go,0.004987541511039074,1.0,0,0,0,0
baseline,robinkarlberg/transfer.zip-web,33,ai,1,fix,JavaScript,0.009950330853168083,1.0,0,0,0,0
baseline,antiwork/gumroad,636,ai,1,fix,Ruby,0.007968169649176874,1.0,0,0,0,0
baseline,a16z/halmos,551,ai,1,fix,Python,0.032467190137501496,1.0,0,0,0,0
baseline,aldinokemal/go-whatsapp-web-multidevice,336,ai,1,fix,Go,0.011928570865273802,1.0,0,0,0,0
baseline,OpenHFT/Java-Thread-Affinity,173,ai,1,fix,Java,0.010939940038334364,1.0,0,0,0,0
baseline,primer/view_components,3518,ai,1,fix,Ruby,0.008959741371471904,1.0,0,0,0,0
