repo_name,ai_pr_n,human_pr_n,shared
0x2e/fusion,1,0,False
0x4d31/galah,9,1,True
3rditeration/btcrecover,6,0,False
4ian/gdevelop,1,0,False
567-labs/instructor,16,5,True
a16z/halmos,4,5,True
abi/screenshot-to-code,3,0,False
acacode/swagger-typescript-api,4,0,False
acesuit/mace,0,1,False
actions/toolkit,1,0,False
activepieces/activepieces,1,1,True
adaline/gateway,1,1,True
afadil/wealthfolio,4,3,True
afassoftware/maquette,1,0,False
ag2ai/ag2,0,2,False
agentdock/agentdock,0,1,False
agentops-ai/agentops,9,15,True
aipotheosis-labs/aci,8,4,True
airbytehq/airbyte,35,13,True
akto-api-security/akto,0,3,False
aldinokemal/go-whatsapp-web-multidevice,13,0,False
alefragnani/vscode-bookmarks,1,0,False
alexanderjeurissen/ranger_devicons,4,0,False
alexpfau/calendar-card-pro,1,3,True
alirezamika/autoscraper,1,0,False
allenai/open-instruct,1,1,True
allenai/reward-bench,0,1,False
amantus-ai/vibetunnel,5,2,True
amoylab/unla,0,2,False
analogdotnow/analog,10,7,True
angular-eslint/angular-eslint,6,4,True
ant-design/ant-design,1,0,False
antiwork/gumroad,51,35,True
antiwork/shortest,8,21,True
anyproto/anytype-ts,3,4,True
apache/ozone,0,1,False
apache/pinot,3,1,True
apache/pulsar,1,1,True
apolloconfig/apollo,1,0,False
appsmithorg/appsmith,9,30,True
arc53/docsgpt,1,0,False
arikchakma/maily.to,1,1,True
arize-ai/openinference,1,0,False
arthursonzogni/ftxui,4,7,True
artsy/eigen,1,0,False
artsy/force,1,1,True
assistant-ui/assistant-ui,4,7,True
axinc-ai/ailia-models,1,0,False
azerothcore/azerothcore-wotlk,2,1,True
azure/azqr,3,0,False
azure/azure-sdk-for-go,2,4,True
azure/azure-sdk-for-java,3,1,True
azure/azure-sdk-for-js,7,13,True
azure/azure-sdk-for-python,6,8,True
azure/azure-storage-azcopy,0,8,False
azure/azure-storage-fuse,2,2,True
azure/kubelogin,1,0,False
badtuxx/girus-cli,6,3,True
ballerine-io/ballerine,0,1,False
bambulab/bambustudio,1,0,False
basedhardware/omi,0,1,False
basementstudio/xmcp,1,0,False
basetenlabs/truss,1,0,False
basicmachines-co/basic-memory,1,0,False
bcherny/json-schema-to-typescript,0,1,False
beehiveinnovations/zen-mcp-server,2,1,True
ben-sb/obfuscator-io-deobfuscator,0,1,False
bennycode/trading-signals,2,0,False
bentoml/bentoml,3,7,True
berriai/litellm,3,6,True
bespokelabsai/curator,4,8,True
better-auth/better-auth,2,1,True
bikeshaving/crank,2,0,False
binarywang/wxjava,3,0,False
bitcoin/bitcoin,0,1,False
blaizzy/mlx-audio,1,1,True
blaizzy/mlx-vlm,4,5,True
blefnk/relivator-nextjs-template,1,0,False
blorm-network/zerepy,0,2,False
bluewallet/bluewallet,5,0,False
box/box-ui-elements,4,63,True
browser-use/browser-use,13,0,False
browserbase/stagehand,0,1,False
browserless/browserless,3,0,False
bruin-data/bruin,24,13,True
bruin-data/ingestr,3,3,True
buildbuddy-io/buildbuddy,0,1,False
busser/tfautomv,2,1,True
bytebot-ai/bytebot,8,5,True
calcom/cal.com,60,60,True
callstack/react-native-testing-library,1,0,False
cameroncooke/xcodebuildmcp,1,1,True
camunda/camunda,7,0,False
camunda/camunda-modeler,2,0,False
capsoftware/cap,12,22,True
cartography-cncf/cartography,7,4,True
catatsuy/private-isu,2,2,True
celestiaorg/celestia-core,28,7,True
chainlit/chainlit,0,1,False
chaokunhong/metascreener,3,0,False
chhoumann/quickadd,0,1,False
chrxh/alien,9,0,False
ckan/ckan,0,1,False
cline/cline,0,1,False
cloudnative-pg/cloudnative-pg,1,0,False
cloudposse/atmos,3,1,True
cmer/socialization,1,0,False
cockroachdb/cockroach,1,0,False
codehagen/badget,6,1,True
coder/coder,1,0,False
codexu/note-gen,1,0,False
colinhacks/zod,4,0,False
comet-ml/opik,1,1,True
commaai/opendbc,8,3,True
commaai/openpilot,3,0,False
commaai/panda,0,3,False
composiohq/composio,4,10,True
cornerstonejs/cornerstone3d,3,4,True
coturn/coturn,3,0,False
crewaiinc/crewai,35,116,True
crewaiinc/crewai-tools,3,15,True
cvxpy/cvxpy,1,1,True
czlonkowski/n8n-mcp,1,0,False
dagster-io/dagster,4,4,True
dailydotdev/apps,2,0,False
dalathegreat/battery-emulator,1,0,False
damien-schneider/cuicui,0,1,False
danny-avila/librechat,0,1,False
dartsim/dart,4,1,True
datadog/dd-trace-go,0,2,False
datadog/dd-trace-java,1,1,True
datahub-project/datahub,2,0,False
datopian/portaljs,2,2,True
deeplabcut/deeplabcut,2,0,False
deepnoodle-ai/risor,5,0,False
deepractice/promptx,4,0,False
devitocodes/devito,0,1,False
different-ai/note-companion,27,10,True
diggerhq/digger,1,0,False
disler/just-prompt,2,0,False
distroav/distroav,1,0,False
dlt-hub/dlt,1,0,False
docling-project/docling,4,0,False
dotcms/core,1,0,False
dotenvx/dotenvx,0,2,False
dotnet/diagnostics,2,0,False
dropseed/plain,10,3,True
dust-tt/dust,2,8,True
dynamoose/dynamoose,1,0,False
easyops-cn/docusaurus-search-local,2,0,False
edgenesis/shifu,4,1,True
edwinvw/pitstop,1,0,False
effekseer/effekseer,6,5,True
elastic/kibana,4,0,False
electricitymaps/electricitymaps-contrib,1,1,True
elie222/inbox-zero,3,4,True
elixir-lsp/vscode-elixir-ls,17,2,True
elizaos/eliza,25,20,True
erpc/erpc,6,0,False
espresense/espresense,4,0,False
estruyf/vscode-front-matter,1,1,True
evolvinglmms-lab/lmms-eval,1,0,False
expressobits/inventory-system,1,0,False
f/mcptools,1,2,True
fabriziosalmi/certmate,2,0,False
farmbot/farmbot-web-app,1,0,False
fastled/fastled,3,1,True
featureform/enrichmcp,41,18,True
fgmacedo/python-statemachine,1,0,False
flagsmith/flagsmith,0,1,False
flowiseai/flowise,0,1,False
formancehq/ledger,0,3,False
formbricks/formbricks,3,1,True
forummagnum/forummagnum,0,1,False
frenck/spook,1,0,False
gbrayhan/microservices-go,6,0,False
gensx-inc/gensx,8,0,False
getsentry/sentry,31,15,True
getsentry/sentry-javascript,9,4,True
getsentry/sentry-python,3,2,True
ggml-org/whisper.cpp,0,1,False
gitbookio/gitbook,2,1,True
github-copilot-resources/copilot-metrics-viewer,5,0,False
github/awesome-copilot,1,0,False
github/github-mcp-server,0,1,False
github/rubocop-github,1,0,False
gitroomhq/postiz-app,1,0,False
go-vikunja/vikunja,51,8,True
goat-sdk/goat,29,30,True
godsscion/auto_job_applier_linkedin,0,1,False
gofiber/fiber,12,8,True
gofr-dev/gofr,1,0,False
golang-design/clipboard,2,1,True
goniszewski/grimoire,0,1,False
google-gemini/gemini-cli,1,0,False
gptme/gptme,0,1,False
gradio-app/gradio,1,0,False
grafana/loki,0,1,False
gridaco/grida,11,18,True
groupultra/telegram-search,2,0,False
gtg922r/obsidian-numerals,3,0,False
hackmdio/codimd,0,2,False
hamster1963/nezha-dash,1,0,False
hasanharman/form-builder,2,3,True
hashintel/hash,1,0,False
hathach/tinyusb,1,0,False
haydenbleasel/kibo,5,0,False
haydenbleasel/ultracite,7,0,False
hcengineering/platform,1,1,True
helicone/helicone,5,4,True
heyverse/hey,3,1,True
home-assistant/frontend,1,0,False
hotovo/aider-desk,4,2,True
huggingface/huggingface.js,1,4,True
huggingface/huggingface_hub,0,2,False
huggingface/smolagents,0,1,False
humansignal/label-studio-ml-backend,1,0,False
hyperbrowserai/hyperagent,2,1,True
ibelick/zola,1,2,True
igalia/wolvic,0,1,False
ikamensh/flynt,19,1,True
ikarus23/mifareclassictool,0,1,False
imbhargav5/rooks,15,0,False
invoke-ai/invokeai,15,0,False
irsyadadl/intentui,3,2,True
iterative/datachain,2,0,False
jacoblincool/leetcode-stats-card,2,1,True
janbjorge/pgqueuer,10,7,True
jedisct1/dsvpn,2,0,False
jilleb/mib2-toolbox,2,0,False
jina-ai/node-deepresearch,20,13,True
jina-ai/reader,3,3,True
jlowin/fastmcp,6,3,True
jmberesford/retrom,2,1,True
jnsahaj/tweakcn,2,1,True
johnlindquist/kit,1,1,True
johnwalley/allotment,1,0,False
jomjol/ai-on-the-edge-device,0,1,False
jonobr1/two.js,1,0,False
joshuac215/agent-service-toolkit,1,1,True
joshyattridge/smart-money-concepts,2,1,True
julep-ai/julep,12,46,True
jxxghp/moviepilot,4,0,False
kanaries/graphic-walker,10,9,True
kanaries/pygwalker,3,3,True
kanaries/rath,2,0,False
kanisterio/kanister,4,0,False
karakeep-app/karakeep,1,0,False
katspaugh/wavesurfer.js,13,5,True
keepassxreboot/keepassxc,1,4,True
keephq/keep,7,10,True
kern/filepizza,3,0,False
killedbyapixel/littlejs,1,0,False
kiln-ai/kiln,14,12,True
kittycad/modeling-app,2,2,True
kongzue/dialogx,1,0,False
konvajs/konva,1,0,False
konvajs/react-konva,1,1,True
kortix-ai/suna,8,0,False
kubetail-org/kubetail,0,2,False
kuingsmile/word-gpt-plus,1,0,False
kyegomez/swarms,1,0,False
langbot-app/langbot,15,0,False
langchain-ai/langgraph,4,2,True
langchain-ai/langsmith-sdk,4,4,True
langchain-ai/open-agent-platform,0,1,False
langflow-ai/langflow,1,0,False
langfuse/langfuse,16,6,True
latitude-dev/latitude-llm,0,1,False
leagueakari/leagueakari,1,0,False
leonardsellem/n8n-mcp-server,5,7,True
leonteale/pentestpackage,4,0,False
levigross/grequests,2,1,True
liam-hq/liam,210,156,True
licensee/licensee,1,0,False
lightdash/lightdash,2,9,True
lingodotdev/lingo.dev,43,19,True
linkerd/linkerd2,1,0,False
linux-do/cdk,4,0,False
liuliu/ccv,1,0,False
liveblocks/liveblocks,2,1,True
livestorejs/livestore,2,0,False
llm-workflow-engine/llm-workflow-engine,2,0,False
log4cplus/log4cplus,8,0,False
logancyang/obsidian-copilot,1,1,True
lostintangent/gistpad,9,2,True
lumen-notes/lumen,3,2,True
lynx-family/lynx-stack,2,0,False
maciek-roboblog/claude-code-usage-monitor,1,0,False
mail-0/zero,2,0,False
maim-with-u/maibot,0,2,False
maplibre/maplibre-native,0,1,False
maplibre/maputnik,5,0,False
marcio/react-skylight,2,0,False
marimo-team/marimo,22,31,True
mark3labs/mcp-go,0,1,False
markuplint/markuplint,1,0,False
mastra-ai/mastra,2,1,True
mattermost/mattermost,1,0,False
mattiasw/exifreader,2,1,True
maxnowack/signaldb,1,0,False
maybe-finance/maybe,1,1,True
mayswind/ezbookkeeping,1,0,False
medplum/medplum,1,0,False
mendableai/fire-enrich,2,1,True
mendableai/firecrawl,54,22,True
mendableai/firecrawl-mcp-server,1,0,False
mervinpraison/praisonai,3,1,True
meshtastic/firmware,0,1,False
metamask/metamask-mobile,2,0,False
metowolf/vcards,1,0,False
mfts/papermark,6,0,False
micropython/micropython,0,1,False
microsoft/applicationinsights-js,10,3,True
microsoft/autogen,7,1,True
microsoft/azure-devops-mcp,2,0,False
microsoft/azure-pipelines-tasks,0,2,False
microsoft/azuredatastudio,0,1,False
microsoft/debugpy,0,1,False
microsoft/documentdb,1,0,False
microsoft/ebpf-for-windows,3,1,True
microsoft/etl2pcapng,0,1,False
microsoft/fluentui,1,0,False
microsoft/fluidframework,0,1,False
microsoft/genaiscript,11,0,False
microsoft/generative-ai-with-javascript,1,1,True
microsoft/git,0,3,False
microsoft/graphrag,3,1,True
microsoft/gsl,1,2,True
microsoft/hydralab,0,2,False
microsoft/magentic-ui,5,2,True
microsoft/mcp-for-beginners,1,1,True
microsoft/msquic,3,4,True
microsoft/olive,4,1,True
microsoft/onnxruntime,1,7,True
microsoft/onnxruntime-genai,2,1,True
microsoft/playwright,1,4,True
microsoft/playwright-mcp,0,1,False
microsoft/rd-agent,1,0,False
microsoft/react-native-macos,1,1,True
microsoft/react-native-windows,6,11,True
microsoft/retina,1,1,True
microsoft/roosterjs,0,1,False
microsoft/torchgeo,1,0,False
microsoft/typespec,7,23,True
microsoft/vscode,57,61,True
microsoft/vscode-copilot-chat,3,0,False
microsoft/vscode-js-debug,1,0,False
microsoft/vscode-jupyter,0,2,False
microsoft/vscode-mssql,10,4,True
microsoft/vscode-pull-request-github,28,1,True
microsoft/vscode-python,1,3,True
microsoft/vscode-vsce,1,1,True
midudev/codi.link,0,2,False
midudev/la-velada-web-oficial,1,0,False
midudev/preguntas-entrevista-react,1,0,False
mihneadb/node-directory-tree,3,0,False
mikepopoloski/slang,3,3,True
minimagick/minimagick,1,0,False
minio/sidekick,1,0,False
mistralai/mistral-common,3,3,True
