scenario,family,role,model,task_type,metric,estimate,ci_low,ci_high
baseline,quality,supplementary,binary,all,marginal_probability_ai,0.09854072782840526,0.08759450249735061,0.11553825592779834
baseline,quality,supplementary,binary,all,marginal_probability_human,0.10799016162296218,0.09156245442071635,0.13307581218445322
baseline,quality,supplementary,binary,all,risk_difference,-0.009449433794556927,-0.033585476450651616,0.010975030103544043
baseline,quality,supplementary,binary,all,risk_ratio,0.9124972714871122,0.7453625168934607,1.1138059995957659
baseline,quality,supplementary,binary,all,marginal_odds_ratio,0.9029321332486874,0.7180456491251279,1.1282412966010757
baseline,quality,supplementary,binary,feat,marginal_probability_ai,0.13525307533174816,0.11721583140282758,0.159185196584662
baseline,quality,supplementary,binary,feat,marginal_probability_human,0.14366713201796436,0.1216659894934784,0.17559147861463703
baseline,quality,supplementary,binary,feat,risk_difference,-0.008414056686216198,-0.03792539341159726,0.018609743364108082
baseline,quality,supplementary,binary,feat,risk_ratio,0.9414336698447903,0.7722450186291407,1.1368934752099613
baseline,quality,supplementary,binary,feat,marginal_odds_ratio,0.9322734449993241,0.7388302277933877,1.162518106572097
baseline,quality,supplementary,binary,fix,marginal_probability_ai,0.05776412684806101,0.04413037422344103,0.07871211255450261
baseline,quality,supplementary,binary,fix,marginal_probability_human,0.07097911610572337,0.05468363975280702,0.0964345934212108
baseline,quality,supplementary,binary,fix,risk_difference,-0.01321498925766236,-0.04212146086490691,0.012660624342619508
baseline,quality,supplementary,binary,fix,risk_ratio,0.8138186274681325,0.5449256431254568,1.2164578839098539
baseline,quality,supplementary,binary,fix,marginal_odds_ratio,0.8024047079537959,0.5221817742847079,1.2331421994886875
baseline,quality,supplementary,binary,refactor,marginal_probability_ai,0.12024149214410254,0.09007760978661915,0.16587247650604225
baseline,quality,supplementary,binary,refactor,marginal_probability_human,0.11611164548510733,0.08529675438167414,0.16331618252334457
baseline,quality,supplementary,binary,refactor,risk_difference,0.004129846658995212,-0.04980196048528387,0.055888195725976086
baseline,quality,supplementary,binary,refactor,risk_ratio,1.0355678936573585,0.6782734425050654,1.5840390063388448
baseline,quality,supplementary,binary,refactor,marginal_odds_ratio,1.040429155660049,0.6405698425689265,1.6869584508929063
exclude_top1,quality,supplementary,binary,all,marginal_probability_ai,0.05373303394489489,0.04592028605944938,0.06688569250289539
exclude_top1,quality,supplementary,binary,all,marginal_probability_human,0.060318042434458735,0.04897945544125369,0.0791153052082246
exclude_top1,quality,supplementary,binary,all,risk_difference,-0.006585008489563844,-0.024637697541983618,0.009441802504821123
exclude_top1,quality,supplementary,binary,all,risk_ratio,0.8908285444323052,0.672976979805345,1.1858338952613912
exclude_top1,quality,supplementary,binary,all,marginal_odds_ratio,0.8846293282086979,0.6556952061386258,1.1976490835147866
exclude_top1,quality,supplementary,binary,feat,marginal_probability_ai,0.0699561528890809,0.0591545415169645,0.08665730619359946
exclude_top1,quality,supplementary,binary,feat,marginal_probability_human,0.07851988392398497,0.06380884068097775,0.10252052066277766
exclude_top1,quality,supplementary,binary,feat,risk_difference,-0.00856373103490407,-0.03144594235710863,0.010575486348001139
exclude_top1,quality,supplementary,binary,feat,risk_ratio,0.8909355107657239,0.6791537835256013,1.1578470208608012
exclude_top1,quality,supplementary,binary,feat,marginal_odds_ratio,0.8827318845524613,0.6581968880183798,1.171384170404102
exclude_top1,quality,supplementary,binary,fix,marginal_probability_ai,0.032099002802981585,0.022472640478892008,0.049365582663397044
exclude_top1,quality,supplementary,binary,fix,marginal_probability_human,0.03862505328039861,0.027400353920509365,0.058065149863034994
exclude_top1,quality,supplementary,binary,fix,risk_difference,-0.006526050477417021,-0.028997929017865874,0.015129420434210197
exclude_top1,quality,supplementary,binary,fix,risk_ratio,0.8310409974054624,0.4580659299661453,1.5034683512947284
exclude_top1,quality,supplementary,binary,fix,marginal_odds_ratio,0.825437722366407,0.44526359682519845,1.5241530663458445
exclude_top1,quality,supplementary,binary,refactor,marginal_probability_ai,0.08124444873971977,0.057423066527320925,0.1171531554260061
exclude_top1,quality,supplementary,binary,refactor,marginal_probability_human,0.07839535936945191,0.05342860433054269,0.11889270043882573
