alert_id,source_set,source_reviewer_role,source_reviewer_disposition,group,issue_domain,repo_name,pr_number,rule_id,file_path,start_line,payload_sha256,second_disposition,second_confidence,second_notes,agreement,consensus_disposition,consensus_notes
qalert-044db30353abd86adb0f86ab,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,OneKeyHQ/app-monorepo,6480,js/trivial-conditional,packages/kit-bg/src/services/ServicePrime/ServicePrime.tsx,87,3ad4631c6776d0b3ecaad0f4e663f13631dd4c0f6efe441f4c93b1152b10cd65,condition_absent,high,accessToken 类型是 string，空串在运行时仍为假；if (accessToken) 并非恒真。,false,confirmed_valid,告警命中第 87 行的 accessToken || ''，该表达式位于 if (accessToken) 分支内，因此左操作数在这条路径上恒真，空串回退确属冗余；文件又是本 PR 新增。
qalert-05adbf44c12dddf90a360e53,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,openai/openai-agents-python,729,py/unsafe-cyclic-import,src/agents/tracing/setup.py,13,68b671aeeb8c19f30990ec5b53723769824e977aabda847e32746e958fc3c466,not_pr_introduced,high,from .spans import SpanImpl 在改动前已存在，与 spans 的循环并非本 PR 新增导入造成。,false,not_pr_introduced,from .spans import SpanImpl 在改动前已存在，与 spans 的循环并非本 PR 新增导入造成。
qalert-098e5b6a7315db8bb8abec36,model_excluded,reviewer_b_excluded_census,confirmed_valid,human,quality,prebid/Prebid.js,12808,js/unused-local-variable,test/spec/unit/core/adapterManager_spec.js,28,659bba2c2837c1bcb27642de0d6964fa43530149c36d5e698c6377fbe98d7eba,not_pr_introduced,high,named deepClone 导入基线已在，测试一直用 utils.deepClone，本 PR 未改该导入。,false,not_pr_introduced,named deepClone 导入基线已在，测试一直用 utils.deepClone，本 PR 未改该导入。
qalert-09bb24928eeca6006bbf4399,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,microsoft/vscode,246198,js/missing-await,src/vs/editor/contrib/clipboard/browser/clipboard.ts,244,c9859c39af062b011b1d304baf61dbcf40b103b39bb41875c0a6761198054105,condition_absent,high,finishedPaste() 的 Promise 被 return 给 triggerPaste.then，并未丢弃；缺 await 的浮动 promise 状态不成立。,false,condition_absent,finishedPaste() 的 Promise 被 return 给 triggerPaste.then，并未丢弃；缺 await 的浮动 promise 状态不成立。
qalert-137c59656e2c10cf82854b4b,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,getsentry/sentry,95801,py/cyclic-import,src/sentry/snuba/uptime_results.py,8,7317b66b69a1dbdf8cc2df845bb4e3cbf263a736bc184fda50bc5a29bc33d40b,not_pr_introduced,high,"uptime_results.py 第 8 行导入 sentry.search.events.types。before 已有 from sentry.search.events.types import SAMPLING_MODES, SnubaParams，环不能算本 PR 引入。",false,not_pr_introduced,"uptime_results.py 第 8 行导入 sentry.search.events.types。before 已有 from sentry.search.events.types import SAMPLING_MODES, SnubaParams，环不能算本 PR 引入。"
qalert-1423d7109a022c132801d88a,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,openai/openai-agents-python,729,py/unsafe-cyclic-import,src/agents/tracing/setup.py,14,afcd74c58ebfb8397876aa51a989ba8fc347375f60ed3131c2af4767dcf16a17,not_pr_introduced,high,from .traces import NoOpTrace 基线已有，traces/setup 循环不能归因本 PR。,false,not_pr_introduced,from .traces import NoOpTrace 基线已有，traces/setup 循环不能归因本 PR。
qalert-160960b7a7201260b1bf2b14,model_retained,reviewer_a_retained_census,confirmed_valid,ai,security,lingodotdev/lingo.dev,708,js/double-escaping,packages/cli/src/cli/loaders/android.ts,31,8fc74e9ce36bf79f6674a0caae92e178d4c8a53c5fa92f8e2683eefe9e8b9cb0,not_valid_issue,high,"Android XML unescape applies &lt;/&gt; before &amp;, which is the safe order; not a real double-unescape bug.",false,confirmed_valid,虽然 &lt;/&gt; 先处理，但 &amp; 位于 &quot;/&apos; 之前；例如 &amp;quot; 会先变为 &quot;，随后又变成引号，确有二次反转义，且这段手工解析代码由本 PR 引入。
qalert-20fea90fb25b0f61840e7d5d,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/routes/editor/Timeline/ClipTrack.tsx,6,36e3323c793fba2bef11a9a1f764f87e8804c568f8ea5b831b60aab9083d3ba9,not_pr_introduced,high,ClipTrack.tsx 的 createEffect 在 before 已是仅 import、无调用；本 PR 只加了 createMemo/createEventListener，未新引入该未使用导入。,false,not_pr_introduced,ClipTrack.tsx 的 createEffect 在 before 已是仅 import、无调用；本 PR 只加了 createMemo/createEventListener，未新引入该未使用导入。
qalert-215805e772f09bfbc56602dc,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,openai/openai-agents-python,737,py/unsafe-cyclic-import,src/agents/_run_impl.py,55,201228ccf6544d1e01ed3f154d31c2f1db0df4a6a52bfa9a4d44f2bc15730786,not_pr_introduced,high,_run_impl 基线已 from .tool import FunctionTool；与 agents.tool 的循环在本 PR 之前就存在，此次只是收窄导入列表。,false,not_pr_introduced,_run_impl 基线已 from .tool import FunctionTool；与 agents.tool 的循环在本 PR 之前就存在，此次只是收窄导入列表。
qalert-2923ca1e47f3cd51321408cb,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,openai/openai-agents-python,729,py/unsafe-cyclic-import,src/agents/tracing/setup.py,13,4f915ad0656a0b31d12e808efc503e9a49ee37873000bf6f3ba6440aac201838,not_pr_introduced,high,TSpanData 同在既有 spans 导入中，循环在改动前已成立。,false,not_pr_introduced,TSpanData 同在既有 spans 导入中，循环在改动前已成立。
qalert-29325493527731b3fae59242,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,elizaOS/eliza,4575,js/unused-local-variable,packages/plugin-polygon/src/services/GasService.ts,3,c6570d4e6d01fdc52dbbbb65222a052286d3e6dc2bc38722445efbd890bb62ec,not_pr_introduced,high,GasService 基线已从 ethers 导入且未调用 formatUnits，本 PR 只改导入路径。,false,not_pr_introduced,GasService 基线已从 ethers 导入且未调用 formatUnits，本 PR 只改导入路径。
qalert-2f5c592f6d69c53ef60b3757,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,prebid/Prebid.js,13093,js/unused-local-variable,test/spec/modules/intentIqAnalyticsAdapter_spec.js,19,5f808d9d61784bd5191df368a340333657056b1a9d0d0d86908fb26d7a752e8f,not_pr_introduced,high,intentIqAnalyticsAdapter_spec.js 的 const storage = getStorageManager(...) 在 diff 中未改；before 已声明且未使用该局部变量。,false,not_pr_introduced,intentIqAnalyticsAdapter_spec.js 的 const storage = getStorageManager(...) 在 diff 中未改；before 已声明且未使用该局部变量。
qalert-31148623b3f629b3a685e1c7,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,prebid/Prebid.js,13167,js/superfluous-trailing-arguments,modules/intentIqAnalyticsAdapter.js,162,4811c7cd8cc893f9ff1f13b331bf4d756b37a14f6679b95998e1d238074d965d,not_pr_introduced,high,"preparePayload(args, true) extra arg already existed in baseline; function still takes one parameter.",false,not_pr_introduced,"preparePayload(args, true) extra arg already existed in baseline; function still takes one parameter."
qalert-32a320e20fe0c71746b1003d,model_excluded,reviewer_b_excluded_census,confirmed_valid,human,quality,microsoft/vscode,246231,js/unused-local-variable,src/vs/workbench/contrib/chat/browser/promptSyntax/contributions/createPromptCommand/utils/createPromptFile.ts,13,766e72595c454085fa9463b5437b2867a40e7a60c526eb0391fcbb6b8ab6b8bd,not_pr_introduced,high,createPromptFile.ts 基线已导入 PROMPT_FILE_EXTENSION，本 PR 只把 isPromptFile 改成 isPromptOrInstructionsFile，仍仅出现在 JSDoc。,false,not_pr_introduced,createPromptFile.ts 基线已导入 PROMPT_FILE_EXTENSION，本 PR 只把 isPromptFile 改成 isPromptOrInstructionsFile，仍仅出现在 JSDoc。
qalert-3426764801ae34ae9547506d,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,Kanaries/graphic-walker,445,js/unused-local-variable,packages/graphic-walker/src/components/dataTable/index.tsx,254,256f4f79462f2789100a5476a7d3f472cee2421719275799f4ecac814f63057b,not_pr_introduced,high,dataTable 解构 hideProfiling。before 已解构且 JSX 用 props.hideProfiling，本 PR 只把解构拆成多行，未使用状况基线已有。,false,not_pr_introduced,dataTable 解构 hideProfiling。before 已解构且 JSX 用 props.hideProfiling，本 PR 只把解构拆成多行，未使用状况基线已有。
qalert-372af42608fbb8ba69d74d3d,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,microsoft/typespec,7426,java/unused-parameter,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/template/ClientMethodTemplate.java,1543,549f7a1e9fdbb5173cbfd6b62e4d3260a3150e6e6f92ee0c2fa361150943b822,not_valid_issue,high,generateLongRunningBeginAsync 是模板钩子，restAPIMethod 留给子类；基类改走 clientMethod.getProxyMethod()。,false,not_valid_issue,generateLongRunningBeginAsync 是模板钩子，restAPIMethod 留给子类；基类改走 clientMethod.getProxyMethod()。
qalert-3c77b412afe3af424853a6af,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,DeepLabCut/DeepLabCut,3047,py/unreachable-statement,deeplabcut/gui/tabs/modelzoo.py,291,9ab0a5ae4fd799cfe90d16ce72b0f55ce2558868a1640072651c41d523cdf9fa,not_pr_introduced,high,modelzoo.py 的 can_run_in_background = False 在 diff 中是未改行；before 已有同样恒假分支里的 partial()，本 PR 只是重排了不可达代码。,false,not_pr_introduced,modelzoo.py 的 can_run_in_background = False 在 diff 中是未改行；before 已有同样恒假分支里的 partial()，本 PR 只是重排了不可达代码。
qalert-3ff12d6c5b5488438afbc953,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,getsentry/sentry,89622,py/cyclic-import,src/sentry/integrations/slack/notifications.py,16,735c9f5845e9165bd551a71b3b9c11c08f637c08bdd15e4e4a7fe631567682ea,not_pr_introduced,high,notifications.py already imported SlackService in baseline; the cycle is not introduced by this PR.,false,not_pr_introduced,notifications.py already imported SlackService in baseline; the cycle is not introduced by this PR.
qalert-41607bd15eed16fb1fedc26c,model_retained,reviewer_a_retained_census,confirmed_valid,ai,security,Codehagen/Badget,295,js/tainted-format-string,src/actions/gocardless-actions.ts,342,c99180966954ce5607b918c3e5fa9b70c958a703cd9761efd31eefd25ad46345,condition_absent,high,bank.country 来自内置银行目录的国家代码而非任意字符串，值域不包含 % 格式占位符。,false,confirmed_valid,该新文件标记为 use server，导出的 createGoCardlessRequisition 直接接收客户端传入的 BankInfo；服务端只检查 providers，未对白名单中的 bank.country 做重取或校验，随后将其放入 console.log 格式串，条件成立且由本 PR 引入。
