alert_id,group,repo_name,pr_number,rule_id,file_path,start_line,issue_domain,source_set,source_reviewer_role,source_disposition,independent_rereview_disposition,consensus_disposition,status,disposition,human_condition_present,human_introduced_by_pr,human_valid_issue,resolution_basis,notes
qalert-000c23f8e0f82436a5899119,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,stripe-v3/index.js 第 1 行 webpack 压缩包上的 useless-expression。第三方打包产物，不是项目可维护源码问题。
qalert-000fe613729c6ec896e0f8cb,human,microsoft/ApplicationInsights-JS,2493,js/unused-local-variable,common/scripts/install-run-silent.js,322,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,Rush common/scripts/install-run-silent.js 里未使用的 fs__WEBPACK_IMPORTED_MODULE_1___default，生成脚本 webpack 残留。
qalert-0010db00384b72f0459d0069,human,allenai/open-instruct,670,py/overwritten-inherited-attribute,open_instruct/tool_utils/tool_vllm.py,48,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,"SearchTool 先设置 <query>/</query>，随后 super().__init__(*args, **kwargs) 又写 self.start_str/end_str，确实覆盖子类设置。"
qalert-00119edb47b4e7d3e35b0328,human,microsoft/git,764,cpp/implicit-function-declaration,compat/mingw.c,1998,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,mingw.c 第1998行 CloseHandle 是 Windows API。文件仍包含 win32.h；分析器在缺少 Windows SDK 头时会把 Win32 调用当成隐式声明。真实 MinGW 编译会从平台头得到声明，不构成需改的项目缺陷。
qalert-00161be4bfcb01569bdb1cc3,human,SoftFever/OrcaSlicer,9643,cpp/unused-static-variable,src/libigl/igl/cat.cpp,120,quality,model_excluded,reviewer_b_excluded_census,condition_absent,not_in_positive_rereview_frame,,completed,condition_absent,no,not_assessed,not_assessed,source_census_negative,libigl cat.cpp 第120行 Eigen::VectorXi per_col。CodeQL 把命名空间 Eigen 当成未读 static 变量；Eigen 是类型限定符。diff_empty。
qalert-001719870377200366153cbf,ai,openai/openai-agents-python,737,py/unsafe-cyclic-import,src/agents/_run_impl.py,40,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,py/unsafe-cyclic-import: alert line unchanged vs baseline or outside PR hunks
qalert-00220a250fe3b2b48558f6cb,human,microsoft/ApplicationInsights-JS,2493,js/automatic-semicolon-insertion,extensions/applicationinsights-dependencies-js/Tests/Unit/src/ajax.tests.ts,1713,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,ajax.tests.ts 第 1713 行 let fetchSpy = this.sandbox.spy(...) 缺分号。单元测试风格，不影响语义。
qalert-002370da53ce17e473033c5c,human,prebid/Prebid.js,12878,js/unused-local-variable,test/spec/unit/pbjs_api_spec.js,2721,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,PR 新增外层 createAuctionStub，同时在内层再次用 let 声明同名变量，外层绑定从未使用。
qalert-0026b2db8f0898add2877e64,ai,crewAIInc/crewAI,1892,py/unused-import,src/crewai/flow/persistence/decorators.py,28,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,新文件 decorators.py 导入 Dict 与 get_type_hints，全文未使用。
qalert-0040d7fd1442a27cb0a7ed7e,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,同一 stripe-v3 单行压缩包另一处无效果表达式。生成/vendor 产物，不构成需改问题。
qalert-0047d499af7063d9edddf1c2,human,prebid/Prebid.js,12808,js/automatic-semicolon-insertion,test/spec/modules/symitriDapRtdProvider_spec.js,54,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,symitriDapRtdProvider_spec.js 54行 cmoduleConfig 对象收尾 } 缺分号，before 同样是 }。
qalert-004c30fc363045783756e0e5,ai,langflow-ai/langflow,8870,py/call/wrong-named-argument,src/backend/tests/unit/test_mcp_server.py,166,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,新测试 run_mcp_server(mcp_server=...) 使用了函数不支持的关键字参数。
qalert-0054b29e7f280709c3af097b,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,stripe-v3/index.js:1 压缩代码 useless-expression。第三方 Stripe.js 打包，无需当项目缺陷处理。
qalert-0058da3aa8961648627d7636,ai,mendableai/firecrawl,1851,js/automatic-semicolon-insertion,apps/api/src/controllers/v2/crawl-status.ts,270,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,apps/api/src/controllers/v2/crawl-status.ts 第 270 行由本 PR 引入的语句末尾缺少显式分号；该文件其他语句以显式分号为主，属于真实的一致性/可维护性问题。
qalert-00628ad24956c89dde0eb24b,human,mendableai/firecrawl,1206,js/unused-local-variable,apps/api/src/lib/concurrency-limit.ts,1,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,本 PR 新增 import CONCURRENCY_LIMIT，concurrency-limit.ts 全文未使用该符号。
qalert-0066806cbc014b6f99375ad0,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,同文件第 1 行另一处无效果表达式，来自 Stripe v3 webpack bundle。
qalert-006829c30865ab6925ff7817,human,appsmithorg/appsmith,38526,js/overwritten-property,app/client/cypress/locators/AdminsSettings.js,37,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,AdminsSettings.js 第 37 行 businessTag 是 [data-testid=t--business-tag]。本 PR 在对象末尾又写 businessTag: .business-tag，后者覆盖前者，选择器还不一致。
qalert-0081e358fe8b5ebf90f621f5,ai,rsyslog/rsyslog,5793,cpp/mistyped-function-arguments,runtime/rsconf.c,1429,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,"rsconf.c:1429 tplAddLine(ourConf,...)，CodeQL 报 rsconf_s* 与 rsconf_t* 不兼容。rsconf_t 是 rsconf_s 的 typedef。diff_empty 且 head==before。"
qalert-00b999470e923acca2bbb933,ai,getsentry/sentry,95658,py/unsafe-cyclic-import,src/sentry/grouping/strategies/configurations.py,2,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,已比较 configurations.py 的顶层依赖：RISK_LEVEL_HIGH 从 base 的导入在 Before/Head 完全相同；PR 仅重命名同模块中的配置工厂函数及调用，未新增该循环导入边。
qalert-00c157da95171c1728e21aed,human,rsyslog/rsyslog,5720,cpp/mistyped-function-arguments,runtime/rsconf.c,1425,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,"before/head 第1425行相同或 diff 未改：`1425  	tplAddLine(ourConf, "" StdPgSQLFmt"", &pTmp);`。"
qalert-00e4f38d5236dcd6e2914db4,human,MikePopoloski/slang,1301,cpp/unused-static-variable,include/slang/ast/expressions/LiteralExpressions.h,36,quality,model_excluded,reviewer_b_excluded_census,condition_absent,not_in_positive_rereview_frame,,completed,condition_absent,no,not_assessed,not_assessed,source_census_negative,LiteralExpressions.h 第36行是 static Expression& fromSyntax(...) 成员函数声明，不是未读 static 变量。diff_empty 且与 before 相同。
qalert-00f72d514a04f2d3636ab434,human,microsoft/ApplicationInsights-JS,2493,js/unused-local-variable,extensions/applicationinsights-dependencies-js/Tests/Unit/src/ajax.tests.ts,513,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,ajax.tests.ts 禁用跟踪用例声明 ajaxDataId 后只断言容器为 undefined，测试脚手架残留，不是产品缺陷。
qalert-00fd23384810803d61f1bf62,human,PriorLabs/TabPFN,184,py/cyclic-import,src/tabpfn/model/multi_head_attention.py,12,quality,model_retained,reviewer_a_retained_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,二次复核：告警链依赖 PR 新增的 memory.py 方法内局部导入；该导入仅在 get_max_free_memory 执行且进入 AttributeError 分支时触发，不参与模块初始化阶段，因此静态依赖图成环但不会造成运行时循环导入。
qalert-010053524f1fe8e8312997b7,ai,dotCMS/core,32609,java/missing-override-annotation,dotCMS/src/main/java/com/liferay/portlet/PortletContextImpl.java,140,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,PortletContextImpl.getAttribute 缺 @Override。空 diff。
qalert-01074a4574b402448ff9697c,ai,dagster-io/dagster,30864,py/unused-local-variable,examples/docs_snippets/docs_snippets/guides/dagster/pythonic_config/pythonic_config.py,102,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,Dagster docs_snippets 新文件里 asset_result = materialize(...) 是文档示例，结果故意不用，夹在 start/end 标记之间。
qalert-010a03c5338a03931d59b5e0,ai,rsyslog/rsyslog,5833,cpp/mistyped-function-arguments,runtime/rsconf.c,1284,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,"rsconf.c:1284 tplAddLine(ourConf,...)。rsconf_t 是 rsconf_s 的 typedef。diff_empty 且 head==before。"
qalert-010ac8c6b1fe5981c48de1e0,human,onlook-dev/onlook,1902,js/use-of-returnless-function,apps/web/preload/dist/index.js,379,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,告警在 apps/web/preload/dist/index.js 约 17 万行打包产物上（Color2 无返回值却被使用）。应对源文件而不是 dist。
qalert-010ad398ec81a12da56e8894,ai,microsoft/typespec,7426,java/useless-tostring-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/LibraryCustomization.java,49,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,getClass 里 si.getLocation().getUri() 已是 String，再 .toString() 是多余调用。
qalert-010b3c33984d474169f1a815,ai,Codehagen/Badget,295,js/clear-text-storage-of-sensitive-data,src/components/financial/plaid-link-modal.tsx,136,security,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,已跟踪 selectedBank 的来源与字段：它来自静态银行目录，存储的是银行名称、provider、图标等回调恢复元数据，不包含卡号、访问令牌或账户凭据；CodeQL将名为 CreditCard 的图标组件误当成敏感信用卡数据源。
qalert-010d05953c064fb398264ecc,human,microsoft/ApplicationInsights-JS,2493,js/useless-assignment-to-local,AISKU/Tests/Manual/ai1.test.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,AISKU/Tests/Manual/ai1.test.js 压缩测试包里未使用的 n 赋值。
qalert-0113ee73cd03687047c38b30,human,microsoft/ApplicationInsights-JS,2493,js/automatic-semicolon-insertion,docs/webSdk/applicationinsights-channel-js/assets/main.js,5,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,TypeDoc docs/webSdk/.../assets/main.js 第 5 行 ASI，文档站点打包。
qalert-0115ace927056dab6d3f06fb,ai,crewAIInc/crewAI,2476,py/unused-local-variable,tests/test_multimodal_validation.py,46,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,New multimodal test constructs crew = Crew(...) and never calls kickoff or otherwise uses it.
qalert-011646fed8cf0314f7bb5732,human,prebid/Prebid.js,13093,js/automatic-semicolon-insertion,modules/pubmaticBidAdapter.js,437,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,modules/pubmaticBidAdapter.js 第 437 行由本 PR 引入的语句末尾缺少显式分号；该文件其他语句以显式分号为主，属于真实的一致性/可维护性问题。
qalert-012de1c5e8a399281aa8efca,ai,ryokun6/ryos,95,js/unused-local-variable,api/chat.ts,8,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,api/chat.ts newly imports TOOL_USAGE_INSTRUCTIONS and never uses it.
