tier,group,root_cause_category,reference_n,baseline_recovered_n,skill_recovered_n,baseline_recall_pct,skill_recall_pct,difference_pp,both_n,skill_only_n,baseline_only_n,neither_n
primary,all,control_state_or_dataflow_miscomposition,19,4,7,21.05263157894737,36.8421052631579,15.789473684210526,3,4,1,11
primary,all,dependency_error_or_resource_mismanagement,55,11,13,20.0,23.636363636363637,3.6363636363636362,7,6,4,38
primary,all,incomplete_change_coordination,2,1,1,50.0,50.0,0.0,1,0,0,1
primary,all,interface_or_contract_mismatch,9,1,5,11.11111111111111,55.55555555555556,44.44444444444444,0,5,1,3
primary,all,redundant_or_locally_inconsistent_construction,29,4,6,13.793103448275861,20.689655172413794,6.896551724137931,3,3,1,22
primary,ai,control_state_or_dataflow_miscomposition,10,2,2,20.0,20.0,0.0,1,1,1,7
primary,ai,dependency_error_or_resource_mismanagement,30,7,9,23.333333333333332,30.0,6.666666666666667,5,4,2,19
primary,ai,incomplete_change_coordination,2,1,1,50.0,50.0,0.0,1,0,0,1
primary,ai,interface_or_contract_mismatch,6,1,3,16.666666666666668,50.0,33.333333333333336,0,3,1,2
primary,ai,redundant_or_locally_inconsistent_construction,9,1,0,11.11111111111111,0.0,-11.11111111111111,0,0,1,8
primary,human,control_state_or_dataflow_miscomposition,9,2,5,22.22222222222222,55.55555555555556,33.333333333333336,2,3,0,4
primary,human,dependency_error_or_resource_mismanagement,25,4,4,16.0,16.0,0.0,2,2,2,19
primary,human,incomplete_change_coordination,0,0,0,,,,0,0,0,0
primary,human,interface_or_contract_mismatch,3,0,2,0.0,66.66666666666667,66.66666666666667,0,2,0,1
primary,human,redundant_or_locally_inconsistent_construction,20,3,6,15.0,30.0,15.0,3,3,0,14
broad,all,control_state_or_dataflow_miscomposition,21,5,8,23.80952380952381,38.095238095238095,14.285714285714286,4,4,1,12
broad,all,dependency_error_or_resource_mismanagement,55,11,13,20.0,23.636363636363637,3.6363636363636362,7,6,4,38
broad,all,incomplete_change_coordination,63,16,20,25.396825396825395,31.746031746031747,6.349206349206349,14,6,2,41
broad,all,interface_or_contract_mismatch,10,1,5,10.0,50.0,40.0,0,5,1,4
broad,all,redundant_or_locally_inconsistent_construction,38,4,7,10.526315789473685,18.42105263157895,7.894736842105263,3,4,1,30
broad,ai,control_state_or_dataflow_miscomposition,11,2,2,18.181818181818183,18.181818181818183,0.0,1,1,1,8
broad,ai,dependency_error_or_resource_mismanagement,30,7,9,23.333333333333332,30.0,6.666666666666667,5,4,2,19
broad,ai,incomplete_change_coordination,11,8,8,72.72727272727273,72.72727272727273,0.0,7,1,1,2
broad,ai,interface_or_contract_mismatch,7,1,3,14.285714285714286,42.857142857142854,28.571428571428573,0,3,1,3
broad,ai,redundant_or_locally_inconsistent_construction,11,1,0,9.090909090909092,0.0,-9.090909090909092,0,0,1,10
broad,human,control_state_or_dataflow_miscomposition,10,3,6,30.0,60.0,30.0,3,3,0,4
broad,human,dependency_error_or_resource_mismanagement,25,4,4,16.0,16.0,0.0,2,2,2,19
broad,human,incomplete_change_coordination,52,8,12,15.384615384615385,23.076923076923077,7.6923076923076925,7,5,1,39
broad,human,interface_or_contract_mismatch,3,0,2,0.0,66.66666666666667,66.66666666666667,0,2,0,1
broad,human,redundant_or_locally_inconsistent_construction,27,3,7,11.11111111111111,25.925925925925927,14.814814814814815,3,4,0,20
