case_id,reference_id,root_cause_category
case-03011033f32e831010a4,sf-855b1bfa45a1fa6a6c12,redundant_or_locally_inconsistent_construction
case-0dae88f83e73408565ec,sf-3405091b22b7dbd375d3,dependency_error_or_resource_mismanagement
case-0dae88f83e73408565ec,sf-fbcc3b3246ac3dd063ff,dependency_error_or_resource_mismanagement
case-0dae88f83e73408565ec,sf-e3003d1d39e7033ae473,dependency_error_or_resource_mismanagement
case-0dae88f83e73408565ec,sf-a1aa8937dc21decf70e3,dependency_error_or_resource_mismanagement
case-0dae88f83e73408565ec,sf-b31a79845c369ac2913e,dependency_error_or_resource_mismanagement
case-14a8d97497657e19a2a9,sf-4115a5324be6b1af3373,incomplete_change_coordination
case-14a8d97497657e19a2a9,sf-5bb7ae43a0f3de4f0bf1,incomplete_change_coordination
case-14a8d97497657e19a2a9,sf-3718e1b6ba25d3c965a4,incomplete_change_coordination
case-15fca550df7f9ba029d9,sf-c09231452f36ccef2f4a,interface_or_contract_mismatch
case-1aaea7ba84a2f17638de,sf-c324591f264f7ae7bf0e,control_state_or_dataflow_miscomposition
case-232a78570fb9941423b0,sf-99d33280d90d77022b8f,interface_or_contract_mismatch
case-232a78570fb9941423b0,sf-defa6c08655cef5dee2e,redundant_or_locally_inconsistent_construction
case-232a78570fb9941423b0,sf-4a907d0f322c6840a609,interface_or_contract_mismatch
case-251cb80f6be4da1148b5,sf-4f45698b78c934b6fe0d,control_state_or_dataflow_miscomposition
case-251cb80f6be4da1148b5,sf-93557704dfd4af4f33d5,control_state_or_dataflow_miscomposition
case-251cb80f6be4da1148b5,sf-11536c648b436064cbcb,control_state_or_dataflow_miscomposition
case-297b8514fd048d20c40e,sf-d1115807d6e72d59553a,control_state_or_dataflow_miscomposition
case-2d93edefa9bf78e1efb4,sf-2415746867738a4452bb,control_state_or_dataflow_miscomposition
case-2f0bf603687d1eee9d5c,sf-08b4712433e2852ae390,redundant_or_locally_inconsistent_construction
case-315d6ae6a9b8cfaf69af,sf-2a026153bb37163cb108,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-b322c91b6da3ceb0e320,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-27da057359b03c8f1cc9,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-fb0479503d4b4c76a059,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-7222b359df14c48a6019,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-557d77ffdfcd54db74e6,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-7d836c22dbb5f775cca9,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-f10c6c35948b7520a413,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-a944c7fc8b5442100ebb,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-6bc931a713e606ee59a5,dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-670658b6035afcb2b7f1,incomplete_change_coordination
case-315d6ae6a9b8cfaf69af,sf-e50df9ca75ba1dee3845,incomplete_change_coordination
case-37aad921cd746c69ff61,sf-c18afdfd527487d6fa82,incomplete_change_coordination
case-4305c02b5fa838228719,sf-db0ad4255383099c1685,incomplete_change_coordination
case-4305c02b5fa838228719,sf-f8233e6508e59ad656b7,incomplete_change_coordination
case-4a764f3847aeba71b091,sf-70297f53645d61943159,dependency_error_or_resource_mismanagement
case-58d2a55832abcd11e69d,sf-baf43c533bc7dca99a82,dependency_error_or_resource_mismanagement
case-5bc4ea80f1c42b093e67,sf-cb35e23bf36e4b979a2e,dependency_error_or_resource_mismanagement
case-5bc4ea80f1c42b093e67,sf-604eb391bf6dcbca5586,dependency_error_or_resource_mismanagement
case-74c18a92c1535b657998,sf-b4c52e22aba3d2848941,dependency_error_or_resource_mismanagement
case-7c3045f6e85b3f5f1b49,sf-0ab9105539eb8a738033,redundant_or_locally_inconsistent_construction
case-7c3045f6e85b3f5f1b49,sf-90bfb3eacb71ecf24609,incomplete_change_coordination
case-83f2a806231ce243a56f,sf-eac83d18e32b3ac8533b,control_state_or_dataflow_miscomposition
case-88ffb0e14443460c1357,sf-b4b82a67272a43bc9eb0,incomplete_change_coordination
case-8f13a23ad6dd97124ee6,sf-da658500fb1fd64f6580,dependency_error_or_resource_mismanagement
case-92bf2b6fee0cab272d63,sf-bf7e7cf2d1e168f6bcb9,redundant_or_locally_inconsistent_construction
case-92bf2b6fee0cab272d63,sf-81104ab36b7d321a64b4,redundant_or_locally_inconsistent_construction
case-92bf2b6fee0cab272d63,sf-a1c539505d552c3b68ae,redundant_or_locally_inconsistent_construction
case-92bf2b6fee0cab272d63,sf-6a641e07e974627c9b1b,redundant_or_locally_inconsistent_construction
case-92bf2b6fee0cab272d63,sf-a9308194c85cfa9a1b46,control_state_or_dataflow_miscomposition
case-945185d91e4e23d356a8,sf-5a4bf499643a8f6f894e,redundant_or_locally_inconsistent_construction
case-9f4690cc7d4420be0c68,sf-2093911c47d6ba072532,control_state_or_dataflow_miscomposition
case-aafc976b852cd121ef7e,sf-ad2642f4d4410485c8ab,interface_or_contract_mismatch
case-aafc976b852cd121ef7e,sf-834cae4b17d638baefbd,interface_or_contract_mismatch
case-bd5b217579b468056361,sf-9bd12a3a7915c4b27d1d,redundant_or_locally_inconsistent_construction
case-bf504bf40300ad6e13d5,sf-48dde9094c4f29556039,control_state_or_dataflow_miscomposition
case-cdcb44d35c9fd57cf181,sf-9f72acadf2941537d39f,redundant_or_locally_inconsistent_construction
case-dd8a6cbe3c950793b3a1,sf-80a69a188f9920e6084e,dependency_error_or_resource_mismanagement
case-e17525ec35113f1fa642,sf-9707ddc44025d43b9420,incomplete_change_coordination
case-e7abb649407ce2a06e66,sf-b794be683db37af787fa,control_state_or_dataflow_miscomposition
case-eb632a8157027d4e78d3,sf-66f43337977775ee9dbe,dependency_error_or_resource_mismanagement
case-eb632a8157027d4e78d3,sf-d1d49c96d7e500dfccb1,dependency_error_or_resource_mismanagement
case-ed5b3f75ec8a328974da,sf-8fc2e9e5ea02382479e5,interface_or_contract_mismatch
