repo_name,pr_number,group,task_type,repo_language,merge_quarter,changed_kloc,log1p_changed_kloc,stars,log1p_stars,design_name,propensity_ai,exact_stratum,common_support,overlap_weight,support_exclusion_reason
567-labs/instructor,1729,ai,fix,Python,2025-Q3,0.918,0.6512829764612464,11095.0,9.314339961994667,unweighted_full_sample,,fix|Python,True,1.0,
celestiaorg/celestia-core,2147,ai,fix,Go,2025-Q3,0.004,0.003992021269537453,531.0,6.2766434893416445,unweighted_full_sample,,fix|Go,True,1.0,
ryokun6/ryos,158,ai,fix,TypeScript,2025-Q2,0.013,0.012916225266546328,558.0,6.326149473155099,unweighted_full_sample,,fix|TypeScript,True,1.0,
antiwork/gumroad,166,ai,fix,Ruby,2025-Q2,0.002,0.001998002662673056,6643.0,8.801469470733185,unweighted_full_sample,,fix|Ruby,True,1.0,
SimonHalvdansson/Harmonic-HN,213,ai,fix,Java,2025-Q2,0.011,0.010939940038334364,746.0,6.616065185132817,unweighted_full_sample,,fix|Java,True,1.0,
prebid/Prebid.js,13275,ai,fix,JavaScript,2025-Q2,0.011,0.010939940038334364,1467.0,7.291656209174461,unweighted_full_sample,,fix|JavaScript,True,1.0,
erpc/erpc,245,ai,fix,Go,2025-Q2,0.009,0.008959741371471904,518.0,6.251903883165888,unweighted_full_sample,,fix|Go,True,1.0,
gensx-inc/gensx,893,ai,fix,TypeScript,2025-Q3,0.151,0.1406311297397456,504.0,6.22455842927536,unweighted_full_sample,,fix|TypeScript,True,1.0,
valkey-io/valkey-glide,4287,ai,fix,Java,2025-Q3,0.368,0.3133498192003587,538.0,6.289715570908998,unweighted_full_sample,,fix|Java,True,1.0,
airbytehq/airbyte,62941,ai,fix,Python,2025-Q3,0.003,0.002995508979798479,19011.0,9.8528256377339,unweighted_full_sample,,fix|Python,True,1.0,
antiwork/gumroad,576,ai,fix,Ruby,2025-Q3,0.045,0.04401688541677432,6643.0,8.801469470733185,unweighted_full_sample,,fix|Ruby,True,1.0,
gtg922r/obsidian-numerals,109,ai,fix,TypeScript,2025-Q3,0.01,0.009950330853168083,520.0,6.255750041753367,unweighted_full_sample,,fix|TypeScript,True,1.0,
primer/view_components,3539,ai,fix,Ruby,2025-Q2,0.007,0.006975613736425242,537.0,6.2878585601617845,unweighted_full_sample,,fix|Ruby,True,1.0,
Significant-Gravitas/AutoGPT,10483,ai,fix,Python,2025-Q3,0.6,0.4700036292457356,177379.0,12.086049602930443,unweighted_full_sample,,fix|Python,True,1.0,
parse-community/parse-dashboard,2918,ai,fix,JavaScript,2025-Q3,0.038,0.037295784743696894,3773.0,8.235890725928495,unweighted_full_sample,,fix|JavaScript,True,1.0,
different-ai/note-companion,382,ai,fix,TypeScript,2025-Q1,0.006,0.005982071677547464,696.0,6.546785410760524,unweighted_full_sample,,fix|TypeScript,True,1.0,
aldinokemal/go-whatsapp-web-multidevice,334,ai,fix,Go,2025-Q3,0.003,0.002995508979798479,2131.0,7.664815785285735,unweighted_full_sample,,fix|Go,True,1.0,
elizaOS/eliza,5490,ai,fix,TypeScript,2025-Q3,0.355,0.3038014543316642,16507.0,9.711600390872473,unweighted_full_sample,,fix|TypeScript,True,1.0,
valkey-io/valkey-glide,4456,ai,fix,Java,2025-Q3,0.025,0.0246926125903715,538.0,6.289715570908998,unweighted_full_sample,,fix|Java,True,1.0,
OpenPipe/ART,164,ai,fix,Python,2025-Q2,0.02,0.019802627296179712,4108.0,8.32093496888341,unweighted_full_sample,,fix|Python,True,1.0,
antiwork/gumroad,674,ai,fix,Ruby,2025-Q3,0.022,0.02176149178151269,6643.0,8.801469470733185,unweighted_full_sample,,fix|Ruby,True,1.0,
mendableai/firecrawl,1883,ai,fix,TypeScript,2025-Q3,0.006,0.005982071677547464,43970.0,10.69128560469541,unweighted_full_sample,,fix|TypeScript,True,1.0,
robinkarlberg/transfer.zip-web,38,ai,fix,JavaScript,2025-Q3,0.009,0.008959741371471904,1295.0,7.16703787691222,unweighted_full_sample,,fix|JavaScript,True,1.0,
valkey-io/valkey-glide,4462,ai,fix,Java,2025-Q3,0.002,0.001998002662673056,538.0,6.289715570908998,unweighted_full_sample,,fix|Java,True,1.0,
langbot-app/LangBot,1397,ai,fix,Python,2025-Q2,0.018,0.017839918128331,12782.0,9.455871442168021,unweighted_full_sample,,fix|Python,True,1.0,
aldinokemal/go-whatsapp-web-multidevice,338,ai,fix,Go,2025-Q3,0.007,0.006975613736425242,2131.0,7.664815785285735,unweighted_full_sample,,fix|Go,True,1.0,
