task_type,repo_language,ai_pr_n,human_pr_n,has_both_groups
feat,C,11,15,True
feat,C++,27,26,True
feat,Go,114,57,True
feat,Java,29,26,True
feat,JavaScript,43,78,True
feat,Python,312,272,True
feat,Ruby,37,19,True
feat,TypeScript,780,597,True
fix,C,37,29,True
fix,C++,58,35,True
fix,Go,143,47,True
fix,Java,48,37,True
fix,JavaScript,83,58,True
fix,Python,365,278,True
fix,Ruby,24,16,True
fix,TypeScript,669,537,True
refactor,C,0,5,False
refactor,C++,12,4,True
refactor,Go,17,14,True
refactor,Java,12,8,True
refactor,JavaScript,23,7,True
refactor,Python,73,49,True
refactor,Ruby,9,7,True
refactor,TypeScript,161,96,True
