repo_name,task_type,ai_pr_n,human_pr_n,has_both_groups
0x2E/fusion,fix,1,0,False
0x4D31/galah,feat,6,1,True
0x4D31/galah,fix,1,0,False
0x4D31/galah,refactor,2,0,False
3rdIteration/btcrecover,feat,1,0,False
3rdIteration/btcrecover,fix,5,0,False
4ian/GDevelop,feat,1,0,False
567-labs/instructor,feat,6,3,True
567-labs/instructor,fix,9,2,True
567-labs/instructor,refactor,1,0,False
ACEsuit/mace,feat,0,1,False
AFASSoftware/maquette,fix,1,0,False
AgentDock/AgentDock,feat,0,1,False
AgentOps-AI/agentops,feat,5,6,True
AgentOps-AI/agentops,fix,4,6,True
AgentOps-AI/agentops,refactor,0,3,False
AmoyLab/Unla,feat,0,2,False
Arize-ai/openinference,fix,1,0,False
ArthurSonzogni/FTXUI,feat,0,4,False
ArthurSonzogni/FTXUI,fix,4,3,True
Azure/azqr,feat,1,0,False
Azure/azqr,fix,2,0,False
Azure/azure-sdk-for-go,feat,1,3,True
Azure/azure-sdk-for-go,fix,1,0,False
Azure/azure-sdk-for-go,refactor,0,1,False
Azure/azure-sdk-for-java,feat,0,1,False
Azure/azure-sdk-for-java,refactor,3,0,False
Azure/azure-sdk-for-js,feat,1,6,True
Azure/azure-sdk-for-js,fix,5,5,True
Azure/azure-sdk-for-js,refactor,1,2,True
Azure/azure-sdk-for-python,feat,0,4,False
Azure/azure-sdk-for-python,fix,5,3,True
Azure/azure-sdk-for-python,refactor,1,1,True
Azure/azure-storage-azcopy,feat,0,5,False
Azure/azure-storage-azcopy,refactor,0,3,False
Azure/azure-storage-fuse,feat,1,1,True
Azure/azure-storage-fuse,fix,1,1,True
Azure/kubelogin,feat,1,0,False
BasedHardware/omi,feat,0,1,False
BeehiveInnovations/zen-mcp-server,feat,1,0,False
BeehiveInnovations/zen-mcp-server,fix,1,1,True
BerriAI/litellm,feat,1,2,True
BerriAI/litellm,fix,2,4,True
Blaizzy/mlx-audio,feat,0,1,False
Blaizzy/mlx-audio,fix,1,0,False
Blaizzy/mlx-vlm,feat,1,2,True
Blaizzy/mlx-vlm,fix,3,3,True
BlueWallet/BlueWallet,fix,2,0,False
BlueWallet/BlueWallet,refactor,3,0,False
CapSoftware/Cap,feat,8,15,True
CapSoftware/Cap,fix,3,6,True
CapSoftware/Cap,refactor,1,1,True
Chainlit/chainlit,fix,0,1,False
ChaokunHong/MetaScreener,feat,2,0,False
ChaokunHong/MetaScreener,fix,1,0,False
Codehagen/Badget,feat,6,1,True
ComposioHQ/composio,feat,2,7,True
ComposioHQ/composio,fix,2,3,True
DataDog/dd-trace-go,feat,0,1,False
DataDog/dd-trace-go,fix,0,1,False
DataDog/dd-trace-java,fix,1,0,False
DataDog/dd-trace-java,refactor,0,1,False
DeepLabCut/DeepLabCut,fix,2,0,False
Deepractice/PromptX,feat,2,0,False
Deepractice/PromptX,fix,2,0,False
DistroAV/DistroAV,fix,1,0,False
ESPresense/ESPresense,fix,4,0,False
Edgenesis/shifu,fix,4,1,True
EdwinVW/pitstop,feat,1,0,False
EvolvingLMMs-Lab/lmms-eval,fix,1,0,False
FarmBot/Farmbot-Web-App,feat,1,0,False
FastLED/FastLED,feat,1,0,False
FastLED/FastLED,fix,1,1,True
FastLED/FastLED,refactor,1,0,False
Flagsmith/flagsmith,fix,0,1,False
FlowiseAI/Flowise,fix,0,1,False
ForumMagnum/ForumMagnum,fix,0,1,False
GitbookIO/gitbook,fix,0,1,False
GitbookIO/gitbook,refactor,2,0,False
GodsScion/Auto_job_applier_linkedIn,feat,0,1,False
Helicone/helicone,feat,1,3,True
Helicone/helicone,fix,2,1,True
Helicone/helicone,refactor,2,0,False
HumanSignal/label-studio-ml-backend,feat,1,0,False
Igalia/wolvic,feat,0,1,False
JMBeresford/retrom,feat,2,1,True
JacobLinCool/LeetCode-Stats-Card,feat,0,1,False
JacobLinCool/LeetCode-Stats-Card,fix,2,0,False
JoshuaC215/agent-service-toolkit,feat,1,1,True
Kanaries/Rath,fix,1,0,False
Kanaries/Rath,refactor,1,0,False
Kanaries/graphic-walker,feat,7,4,True
Kanaries/graphic-walker,fix,3,5,True
Kanaries/pygwalker,feat,3,2,True
Kanaries/pygwalker,refactor,0,1,False
KilledByAPixel/LittleJS,fix,1,0,False
Kiln-AI/Kiln,feat,7,7,True
Kiln-AI/Kiln,fix,4,3,True
Kiln-AI/Kiln,refactor,3,2,True
KittyCAD/modeling-app,fix,2,2,True
Kuingsmile/word-GPT-Plus,fix,1,0,False
LeagueAkari/LeagueAkari,fix,1,0,False
Maciek-roboblog/Claude-Code-Usage-Monitor,feat,1,0,False
MaiM-with-u/MaiBot,feat,0,1,False
MaiM-with-u/MaiBot,fix,0,1,False
Mail-0/Zero,feat,2,0,False
MervinPraison/PraisonAI,feat,2,1,True
MervinPraison/PraisonAI,fix,1,0,False
MetaMask/metamask-mobile,fix,2,0,False
MikePopoloski/slang,feat,1,0,False
MikePopoloski/slang,fix,2,2,True
MikePopoloski/slang,refactor,0,1,False
MultiboxLabs/flow-browser,feat,1,0,False
NangoHQ/nango,feat,0,12,False
NangoHQ/nango,fix,0,10,False
Netflix/metaflow,feat,0,1,False
Netflix/metaflow,refactor,1,0,False
NewFuture/DDNS,feat,8,0,False
NewFuture/DDNS,fix,2,0,False
NewFuture/DDNS,refactor,3,0,False
NousResearch/atropos,feat,1,1,True
OHIF/Viewers,feat,0,1,False
OHIF/Viewers,fix,4,2,True
OWASP/mastg,feat,1,0,False
OWASP/wrongsecrets,feat,2,0,False
ObservedObserver/streamlit-shadcn-ui,feat,0,1,False
ObservedObserver/streamlit-shadcn-ui,fix,1,0,False
OneKeyHQ/app-monorepo,feat,1,18,True
OneKeyHQ/app-monorepo,fix,2,26,True
OneKeyHQ/app-monorepo,refactor,1,2,True
OpenHFT/Chronicle-Core,feat,1,3,True
OpenHFT/Chronicle-Core,fix,1,2,True
OpenHFT/Chronicle-Wire,feat,2,3,True
OpenHFT/Chronicle-Wire,fix,3,6,True
OpenHFT/Chronicle-Wire,refactor,6,2,True
OpenHFT/Java-Runtime-Compiler,feat,0,2,False
OpenHFT/Java-Thread-Affinity,feat,2,1,True
OpenHFT/Java-Thread-Affinity,fix,4,1,True
OpenHFT/Java-Thread-Affinity,refactor,1,1,True
OpenNHP/opennhp,fix,2,0,False
OpenPipe/ART,feat,4,3,True
OpenPipe/ART,fix,4,1,True
OpenPipe/ART,refactor,1,1,True
PaloAltoNetworks/docusaurus-openapi-docs,feat,4,0,False
PaloAltoNetworks/docusaurus-openapi-docs,fix,4,1,True
PaloAltoNetworks/docusaurus-openapi-docs,refactor,2,0,False
Panchovix/stable-diffusion-webui-reForge,fix,0,1,False
PasteBar/PasteBarApp,feat,0,1,False
PasteBar/PasteBarApp,fix,1,0,False
Pimzino/claude-code-spec-workflow,fix,2,0,False
PostHog/posthog,fix,2,0,False
PrefectHQ/marvin,feat,1,1,True
PrefectHQ/prefect,feat,0,2,False
PrefectHQ/prefect,fix,1,0,False
PriorLabs/TabPFN,feat,0,1,False
PriorLabs/TabPFN,fix,9,3,True
PrismLauncher/PrismLauncher,fix,0,1,False
PromtEngineer/localGPT,feat,1,0,False
PromtEngineer/localGPT,fix,3,0,False
PrunaAI/pruna,feat,1,0,False
PrunaAI/pruna,fix,0,1,False
