case_id,case_control,target_family,group,repo_name,pr_number,pr_id,language,task_type,changed_kloc,merge_calendar_quarter,silver_finding_n,matched_positive_case_id,same_repository_match,control_match_score,selection_probability,sampling_weight,split,random_seed
case-00977e0ec8aff7fcb678,control,quality,ai,getsentry/sentry,95780,3239840445,Python,feat,0.130000,2025-Q3,0,case-f6e573c08f4abfb387e2,0,1|0|0.00265135|0,,,formal,20260623
case-0e7910d93b1d2321cee6,control,quality,ai,microsoft/vscode-pull-request-github,7466,3276550075,TypeScript,feat,0.055000,2025-Q3,0,case-76a0ff6983e0ca3793b2,0,1|0|0.00000000|0,,,formal,20260623
case-1b1b75ac29761e80113e,control,quality,ai,marimo-team/marimo,3843,2861751791,Python,refactor,0.025000,2025-Q1,0,case-0737af73e1a18998c5a2,1,0|0|0.01260317|0,,,formal,20260623
case-210bb7200d289a3d2aa0,control,quality,ai,crewAIInc/crewAI,1923,2797482061,Python,feat,0.190000,2025-Q1,0,case-14a8d97497657e19a2a9,1,0|0|0.83327442|0,,,formal,20260623
case-22b5befc227597e10e1c,control,quality,ai,prebid/Prebid.js,13136,3084649398,JavaScript,fix,0.271000,2025-Q2,0,case-251cb80f6be4da1148b5,1,0|0|0.04837796|0,,,formal,20260623
case-2a05c6f1f5871c732fc9,control,quality,ai,microsoft/typespec,8008,3261757119,Java,fix,0.123000,2025-Q3,0,case-c7587212ad97b8e4dbd6,1,0|0|2.03599106|0,,,formal,20260623
case-2ae54e3d2402891653c9,control,quality,ai,getsentry/sentry,94169,3171819372,Python,feat,0.533000,2025-Q2,0,case-f81566b1a6263aebc2fc,1,0|0|0.08434637|0,,,formal,20260623
case-2cb2790135584fbec7b6,control,quality,ai,NewFuture/DDNS,512,3224735740,Python,refactor,0.212000,2025-Q3,0,case-a312421c7f686d168d04,1,0|0|0.81276205|0,,,formal,20260623
case-337b59edf712fccfe514,control,quality,ai,mendableai/firecrawl,1547,3063229418,TypeScript,fix,0.046000,2025-Q2,0,case-7c3045f6e85b3f5f1b49,1,0|0|0.00951482|0,,,formal,20260623
case-3579bc98fa0e953b64f7,control,quality,ai,Significant-Gravitas/AutoGPT,9968,3071674928,Python,fix,0.095000,2025-Q2,0,case-b0fb6829dda02eb08ec0,1,0|0|0.37924927|1,,,formal,20260623
case-4bdf822f70334d0f1dc2,control,quality,ai,mlflow/mlflow,16551,3198732250,Python,feat,0.300000,2025-Q3,0,case-36ffe6b241bac7e92bef,1,0|0|0.06405764|0,,,formal,20260623
case-525cca57fa45a53cdf40,control,quality,ai,jina-ai/node-DeepResearch,5,2825786243,TypeScript,refactor,0.227000,2025-Q1,0,case-79e114ffc3cc4f095ea9,1,0|0|0.05787779|0,,,formal,20260623
case-554adcd81abcd45211d3,control,quality,ai,sam-goodwin/alchemy,406,3154699305,TypeScript,feat,0.533000,2025-Q2,0,case-080160e7e517f3fd623e,0,1|0|0.00130548|1,,,formal,20260623
case-5c93ece3b9cd9e529584,control,quality,ai,3rdIteration/btcrecover,614,3275019287,Python,fix,0.018000,2025-Q3,0,case-0eb420b020d66fb3faa1,1,0|0|0.00000000|0,,,formal,20260623
case-61426f0adcf2ca112e1d,control,quality,ai,OpenHFT/Chronicle-Wire,1093,3103401042,Java,refactor,0.170000,2025-Q2,0,case-ed5b3f75ec8a328974da,1,0|0|0.00514140|0,,,formal,20260623
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,3103206465,Java,refactor,0.324000,2025-Q2,0,case-15fca550df7f9ba029d9,1,0|0|0.06999941|0,,,formal,20260623
case-706ee5ddca967e136a25,control,quality,ai,iterative/datachain,1191,3185509791,Python,feat,0.089000,2025-Q3,0,case-7b36cddecd405895932b,0,1|0|0.00000000|1,,,formal,20260623
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,3071076936,TypeScript,feat,4.232000,2025-Q2,0,case-83f2a806231ce243a56f,0,1|0|0.52460638|1,,,formal,20260623
case-7c75f021c35395eadfeb,control,quality,ai,featureform/enrichmcp,90,3172714215,Python,feat,0.184000,2025-Q2,0,case-d316f6c41322a9e21b99,1,0|0|0.01342302|1,,,formal,20260623
