invocation_order,invocation_id,case_id,group,case_control,repo_name,pr_number,task_type,output_relpath
1,rq3-001-case-bd5b217579b468056361,case-bd5b217579b468056361,ai,positive,airbytehq/airbyte,55005,feat,invocations/rq3-001-case-bd5b217579b468056361
2,rq3-002-case-5d259ad82985046d8794,case-5d259ad82985046d8794,human,positive,Kiln-AI/Kiln,210,feat,invocations/rq3-002-case-5d259ad82985046d8794
3,rq3-003-case-9dbfa7a0c3210e05dad8,case-9dbfa7a0c3210e05dad8,human,positive,langchain-ai/langsmith-sdk,1694,feat,invocations/rq3-003-case-9dbfa7a0c3210e05dad8
4,rq3-004-case-8e3569ec12253aacd7c7,case-8e3569ec12253aacd7c7,ai,control,jina-ai/node-DeepResearch,29,feat,invocations/rq3-004-case-8e3569ec12253aacd7c7
5,rq3-005-case-9597ed92b1be9122fd86,case-9597ed92b1be9122fd86,human,positive,reflex-dev/reflex,5069,feat,invocations/rq3-005-case-9597ed92b1be9122fd86
6,rq3-006-case-aa2cbfc9848aab44dd69,case-aa2cbfc9848aab44dd69,human,control,getsentry/sentry,92762,feat,invocations/rq3-006-case-aa2cbfc9848aab44dd69
7,rq3-007-case-986e3a0cdc17b46ae30a,case-986e3a0cdc17b46ae30a,ai,positive,OpenHFT/Chronicle-Wire,1059,refactor,invocations/rq3-007-case-986e3a0cdc17b46ae30a
8,rq3-008-case-1cee12de60b9ec498450,case-1cee12de60b9ec498450,human,positive,Azure/azure-storage-azcopy,3010,feat,invocations/rq3-008-case-1cee12de60b9ec498450
9,rq3-009-case-7c6f0f53534b13a179ae,case-7c6f0f53534b13a179ae,human,control,crewAIInc/crewAI,2408,fix,invocations/rq3-009-case-7c6f0f53534b13a179ae
10,rq3-010-case-82870bc3110df4617202,case-82870bc3110df4617202,human,positive,prebid/Prebid.js,12839,feat,invocations/rq3-010-case-82870bc3110df4617202
11,rq3-011-case-33116a254af11ba01af8,case-33116a254af11ba01af8,human,control,ArthurSonzogni/FTXUI,1015,feat,invocations/rq3-011-case-33116a254af11ba01af8
12,rq3-012-case-a4fa4865dc303b1dca39,case-a4fa4865dc303b1dca39,human,positive,mlflow/mlflow,14689,fix,invocations/rq3-012-case-a4fa4865dc303b1dca39
13,rq3-013-case-0dae88f83e73408565ec,case-0dae88f83e73408565ec,ai,positive,willccbb/verifiers,166,feat,invocations/rq3-013-case-0dae88f83e73408565ec
14,rq3-014-case-ab37a0754d9da12ed40c,case-ab37a0754d9da12ed40c,ai,control,crewAIInc/crewAI,3060,fix,invocations/rq3-014-case-ab37a0754d9da12ed40c
15,rq3-015-case-554adcd81abcd45211d3,case-554adcd81abcd45211d3,ai,control,sam-goodwin/alchemy,406,feat,invocations/rq3-015-case-554adcd81abcd45211d3
