case_id,group,repo_name,pr_number,base_sha,head_sha,patch_sha256,base_tree_sha,head_tree_sha,pending_diff_sha256,changed_file_n,enrichment_changed_file_n,reconstruction_source
case-00977e0ec8aff7fcb678,ai,getsentry/sentry,95780,0bdd77082cf8ad27ff7c43f627d961fe3f72d48d,eb82f6bffc71586f306f900a98f3608e2742d602,7a787372e51000002a9fa170e204d3e0e490bfab9471c04990b626f76a8090ba,e7c4cd0aef9b8a746f520e9a32d5cf4085732f02,131dd7a605e68b9c04a4a8b37c4670e818b391b5,f92eb1fc18dfb4d59189d9d3c29a8cf5679e7ece07768109b138b21bd6858688,2,2,before=experiment_source_archive;after=experiment_source_archive
case-0e7910d93b1d2321cee6,ai,microsoft/vscode-pull-request-github,7466,42685ee934947f1c7232b930f127a568c3ad2d59,ab869eaa49b7b0dd9419ec44dc2a49fe4821bdf2,02a390700b84c7d7a61f95ac80fb6c93d5ace937921add5b186dacda3983260f,7be5ad7a46cd9c76d96370ce72cffef40ac31259,4c3e424006c60f5ded208e43c2d613ecac17a627,7eb3702420358d80150fcc0758bf3ebafe678479e299e6aa7c2b47dadd53ffa8,6,6,before=experiment_source_archive;after=experiment_source_archive
case-1b1b75ac29761e80113e,ai,marimo-team/marimo,3843,3b4891c2b91344dbcf35f6685722368d102e8b1d,114b1c1901b892a652d8f5d1fd7860a461a56cdc,6a745ea6eec075ff7034b20fa9b3aa7005b2f16c349ed904d43de54267cf4d84,20ed1568703593ed79db6bc613e11e84999f6714,c180ac79075e8561e5c9861d137b23899eb3176c,b3f375b8ce07978e6be6985f80c43ba0d0d26bee31595dd48abb85bf22c1d17a,6,6,before=experiment_source_archive;after=experiment_source_archive
case-210bb7200d289a3d2aa0,ai,crewAIInc/crewAI,1923,cc018bf1287d8325b1566951d52de49c8ec73882,b5019a8e7da28741a4163f1c3e93248d36c5a589,2def1d50314c120878a76e17befacc92b80da62419f1114cfca8a5d53d51e14f,ee98d146fa17eb6b6ba0617c584203c75f7e09a8,dde5395c015f36db3d6c64f2c77a186e0c10414b,ce27bc856ac6deed5d82785683a69fade025745174a5cb9d005e236bcd10efb7,2,2,before=bare_cache_temporary_index;after=bare_cache_temporary_index;base_revision=job_metadata;head_revision=job_metadata
case-22b5befc227597e10e1c,ai,prebid/Prebid.js,13136,bc2ded55db873adbeb16e5c2bd2264d7008c7a96,084de5fbba9a9abb738977b384e167b5a3f4c97c,7747515cb6f6f1a6e833990a72f9bf4de27cb16b130116492ee6a10c5850aa2f,e1a10b1e3b4b441a5b2e20c3f47aefd5c85e7bbd,6b1566cdbf4ec83c6d9ff1ebdc6bd32ff303e457,a6cbad8b87b84977fac2ccc45a69c6fb2f74125765211081949397861f0a5a3d,45,44,before=experiment_source_archive;after=experiment_source_archive
case-2a05c6f1f5871c732fc9,ai,microsoft/typespec,8008,4e3bb5b66480f1d9dae3a79dc01c0103b0255585,8b0cced866055baba34a3cfd38d69f15aa2ed801,5e61ca293e05ca73a0138fe1036b156ff4e4784842cf4c9101851783fab27b14,4c338ed6a3a4711c44212c5e9acd6137163099e3,95746f10f9488d0934498a4d1170a9bf741b94b2,038c65dc9e90ed08e8fb2e58af020fc0f860091d8e302385d4c1c744ec12791d,1,1,before=experiment_source_archive;after=experiment_source_archive
case-2ae54e3d2402891653c9,ai,getsentry/sentry,94169,b2066ea5ec848db2040f0ab9df7b5f20def336b3,e8ba38b52b767dd96506cfd3391f3b0a66057fc6,cdccc87f083af1188924fd293a9e93f92f79c87ed9232aee0728f85b1e112cc4,1fc803ed4c628471b142a1237121c70d05bab9bb,a8d9738f0c3ac20c7d7d4511f65b523bdbc4beea,da305acb1785eb2484a0b4dc3a3ed80e0ba44ddac07eec2772001f5b32071dc9,8,8,before=experiment_source_archive;after=experiment_source_archive
case-2cb2790135584fbec7b6,ai,NewFuture/DDNS,512,485e6a3e26c5aab9c6c9a7287efd24e00c9ee159,1aa2bb680da5917ac5144ae4d0ff0d1ea551d2ae,289a6ca532fdc9ebda908c3130bbaf167abf6fcaee7accffee55779e317e306a,edd6d2bc26d274cd77bdcd37dceb41c1154e0a83,4d8bc52c4abdd680ef2016b5ef05f2d8cebf1d72,a88bb4bbd5540fb7ce8193c3bcc13dea611fd78b3f35e369f9144c2cc596088a,2,2,before=bare_cache_temporary_index;after=bare_cache_temporary_index;base_revision=job_metadata;head_revision=job_metadata
case-337b59edf712fccfe514,ai,mendableai/firecrawl,1547,06189b96465134ee98e32d696e841dcb5fc2c5b8,7ffd5deb3448a9f3735045c14e00dc8208612d92,2f513199c03fb90c8390d2df3838c0f3599b2fe0d42103e042a8d427ba46df0b,bb1eecb695ed5baf05ff86f1e013cf5492869e72,4b5e9e025a84bdeefe9fe90a80366c4c0e072dbd,fc9871004d09153648a8849cc5442cbf179a3d26651b0317f534f80ff0d7ac6c,2,2,before=bare_cache_temporary_index;after=bare_cache_temporary_index;base_revision=job_metadata;head_revision=job_metadata
case-3579bc98fa0e953b64f7,ai,Significant-Gravitas/AutoGPT,9968,d92b82f18380b96681e6af707d933c7ec9e191e9,fdfa1e3ff88ecf4c176db537e62b26373d90e318,06a715d483c17862eae9c8faf33f14e3cc50fd28f8056f5167bbb0001c2f4aa4,21591b29a9314449ba1b82678465eacbd22cc7f3,5d8f473efd4e3726fff273785275e8f7d9471f4d,9f8e68162a4bda704a1a7791296ca398209f0069f650ee6de2b001bef6c086db,2,2,before=experiment_source_index;after=experiment_source_index
case-4bdf822f70334d0f1dc2,ai,mlflow/mlflow,16551,73c83842e3fd1df0fc47961439b3e24263e056de,05ff0f612240661aeeabb2c78c8d04f0fd464fee,bd8e6c5645c9ae1cf5bec84810fb790ccf728bf1cbbb6bcfcf9317d4efdaa21a,fa3730e189bf409ac8386369a2a48c88750fbec2,f1714d2468a14bcd59e56d3dbc0ecf67158db9b6,a82516cb752eb16713567f04901ee6068b08a7570a486d98b19b6492e0be1ee8,3,3,before=bare_cache_temporary_index;after=bare_cache_temporary_index;base_revision=job_metadata;head_revision=job_metadata
case-525cca57fa45a53cdf40,ai,jina-ai/node-DeepResearch,5,c984e78ac2ea3a65529cd442c4d98cc7ff89912b,07838fadf6bd6c749526d70c4dd37f09dd69a6ef,64a11af1052802697d3d07b29180e72683af95f94b551a0824668c786e81b092,0489c092d5b6ce05eaf88e065f2da782523faa4a,8f75d080b9c82b050dc4068c9329d187cb8c30d3,ecb1ea89d8a92a2d406cbfd912ed1638005ee41a2b8bee09a09b2541bd7a6876,11,11,before=experiment_source_archive;after=experiment_source_archive
case-554adcd81abcd45211d3,ai,sam-goodwin/alchemy,406,779b2fca814770087ce6c3bcd6fd8ea98494f2d0,8ac0477f85c08c9e8711cb38063925b12dd8c7bb,abd7f96b39977932a2e62a7d76d3ee3a81459381d13350d6045ac9dba09e2444,aef7e188fe1b309cd95998d828e4b49985b9944b,8de2bfa952f24f6003602379b4ea29129d82da91,e60d751bc02429f1bfd97dff5a3fca68b921b21247e823c57c6cd12b2310e329,4,4,before=experiment_source_archive;after=experiment_source_archive
case-5c93ece3b9cd9e529584,ai,3rdIteration/btcrecover,614,788d599840a4c63f6f414164e7ea4ac90499f415,e565399e087f9cde95662432e0ea39ef2e7377a3,a2c3bd7a04c6791e42ae66c464ed45c557ca4132c86c5b6058a2ff07b42d3eb6,4e9e0ba03a004b55e2bfb4b3f367806585df4fac,ae945b25f00514bca561ac052b6db455c832addc,29bbc71d20e32e4cd10e924bd5b947f92d5979eaab8d8d7cc66a9bd7a9c35dd7,2,2,before=experiment_source_index;after=experiment_source_index;base_revision=experiment_source_head;head_revision=experiment_source_head
case-61426f0adcf2ca112e1d,ai,OpenHFT/Chronicle-Wire,1093,bfa67797e339eb822c09e368e041a3a4392707ee,1d54ec8f67ba3e6a7ac61da002960242a2023a1c,16574602135a208375f5868b0ad548f5fb6f48a1138bb908c769263d318778bf,78b7e0660c91632863ec2aaa7e72d02603989170,8c411e1a3ad88d05a5c5f285a7dd669052475cc5,c9d6e59cb2e8ed13ab8b1db2e7d727507a5cec15650f688d899194faecb4b63f,4,4,before=bare_cache_temporary_index;after=bare_cache_temporary_index;base_revision=job_metadata;head_revision=job_metadata
