language,task_type,ai_pr_n,human_pr_n,both_groups_present,ai_shared_repo_pr_n,human_shared_repo_pr_n
C,feat,11,16,true,8,8
C,fix,38,32,true,26,27
C,refactor,0,5,false,0,5
C++,feat,27,26,true,12,23
C++,fix,58,35,true,29,28
C++,refactor,12,4,true,5,4
Go,feat,120,62,true,91,51
Go,fix,149,57,true,101,50
Go,refactor,18,15,true,11,10
Java,feat,29,26,true,18,21
Java,fix,48,37,true,24,31
Java,refactor,12,8,true,11,7
JavaScript,feat,43,79,true,9,73
JavaScript,fix,85,58,true,44,55
JavaScript,refactor,23,7,true,20,7
Python,feat,314,272,true,251,258
Python,fix,369,281,true,303,268
Python,refactor,73,50,true,59,48
Ruby,feat,90,42,true,87,42
Ruby,fix,47,61,true,43,61
Ruby,refactor,61,20,true,60,20
TypeScript,feat,857,605,true,617,574
TypeScript,fix,700,541,true,511,511
TypeScript,refactor,180,96,true,130,93
