group,codeql_version,query_suite,language,build_mode,pr_n
ai,2.23.2,security-and-quality,C,,48
ai,2.23.2,security-and-quality,C++,,97
ai,2.23.2,security-and-quality,Go,autobuild,193
ai,2.23.2,security-and-quality,Go,manual,81
ai,2.23.2,security-and-quality,Java,,89
ai,2.23.2,security-and-quality,JavaScript,,149
ai,2.23.2,security-and-quality,Kotlin,,1
ai,2.23.2,security-and-quality,Python,,752
ai,2.23.2,security-and-quality,Ruby,,70
ai,2.23.2,security-and-quality,TypeScript,,1616
human,2.23.2,security-and-quality,C,,49
human,2.23.2,security-and-quality,C++,,65
human,2.23.2,security-and-quality,Go,autobuild,118
human,2.23.2,security-and-quality,Java,,71
human,2.23.2,security-and-quality,JavaScript,,143
human,2.23.2,security-and-quality,Python,,601
human,2.23.2,security-and-quality,Ruby,,42
human,2.23.2,security-and-quality,TypeScript,,1236
