repo_name,pr_number,ai_pr_id,human_pr_id,decision,reason
antiwork/flexile,402,3167827984,2611345174,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
antiwork/flexile,403,3169159305,2612531872,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
antiwork/flexile,414,3178933687,2621043364,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
Codehagen/Badget,291,3176390729,2618869898,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
featureform/enrichmcp,93,3172804311,2615743216,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
featureform/enrichmcp,98,3180085611,2622031569,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
liam-hq/liam,2156,3167450477,2611004920,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
liam-hq/liam,2189,3173794198,2616605346,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
liam-hq/liam,2200,3174455906,2617183376,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
mendableai/firecrawl,1719,3180043339,2621999169,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
onlook-dev/onlook,2286,3180555821,2622440969,exclude_both_primary_analysis,same repository and PR number appears in both authorship groups
