group,family,task_type,pr_n,repo_n,introduced_count,introduced_any_n,introduced_any_proportion,introduced_any_ci_low,introduced_any_ci_high,introduced_mean,introduced_median,introduced_p25,introduced_p75,introduced_p90,introduced_max,introduced_zero_proportion,introduced_per_100_pr
ai,quality,all,3087,536,2506,429,0.13896987366375121,0.12721540077461796,0.1516217606595788,0.8117913832199547,0,0.0,0.0,1.0,414,0.8610301263362488,81.17913832199547
ai,quality,fix,1427,392,695,134,0.09390329362298529,0.07984026975833676,0.11014685784750372,0.48703573931324456,0,0.0,0.0,0.0,88,0.9060967063770147,48.703573931324456
ai,quality,feat,1353,321,1540,245,0.18107908351810792,0.16147227583414903,0.20249173455945954,1.1382113821138211,0,0.0,0.0,2.0,414,0.8189209164818921,113.82113821138212
ai,quality,refactor,307,125,271,50,0.16286644951140064,0.12577394806492115,0.20829171748258885,0.8827361563517915,0,0.0,0.0,1.0,33,0.8371335504885994,88.27361563517915
ai,security,all,3087,536,245,78,0.025267249757045675,0.020293271785945467,0.03142127292631596,0.07936507936507936,0,0.0,0.0,0.0,32,0.9747327502429544,7.936507936507937
ai,security,fix,1427,392,56,33,0.023125437981779958,0.01651335880029275,0.03229809993270886,0.039243167484232656,0,0.0,0.0,0.0,7,0.9768745620182201,3.9243167484232657
ai,security,feat,1353,321,160,39,0.028824833702882482,0.021156848980224144,0.03916077935332269,0.11825572801182557,0,0.0,0.0,0.0,32,0.9711751662971175,11.825572801182558
ai,security,refactor,307,125,29,6,0.019543973941368076,0.008987207426712104,0.04197593912650271,0.09446254071661238,0,0.0,0.0,0.0,17,0.9804560260586319,9.446254071661238
human,quality,all,2317,381,4102,433,0.18687958567112645,0.17153010737668872,0.20326561833509374,1.770392749244713,0,0.0,0.0,2.0,648,0.8131204143288735,177.0392749244713
human,quality,fix,1037,253,1078,145,0.1398264223722276,0.12004485259905297,0.16226659486541076,1.0395371263259403,0,0.0,0.0,1.0,230,0.8601735776277725,103.95371263259402
human,quality,feat,1090,263,2818,249,0.22844036697247708,0.2044962602274945,0.2542918527790702,2.5853211009174313,0.0,0.0,0.0,3.0,648,0.771559633027523,258.5321100917431
human,quality,refactor,190,89,206,39,0.20526315789473684,0.15394683802168074,0.26826138987036446,1.0842105263157895,0.0,0.0,0.0,3.0,23,0.7947368421052632,108.42105263157895
human,security,all,2317,381,271,95,0.041001294777729826,0.033657943507879796,0.049864116167489925,0.11696158826068191,0,0.0,0.0,0.0,19,0.9589987052222702,11.696158826068192
human,security,fix,1037,253,71,27,0.026036644165863067,0.017954734990595904,0.03761708945059258,0.06846673095467695,0,0.0,0.0,0.0,19,0.973963355834137,6.846673095467695
human,security,feat,1090,263,170,63,0.05779816513761468,0.045434919574964414,0.07326734552356313,0.1559633027522936,0.0,0.0,0.0,0.0,15,0.9422018348623853,15.596330275229358
human,security,refactor,190,89,30,5,0.02631578947368421,0.011291765010824347,0.060114315529962624,0.15789473684210525,0.0,0.0,0.0,0.0,15,0.9736842105263158,15.789473684210526
